model,category,params,split,asset,n,pinball,pinball_const,skill,r_q05_vs_last,alpha_shrinkage
LSTM_h24_l2_H60,LSTM,7738,train,SPX,72,0.008293154649436474,0.008221905678510666,-0.008665749001722123,-0.7443974293556191,
LSTM_h24_l2_H60,LSTM,7738,train,CMC200,72,0.024340560659766197,0.02415638417005539,-0.007624340150175213,-0.6091201882551098,
LSTM_h24_l2_H60,LSTM,7738,valid,SPX,15,0.00557668088003993,0.005391745828092098,-0.03429966060052059,-0.45082258135115044,
LSTM_h24_l2_H60,LSTM,7738,valid,CMC200,15,0.01483973953872919,0.014710278250277042,-0.008800736889508443,-0.6343946699272208,
LSTM_h24_l2_H60,LSTM,7738,test,SPX,16,0.005914004985243082,0.005768805276602507,-0.025169805822617297,-0.5116938429414764,
LSTM_h24_l2_H60,LSTM,7738,test,CMC200,16,0.017452633008360863,0.0170828215777874,-0.02164814687605965,-0.4327226961414193,
LSTM_h16_l1_H60,LSTM,1450,train,SPX,72,0.008432967588305473,0.008221905678510666,-0.025670680016003145,0.0874769757363401,
LSTM_h16_l1_H60,LSTM,1450,train,CMC200,72,0.024378499016165733,0.02415638417005539,-0.009194871407355754,0.08898647020838316,
LSTM_h16_l1_H60,LSTM,1450,valid,SPX,15,0.006105980835855007,0.005391745828092098,-0.13246822653278612,-0.0038744890621846264,
LSTM_h16_l1_H60,LSTM,1450,valid,CMC200,15,0.015239710919559002,0.014710278250277042,-0.035990663145477164,0.41452085719812115,
LSTM_h16_l1_H60,LSTM,1450,test,SPX,16,0.0057237958535552025,0.005768805276602507,0.007802208757133222,0.4248163984357736,
LSTM_h16_l1_H60,LSTM,1450,test,CMC200,16,0.016747793182730675,0.0170828215777874,0.019612005752747463,0.6597940214734891,
LSTM_h16_l1_H24,LSTM,1450,train,SPX,97,0.007841494865715504,0.007570527493953705,-0.035792403102453685,-0.3217283579725859,
LSTM_h16_l1_H24,LSTM,1450,train,CMC200,97,0.025344040244817734,0.025440946221351624,0.0038090555158896144,0.636735579653225,
LSTM_h16_l1_H24,LSTM,1450,valid,SPX,20,0.005766361486166716,0.004932976793497801,-0.16894153926842037,-0.30377390190378073,
LSTM_h16_l1_H24,LSTM,1450,valid,CMC200,20,0.014729171060025692,0.015040826052427292,0.020720603463883935,0.7006624460698676,
LSTM_h16_l1_H24,LSTM,1450,test,SPX,22,0.006404385901987553,0.005757761653512716,-0.11230479609734134,-0.34595843329911663,
LSTM_h16_l1_H24,LSTM,1450,test,CMC200,22,0.017715325579047203,0.01756836660206318,-0.008364976682964098,0.36823299832244855,
LSTM_h8_l1_H24,LSTM,474,train,SPX,97,0.008226838894188404,0.007570527493953705,-0.08669295511559416,0.28039888642052757,
LSTM_h8_l1_H24,LSTM,474,train,CMC200,97,0.026934990659356117,0.025440946221351624,-0.0587259776034037,0.41419229998967966,
LSTM_h8_l1_H24,LSTM,474,valid,SPX,20,0.006173277273774147,0.004932976793497801,-0.25143043079205185,0.6881726175869939,
LSTM_h8_l1_H24,LSTM,474,valid,CMC200,20,0.013480314053595066,0.015040826052427292,0.10375174830111078,0.3060172635118774,
LSTM_h8_l1_H24,LSTM,474,test,SPX,22,0.0061134519055485725,0.005757761653512716,-0.06177578605027101,0.6412819989895588,
LSTM_h8_l1_H24,LSTM,474,test,CMC200,22,0.019741909578442574,0.01756836660206318,-0.12371912686089659,-0.06169995790094362,
LSTM_h8_l1_H12,LSTM,474,train,SPX,105,0.007435054983943701,0.0073598092421889305,-0.010223871200823575,-0.15662159644764995,
LSTM_h8_l1_H12,LSTM,474,train,CMC200,105,0.027575260028243065,0.02742895856499672,-0.005333832230620894,0.5982938146390254,
LSTM_h8_l1_H12,LSTM,474,valid,SPX,22,0.004921855870634317,0.004666497465223074,-0.05472164236974164,0.1380395648969694,
LSTM_h8_l1_H12,LSTM,474,valid,CMC200,22,0.018487421795725822,0.017352351918816566,-0.06541302771057844,0.713645728341575,
LSTM_h8_l1_H12,LSTM,474,test,SPX,24,0.00571278715506196,0.005445584654808044,-0.04906773417212351,0.1667154974433106,
LSTM_h8_l1_H12,LSTM,474,test,CMC200,24,0.01825197972357273,0.01704174280166626,-0.07101603022597791,0.2945073220249909,
LSTM_h4_l1_H12,LSTM,178,train,SPX,105,0.008770815096795559,0.0073598092421889305,-0.1917177209591605,-0.6556426576850932,
LSTM_h4_l1_H12,LSTM,178,train,CMC200,105,0.02798929437994957,0.02742895856499672,-0.02042862158346459,-0.017538615034373376,
LSTM_h4_l1_H12,LSTM,178,valid,SPX,22,0.005718766711652279,0.004666497465223074,-0.22549444294595866,-0.8962230345573811,
LSTM_h4_l1_H12,LSTM,178,valid,CMC200,22,0.01786453276872635,0.017352351918816566,-0.02951650890357893,0.3616313972441963,
LSTM_h4_l1_H12,LSTM,178,test,SPX,24,0.0059140753000974655,0.005445584654808044,-0.08603128497429169,-0.9103744368632399,
