method,split,asset,MSE,MAE,sign_acc,pinball
Naive-zero,VALID,SPX,0.0002809342695400119,0.01387194823473692,0.0,
Naive-zero,VALID,CMC200,0.0026273487601429224,0.033206433057785034,0.0,
Naive-zero,TEST,SPX,0.0003814854135271162,0.015238908119499683,0.0,
Naive-zero,TEST,CMC200,0.0032937696669250727,0.04655870050191879,0.0,
Naive-mean,VALID,SPX,0.0002856086066458374,0.013947424478828907,0.4,
Naive-mean,VALID,CMC200,0.0026787682436406612,0.033493004739284515,0.5333333333333333,
Naive-mean,TEST,SPX,0.0003715729690156877,0.014908701181411743,0.9375,
Naive-mean,TEST,CMC200,0.003540980163961649,0.04816267639398575,0.3125,
AR(1),VALID,SPX,0.0002933841205525701,0.014286194358349777,0.3333333333333333,
AR(1),VALID,CMC200,0.002745516113910655,0.034198111561348124,0.4666666666666667,
AR(1),TEST,SPX,0.0003787531648324815,0.01564962253565004,0.1875,
AR(1),TEST,CMC200,0.00366878039159884,0.048240923640824364,0.3125,
AR(5),VALID,SPX,0.0003322081568389163,0.015266935945827476,0.4,
AR(5),VALID,CMC200,0.002893385767729792,0.03719491588031717,0.4,
AR(5),TEST,SPX,0.0003929542346660894,0.016146647414923082,0.375,
AR(5),TEST,CMC200,0.0030423118705455218,0.04200181415387659,0.625,
Linear-H,VALID,SPX,0.005385357026931792,0.06041114667223259,0.26666666666666666,
Linear-H,VALID,CMC200,0.03436118728103623,0.1453791611069149,0.4666666666666667,
Linear-H,TEST,SPX,0.004387905025750779,0.055914369165823534,0.4375,
Linear-H,TEST,CMC200,0.08767513465218019,0.26422317854943705,0.3125,
Logistic-sign,VALID,SPX,0.2261022925376892,0.4745025038719177,0.6666666666666666,
Logistic-sign,VALID,CMC200,0.22111430764198303,0.4319309592247009,0.4,
Logistic-sign,TEST,SPX,0.21025800704956055,0.45766502618789673,0.25,
Logistic-sign,TEST,CMC200,0.18468362092971802,0.40890634059906006,0.625,
Quantile-linear,VALID,SPX,0.0004134663613513112,0.018615003675222397,0.4666666666666667,0.006327413014446696
Quantile-linear,VALID,CMC200,0.00911170057952404,0.07606299221515656,0.4,0.028859262953201934
Quantile-linear,TEST,SPX,0.0005232791299931705,0.017940521240234375,0.4375,0.00610739901138004
Quantile-linear,TEST,CMC200,0.004693407565355301,0.05868332460522652,0.625,0.02181503306841478
LSTM,VALID,SPX,0.00028788033523596823,0.013249341398477554,0.6666666666666666,0.006105980893597007
LSTM,VALID,CMC200,0.0024481427390128374,0.031876400113105774,0.6666666666666666,0.0152397088855505
LSTM,TEST,SPX,0.0002964985906146467,0.012600596994161606,0.75,0.005723795878584496
LSTM,TEST,CMC200,0.004135001916438341,0.05192957818508148,0.375,0.016747792600654066
