asset,quantile,cumret_T,cumret_T_med_semana
SPX,0.05,-0.5390556871891021,-0.4355232656002045
SPX,0.25,-0.10603496432304382,-0.11459672451019287
SPX,0.5,0.25901782512664795,0.12320202589035034
SPX,0.75,0.6811722815036774,0.4142603874206543
SPX,0.95,1.755664837360382,0.9266630291938778
CMC200,0.05,-0.8002566277980805,-0.6659315556287766
CMC200,0.25,-0.4537394195795059,-0.3233098238706589
CMC200,0.5,-0.028075367212295532,0.02527749538421631
CMC200,0.75,0.9592479467391968,0.5757428109645844
CMC200,0.95,3.4264451026916487,1.9238256573677055
