lambda,m,s,V,z
0.3,0.1,0,6767.552,-0.5635704471140627
0.3,0.1,1,10035.164,-0.5635704471140627
0.3,0.1,2,13914.867,-0.5635704471140627
0.3,0.1,3,17122.12,-0.5635704471140627
0.3,0.1,4,25343.447,-0.5635704471140627
0.3,0.5,0,6767.5503,-0.5645705722772445
0.3,0.5,1,10035.159,-0.5645705722772445
0.3,0.5,2,13914.875,-0.5645705722772445
0.3,0.5,3,17122.12,-0.5645705722772445
0.3,0.5,4,25343.447,-0.5645705722772445
0.3,1.0,0,6767.552,-0.565820432630891
0.3,1.0,1,10035.164,-0.565820432630891
0.3,1.0,2,13914.867,-0.565820432630891
0.3,1.0,3,17122.12,-0.565820432630891
0.3,1.0,4,25343.447,-0.565820432630891
0.9,0.1,0,6767.552,-0.5108021778649894
0.9,0.1,1,10035.164,-0.5108021778649894
0.9,0.1,2,13914.867,-0.5108021778649894
0.9,0.1,3,17122.12,-0.5108021778649894
0.9,0.1,4,25343.447,-0.5108021778649894
0.9,0.5,0,6767.5513,-0.5118022597106189
0.9,0.5,1,10035.163,-0.5118022597106189
0.9,0.5,2,13914.869,-0.5118022597106189
0.9,0.5,3,17122.12,-0.5118022597106189
0.9,0.5,4,25343.447,-0.5118022597106189
0.9,1.0,0,6767.552,-0.5130521662728592
0.9,1.0,1,10035.164,-0.5130521662728592
0.9,1.0,2,13914.867,-0.5130521662728592
0.9,1.0,3,17122.12,-0.5130521662728592
0.9,1.0,4,25343.447,-0.5130521662728592
1.2,0.1,0,6767.552,-0.48441804283589107
1.2,0.1,1,10035.164,-0.48441804283589107
1.2,0.1,2,13914.867,-0.48441804283589107
1.2,0.1,3,17122.12,-0.48441804283589107
1.2,0.1,4,25343.447,-0.48441804283589107
1.2,0.5,0,6767.5513,-0.4854181307968065
1.2,0.5,1,10035.163,-0.4854181307968065
1.2,0.5,2,13914.869,-0.4854181307968065
1.2,0.5,3,17122.12,-0.4854181307968065
1.2,0.5,4,25343.447,-0.4854181307968065
1.2,1.0,0,6767.552,-0.486668033093852
1.2,1.0,1,10035.164,-0.486668033093852
1.2,1.0,2,13914.867,-0.486668033093852
1.2,1.0,3,17122.12,-0.486668033093852
1.2,1.0,4,25343.447,-0.486668033093852
1.5,0.1,0,6767.552,-0.45803391929861104
1.5,0.1,1,10035.164,-0.45803391929861104
1.5,0.1,2,13914.867,-0.45803391929861104
1.5,0.1,3,17122.12,-0.45803391929861104
1.5,0.1,4,25343.447,-0.45803391929861104
1.5,0.5,0,6767.5503,-0.4590340227103089
1.5,0.5,1,10035.159,-0.4590340227103089
1.5,0.5,2,13914.875,-0.4590340227103089
1.5,0.5,3,17122.12,-0.4590340227103089
1.5,0.5,4,25343.447,-0.4590340227103089
1.5,1.0,0,6767.5503,-0.46028463744575654
1.5,1.0,1,10035.157,-0.46028463744575654
1.5,1.0,2,13914.867,-0.46028463744575654
1.5,1.0,3,17122.121,-0.46028463744575654
1.5,1.0,4,25343.441,-0.46028463744575654
1.8,0.1,0,6767.552,-0.4316497868662292
1.8,0.1,1,10035.164,-0.4316497868662292
1.8,0.1,2,13914.867,-0.4316497868662292
1.8,0.1,3,17122.12,-0.4316497868662292
1.8,0.1,4,25343.447,-0.4316497868662292
1.8,0.5,0,6767.5503,-0.43264990360335615
1.8,0.5,1,10035.159,-0.43264990360335615
1.8,0.5,2,13914.875,-0.43264990360335615
1.8,0.5,3,17122.12,-0.43264990360335615
1.8,0.5,4,25343.447,-0.43264990360335615
1.8,1.0,0,6767.5513,-0.4339006275493859
1.8,1.0,1,10035.157,-0.4339006275493859
1.8,1.0,2,13914.869,-0.4339006275493859
1.8,1.0,3,17122.127,-0.4339006275493859
1.8,1.0,4,25343.441,-0.4339006275493859
