lambda,m,0,1,2,3,4
0.3,0.1,6767.552,10035.164,13914.867,17122.12,25343.447
0.3,0.5,6767.5503,10035.159,13914.875,17122.12,25343.447
0.3,1.0,6767.552,10035.164,13914.867,17122.12,25343.447
0.9,0.1,6767.552,10035.164,13914.867,17122.12,25343.447
0.9,0.5,6767.5513,10035.163,13914.869,17122.12,25343.447
0.9,1.0,6767.552,10035.164,13914.867,17122.12,25343.447
1.2,0.1,6767.552,10035.164,13914.867,17122.12,25343.447
1.2,0.5,6767.5513,10035.163,13914.869,17122.12,25343.447
1.2,1.0,6767.552,10035.164,13914.867,17122.12,25343.447
1.5,0.1,6767.552,10035.164,13914.867,17122.12,25343.447
1.5,0.5,6767.5503,10035.159,13914.875,17122.12,25343.447
1.5,1.0,6767.5503,10035.157,13914.867,17122.121,25343.441
1.8,0.1,6767.552,10035.164,13914.867,17122.12,25343.447
1.8,0.5,6767.5503,10035.159,13914.875,17122.12,25343.447
1.8,1.0,6767.5513,10035.157,13914.869,17122.127,25343.441
