lambda,m,0,1,2,3,4
0.3,0.1,0.0,0.0,0.0078125,0.0078125,0.0
0.3,0.5,0.0014648438,0.0048828125,0.0,0.0078125,0.0
0.3,1.0,0.0,0.0,0.0078125,0.0078125,0.0
0.9,0.1,0.0,0.0,0.0078125,0.0078125,0.0
0.9,0.5,0.00048828125,0.0009765625,0.005859375,0.0078125,0.0
0.9,1.0,0.0,0.0,0.0078125,0.0078125,0.0
1.2,0.1,0.0,0.0,0.0078125,0.0078125,0.0
1.2,0.5,0.00048828125,0.0009765625,0.005859375,0.0078125,0.0
1.2,1.0,0.0,0.0,0.0078125,0.0078125,0.0
1.5,0.1,0.0,0.0,0.0078125,0.0078125,0.0
1.5,0.5,0.0014648438,0.0048828125,0.0,0.0078125,0.0
1.5,1.0,0.0014648438,0.0068359375,0.0078125,0.005859375,0.005859375
1.8,0.1,0.0,0.0,0.0078125,0.0078125,0.0
1.8,0.5,0.0014648438,0.0048828125,0.0,0.0078125,0.0
1.8,1.0,0.00048828125,0.0068359375,0.005859375,0.0,0.005859375
