policy,t,turnover,cost_t,cost_acum
g_mean,1,0.9999999643861613,0.0025000001466501725,0.0025000001466501725
g_mean,2,9.757748758799153e-09,1.3375780801040942e-09,0.0025000014842282525
g_mean,3,1.3424343861062832e-10,1.3492623428140205e-09,0.0025000028334905954
g_mean,4,1.6664815957311702e-12,1.349212244525981e-09,0.00250000418270284
g_mean,5,1.008426167955134e-12,1.3491856262846241e-09,0.002500005531888466
g_mean,6,4.683661454957548e-12,1.3491971317282488e-09,0.0025000068810855976
g_mean,7,1.927149726962691e-10,1.3490157066568851e-09,0.0025000082301013045
g_mean,8,1.9504237901413733e-08,1.3451647775395218e-09,0.0025000095752660823
g_mean,9,5.479398219876419e-10,1.3484238919267422e-09,0.0025000109236899743
g_mean,10,2.4620490562466454e-11,1.3491573340318605e-09,0.0025000122728473084
g_mean,11,1.9864558199853173e-12,1.3491868805648326e-09,0.002500013622034189
g_mean,12,1.014150650393772e-13,1.3491860286281473e-09,0.0025000149712202176
g_mean,13,2.2232228943019558e-13,1.3491856807118985e-09,0.0025000163204058983
g_mean,14,1.250390985413699e-13,1.3491856245124958e-09,0.0025000176695915226
g_mean,15,5.604953214879624e-14,1.3491856166318638e-09,0.002500019018777139
g_mean,16,2.2928727872514182e-14,1.3491856155609974e-09,0.002500020367962755
g_mean,17,8.977065239171994e-15,1.3491856154160396e-09,0.00250002171714837
g_mean,18,3.4819220532007755e-15,1.3491856153963072e-09,0.0025000230663339853
g_mean,19,1.3496690744185802e-15,1.3491856153938132e-09,0.0025000244155196005
g_mean,20,4.6878191432842e-16,1.3491856153933796e-09,0.0025000257647052157
g_mean,21,1.9431613436371453e-16,1.3491856153931626e-09,0.002500027113890831
g_mean,22,5.226532097737935e-17,1.3491856153931626e-09,0.002500028463076446
g_mean,23,1.1850329745266563e-16,1.3491856153932712e-09,0.0025000298122620614
g_mean,24,1.385881426979596e-16,1.3491856153933798e-09,0.0025000311614476766
g_mean,25,1.4904391739886669e-16,1.3491856153930543e-09,0.002500032510633292
g_mean,26,3.7269449679189215e-18,1.3491856153931626e-09,0.002500033859818907
g_mean,27,1.629691390517274e-17,1.3491856153931629e-09,0.0025000352090045223
g_mean,28,1.3613513528271115e-16,1.3491856153934881e-09,0.0025000365581901375
g_mean,29,1.6263032587282567e-16,1.3491856153932712e-09,0.0025000379073757528
g_mean,30,2.3588173515137756e-17,1.3491856153932712e-09,0.002500039256561368
g_mean,31,1.9264917352351807e-17,1.3491856153933798e-09,0.002500040605746983
g_mean,32,5.692061405548898e-18,1.3491856153930543e-09,0.0025000419549325984
g_mean,33,5.10930273783794e-18,1.3491856153932712e-09,0.0025000433041182137
g_mean,34,8.95822045016148e-18,1.3491856153931629e-09,0.002500044653303829
g_mean,35,5.319366908757006e-18,1.3491856153932712e-09,0.002500046002489444
g_mean,36,2.3920210430461442e-17,1.3491856153932712e-09,0.0025000473516750593
g_mean,37,3.1977187824744346e-17,1.3491856153934881e-09,0.0025000487008606746
g_mean,38,9.967883723288606e-18,1.349185615392946e-09,0.00250005005004629
g_mean,39,1.1180834903756764e-18,1.3491856153933796e-09,0.002500051399231905
g_mean,40,5.488773498207866e-19,1.3491856153930543e-09,0.0025000527484175202
g_mean,41,1.4568966692773966e-18,1.3491856153934881e-09,0.0025000540976031355
g_mean,42,4.729831977468013e-18,1.3491856153931629e-09,0.0025000554467887507
g_mean,43,3.774378812965162e-18,1.3491856153933798e-09,0.002500056795974366
g_mean,44,6.2341624917916505e-19,1.3491856153931629e-09,0.002500058145159981
g_mean,45,9.486769009248164e-20,1.3491856153931629e-09,0.0025000594943455964
g_mean,46,1.5788694136820158e-18,1.3491856153935965e-09,0.0025000608435312116
g_mean,47,3.40168431617327e-18,1.3491856153931629e-09,0.002500062192716827
g_mean,48,9.283481101907132e-19,1.3491856153930543e-09,0.002500063541902442
g_mean,49,4.824699667560495e-18,1.3491856153931626e-09,0.0025000648910880573
g_mean,50,5.624298769768554e-18,1.3491856153934881e-09,0.0025000662402736725
g_mean,51,7.657177843178875e-19,1.3491856153932712e-09,0.0025000675894592877
g_mean,52,1.7618285302889447e-18,1.3491856153931629e-09,0.002500068938644903
