lambda,m,0,1,2,3,4
0.3,0.01,7352.996,4215.3164,9137.588,3413.671,0.0
0.3,0.1,2579.9355,2753.2896,5282.6904,658.0635,2628.8125
0.3,0.5,0.0,0.0,0.0,519.75,11954.625
0.9,0.01,11822.246,1940.3765,5911.949,1301.4805,5479.789
0.9,0.1,10552.395,1108.2612,3823.8818,121.27246,7919.297
0.9,0.5,10182.213,265.3452,2078.6953,477.01953,12457.875
1.2,0.01,12334.411,1655.0059,5232.0195,785.209,7462.5234
1.2,0.1,11450.295,984.5532,3571.9814,0.0,9223.268
1.2,0.5,11135.105,298.6587,2386.4805,578.64355,12449.49
1.5,0.01,12616.523,1483.6074,4783.1104,545.2363,8648.666
1.5,0.1,11907.541,998.4053,3464.1748,89.9541,9843.998
1.5,0.5,11597.467,333.646,2602.1025,716.3799,12357.203
1.8,0.01,12769.371,1407.2607,4538.7383,510.02246,9280.275
1.8,0.1,12159.908,965.4541,3451.7188,232.875,10222.088
1.8,0.5,11896.724,358.9917,2747.0957,801.5928,12292.865
