lambda,m,0,1,2,3,4
0.3,0.01,16544.328,3997.4502,7724.7456,8340.705,36799.625
0.3,0.1,21317.389,5459.477,11579.644,11096.3125,34170.812
0.3,0.5,23897.324,8212.767,16862.334,11234.626,24845.0
0.9,0.01,12075.078,6272.39,10950.385,10452.8955,31319.836
0.9,0.1,13344.93,7104.5054,13038.452,11633.104,28880.328
0.9,0.5,13715.111,7947.4214,14783.639,11277.356,24341.75
1.2,0.01,11562.913,6557.7607,11630.314,10969.167,29337.102
1.2,0.1,12447.029,7228.2134,13290.353,11754.376,27576.357
1.2,0.5,12762.219,7914.108,14475.854,11175.732,24350.135
1.5,0.01,11280.801,6729.159,12079.224,11209.14,28150.959
1.5,0.1,11989.783,7214.3613,13398.159,11664.422,26955.627
1.5,0.5,12299.857,7879.1206,14260.231,11037.996,24442.422
1.8,0.01,11127.953,6805.506,12323.596,11244.354,27519.35
1.8,0.1,11737.416,7247.3125,13410.615,11521.501,26577.537
1.8,0.5,12000.601,7853.775,14115.238,10952.783,24506.76
