lambda,m,s,V,z
0.3,0.0,0,10278.423,0.38292627134708623
0.3,0.0,1,2440.3872,0.38292627134708623
0.3,0.0,2,4677.9062,0.38292627134708623
0.3,0.0,3,5074.5757,0.38292627134708623
0.3,0.0,4,23458.008,0.38292627134708623
0.3,0.5,0,23897.324,0.31572116770307457
0.3,0.5,1,8212.767,0.31572116770307457
0.3,0.5,2,16862.334,0.31572116770307457
0.3,0.5,3,11234.626,0.31572116770307457
0.3,0.5,4,24845.0,0.31572116770307457
0.3,1.0,0,21713.41,0.30524247940900084
0.3,1.0,1,8570.715,0.30524247940900084
0.3,1.0,2,16853.697,0.30524247940900084
0.3,1.0,3,10914.64,0.30524247940900084
0.3,1.0,4,25429.81,0.30524247940900084
0.9,0.0,0,6326.476,0.30771280742258045
0.9,0.0,1,3267.1448,0.30771280742258045
0.9,0.0,2,5680.842,0.30771280742258045
0.9,0.0,3,5442.178,0.30771280742258045
0.9,0.0,4,16734.234,0.30771280742258045
0.9,0.5,0,13715.111,0.27716130675138195
0.9,0.5,1,7947.4214,0.27716130675138195
0.9,0.5,2,14783.639,0.27716130675138195
0.9,0.5,3,11277.356,0.27716130675138195
0.9,0.5,4,24341.75,0.27716130675138195
0.9,1.0,0,13731.387,0.27308532938465635
0.9,1.0,1,8077.0054,0.27308532938465635
0.9,1.0,2,14764.309,0.27308532938465635
0.9,1.0,3,11018.277,0.27308532938465635
0.9,1.0,4,24864.62,0.27308532938465635
1.5,0.0,0,5601.276,0.2739617712373993
1.5,0.0,1,3318.533,0.2739617712373993
1.5,0.0,2,5967.398,0.2739617712373993
1.5,0.0,3,5553.626,0.2739617712373993
1.5,0.0,4,14168.78,0.2739617712373993
1.5,0.5,0,12299.857,0.2537600316260946
1.5,0.5,1,7879.1206,0.2537600316260946
1.5,0.5,2,14260.231,0.2537600316260946
1.5,0.5,3,11037.996,0.2537600316260946
1.5,0.5,4,24442.422,0.2537600316260946
1.5,1.0,0,12388.46,0.25092529815268494
1.5,1.0,1,7937.7944,0.25092529815268494
1.5,1.0,2,14191.31,0.25092529815268494
1.5,1.0,3,10800.96,0.25092529815268494
1.5,1.0,4,24822.676,0.25092529815268494
2.0,0.0,0,5367.162,0.2520900275694387
2.0,0.0,1,3298.3132,0.2520900275694387
2.0,0.0,2,6016.1562,0.2520900275694387
2.0,0.0,3,5436.794,0.2520900275694387
2.0,0.0,4,13329.56,0.2520900275694387
2.0,0.5,0,11854.642,0.23634038005797917
2.0,0.5,1,7841.503,0.23634038005797917
2.0,0.5,2,14042.778,0.23634038005797917
2.0,0.5,3,10911.647,0.23634038005797917
2.0,0.5,4,24543.273,0.23634038005797917
2.0,1.0,0,11917.339,0.2339820056483494
2.0,1.0,1,7886.2554,0.2339820056483494
2.0,1.0,2,13983.173,0.2339820056483494
2.0,1.0,3,10720.093,0.2339820056483494
2.0,1.0,4,24810.363,0.2339820056483494
2.5,0.0,0,5241.31,0.23256104286929108
2.5,0.0,1,3293.8208,0.23256104286929108
2.5,0.0,2,6022.14,0.23256104286929108
2.5,0.0,3,5297.4204,0.23256104286929108
2.5,0.0,4,12859.711,0.23256104286929108
2.5,0.5,0,11590.338,0.219616010832905
2.5,0.5,1,7813.533,0.219616010832905
2.5,0.5,2,13915.334,0.219616010832905
2.5,0.5,3,10821.624,0.219616010832905
2.5,0.5,4,24616.715,0.219616010832905
2.5,1.0,0,11642.619,0.21753823326224406
2.5,1.0,1,7855.49,0.21753823326224406
2.5,1.0,2,13861.622,0.21753823326224406
2.5,1.0,3,10661.252,0.21753823326224406
2.5,1.0,4,24808.594,0.21753823326224406
3.0,0.0,0,5158.0645,0.21428579349495527
3.0,0.0,1,3305.1052,0.21428579349495527
3.0,0.0,2,6024.374,0.21428579349495527
3.0,0.0,3,5176.2026,0.21428579349495527
3.0,0.0,4,12538.899,0.21428579349495527
3.0,0.5,0,11416.236,0.20324200639058296
3.0,0.5,1,7793.157,0.20324200639058296
3.0,0.5,2,13832.382,0.20324200639058296
3.0,0.5,3,10755.857,0.20324200639058296
3.0,0.5,4,24661.203,0.20324200639058296
3.0,1.0,0,11459.203,0.2013443607349277
3.0,1.0,1,7835.169,0.2013443607349277
3.0,1.0,2,13779.375,0.2013443607349277
3.0,1.0,3,10621.088,0.2013443607349277
3.0,1.0,4,24812.887,0.2013443607349277
