asset,lambda,m,label,t,w
SPX,0.3,0.01,low_lambda_low_m,1,0.22157170575553412
SPX,0.3,0.01,low_lambda_low_m,2,0.8823175228403907
SPX,0.3,0.01,low_lambda_low_m,3,2.2391651763437027e-08
SPX,0.3,0.01,low_lambda_low_m,4,0.2715459571133838
SPX,0.3,0.01,low_lambda_low_m,5,1.4267901662644506e-08
SPX,0.3,0.01,low_lambda_low_m,6,4.6261340075594634e-07
SPX,0.3,0.01,low_lambda_low_m,7,0.9999999634712636
SPX,0.3,0.01,low_lambda_low_m,8,1.2496027084562746e-07
SPX,0.3,0.01,low_lambda_low_m,9,0.5023972115341352
SPX,0.3,0.01,low_lambda_low_m,10,0.10422926979580796
SPX,0.3,0.01,low_lambda_low_m,11,0.10125208464167289
SPX,0.3,0.01,low_lambda_low_m,12,0.24289958593230818
SPX,0.3,0.01,low_lambda_low_m,13,2.541697448396557e-08
SPX,0.3,0.01,low_lambda_low_m,14,0.2519761031481162
SPX,0.3,0.01,low_lambda_low_m,15,9.032573393080267e-07
SPX,0.3,0.01,low_lambda_low_m,16,3.9038520629775285e-08
SPX,0.3,0.01,low_lambda_low_m,17,0.037698637157446126
SPX,0.3,0.01,low_lambda_low_m,18,0.9088596076907582
SPX,0.3,0.01,low_lambda_low_m,19,5.762624677153712e-08
SPX,0.3,0.01,low_lambda_low_m,20,1.352981618786601e-07
SPX,0.3,0.01,low_lambda_low_m,21,0.32407221256134366
SPX,0.3,0.01,low_lambda_low_m,22,0.9999999552030931
SPX,0.3,0.01,low_lambda_low_m,23,0.9999999630926113
SPX,0.3,0.01,low_lambda_low_m,24,0.28472624432541566
SPX,0.3,0.01,low_lambda_low_m,25,0.9999999538515356
SPX,0.3,0.01,low_lambda_low_m,26,0.9999999693654004
SPX,0.3,0.01,low_lambda_low_m,27,1.2217941103548246e-07
SPX,0.3,0.01,low_lambda_low_m,28,0.9999999279591368
SPX,0.3,0.01,low_lambda_low_m,29,2.2643170853074947e-08
SPX,0.3,0.01,low_lambda_low_m,30,0.9992511792444772
SPX,0.3,0.01,low_lambda_low_m,31,0.9999999870009447
SPX,0.3,0.01,low_lambda_low_m,32,0.6556955405323766
SPX,0.3,0.01,low_lambda_low_m,33,0.48116584330270484
SPX,0.3,0.01,low_lambda_low_m,34,0.9999997964307662
SPX,0.3,0.01,low_lambda_low_m,35,3.033002284103194e-08
SPX,0.3,0.01,low_lambda_low_m,36,0.7069495014352204
SPX,0.3,0.01,low_lambda_low_m,37,0.1953342979531177
SPX,0.3,0.01,low_lambda_low_m,38,0.3513598160033799
SPX,0.3,0.01,low_lambda_low_m,39,0.25586687358478305
SPX,0.3,0.01,low_lambda_low_m,40,0.28662407464217265
SPX,0.3,0.01,low_lambda_low_m,41,0.9995253687379196
SPX,0.3,0.01,low_lambda_low_m,42,0.21663022090919906
SPX,0.3,0.01,low_lambda_low_m,43,3.14187164654703e-06
SPX,0.3,0.01,low_lambda_low_m,44,0.8781350299807293
SPX,0.3,0.01,low_lambda_low_m,45,0.9999999918618222
SPX,0.3,0.01,low_lambda_low_m,46,0.13646678028469028
SPX,0.3,0.01,low_lambda_low_m,47,0.9252265719920363
SPX,0.3,0.01,low_lambda_low_m,48,0.9999999548596921
SPX,0.3,0.01,low_lambda_low_m,49,7.152049198673237e-08
SPX,0.3,0.01,low_lambda_low_m,50,0.24814726657370773
SPX,0.3,0.01,low_lambda_low_m,51,0.6642814238830551
SPX,0.3,0.01,low_lambda_low_m,52,0.2849189821294182
SPX,0.3,0.01,low_lambda_low_m,53,0.073994647593509
SPX,0.3,0.01,low_lambda_low_m,54,0.9999999286943604
SPX,0.3,0.01,low_lambda_low_m,55,0.19257418553873923
SPX,0.3,0.01,low_lambda_low_m,56,0.9999999414615927
SPX,0.3,0.01,low_lambda_low_m,57,0.21584493934875137
SPX,0.3,0.01,low_lambda_low_m,58,0.9999998948786267
SPX,0.3,0.01,low_lambda_low_m,59,0.999997149255205
SPX,0.3,0.01,low_lambda_low_m,60,0.1362285470888618
SPX,0.3,0.01,low_lambda_low_m,61,0.9999999862122995
SPX,0.3,0.01,low_lambda_low_m,62,0.9999997860191132
SPX,0.3,0.01,low_lambda_low_m,63,0.48516536508877867
SPX,0.3,0.01,low_lambda_low_m,64,0.9999997950300041
SPX,0.3,0.01,low_lambda_low_m,65,0.8851578398732698
SPX,0.3,0.01,low_lambda_low_m,66,0.2531834992315451
SPX,0.3,0.01,low_lambda_low_m,67,0.9999999417134252
SPX,0.3,0.01,low_lambda_low_m,68,0.6928043116812493
SPX,0.3,0.01,low_lambda_low_m,69,0.9999999740524963
SPX,0.3,0.01,low_lambda_low_m,70,0.06053875861031627
SPX,0.3,0.01,low_lambda_low_m,71,3.5517173727524915e-08
SPX,0.3,0.01,low_lambda_low_m,72,8.518412058688842e-08
SPX,0.3,0.01,low_lambda_low_m,73,0.9999999611443777
SPX,0.3,0.01,low_lambda_low_m,74,2.0910662268422e-08
SPX,0.3,0.01,low_lambda_low_m,75,0.9351535998385327
SPX,0.3,0.01,low_lambda_low_m,76,3.647192357152097e-08
SPX,0.3,0.01,low_lambda_low_m,77,0.9999999792354297
SPX,0.3,0.01,low_lambda_low_m,78,0.9999999786772416
SPX,0.3,0.01,low_lambda_low_m,79,0.9999999915487436
SPX,0.3,0.01,low_lambda_low_m,80,0.999999983924107
SPX,0.3,0.01,low_lambda_low_m,81,0.9999999819552705
SPX,0.3,0.01,low_lambda_low_m,82,0.9999999588379761
SPX,0.3,0.01,low_lambda_low_m,83,0.05203760909619486
SPX,0.3,0.01,low_lambda_low_m,84,0.5611200283987124
SPX,0.3,0.01,low_lambda_low_m,85,0.8547366694207187
SPX,0.3,0.01,low_lambda_low_m,86,0.7212053926318401
SPX,0.3,0.01,low_lambda_low_m,87,0.25356551300842733
