lambda,m,s,V,z
0.3,0.01,0,30636.877,0.46660146894348065
0.3,0.01,1,5439.285,0.46660146894348065
0.3,0.01,2,13435.167,0.46660146894348065
0.3,0.01,3,3278.2336,0.46660146894348065
0.3,0.01,4,20879.162,0.46660146894348065
0.3,0.1,0,35638.938,0.4612394275035787
0.3,0.1,1,5378.2197,0.4612394275035787
0.3,0.1,2,13721.612,0.4612394275035787
0.3,0.1,3,3530.448,0.4612394275035787
0.3,0.1,4,23147.947,0.4612394275035787
0.3,0.5,0,46620.62,0.45146001707130323
0.3,0.5,1,4621.7305,0.45146001707130323
0.3,0.5,2,14859.961,0.45146001707130323
0.3,0.5,3,4134.6626,0.45146001707130323
0.3,0.5,4,25252.47,0.45146001707130323
0.9,0.01,0,11918.658,0.39938174806251314
0.9,0.01,1,9192.53,0.39938174806251314
0.9,0.01,2,14541.392,0.39938174806251314
0.9,0.01,3,9311.076,0.39938174806251314
0.9,0.01,4,23502.594,0.39938174806251314
0.9,0.1,0,12630.482,0.3960096187081592
0.9,0.1,1,9187.536,0.3960096187081592
0.9,0.1,2,14249.685,0.3960096187081592
0.9,0.1,3,9621.399,0.3960096187081592
0.9,0.1,4,24448.135,0.3960096187081592
0.9,0.5,0,13900.785,0.39217495916334555
0.9,0.5,1,8601.445,0.39217495916334555
0.9,0.5,2,14633.943,0.39217495916334555
0.9,0.5,3,10137.788,0.39217495916334555
0.9,0.5,4,25774.84,0.39217495916334555
1.2,0.01,0,10213.09,0.39971282033428285
1.2,0.01,1,9375.827,0.39971282033428285
1.2,0.01,2,14030.453,0.39971282033428285
1.2,0.01,3,10484.47,0.39971282033428285
1.2,0.01,4,23437.123,0.39971282033428285
1.2,0.1,0,10655.873,0.3969525040470825
1.2,0.1,1,9393.364,0.3969525040470825
1.2,0.1,2,13897.934,0.3969525040470825
1.2,0.1,3,10781.084,0.3969525040470825
1.2,0.1,4,24024.498,0.3969525040470825
1.2,0.5,0,11476.089,0.393694566438153
1.2,0.5,1,8920.149,0.393694566438153
1.2,0.5,2,14273.954,0.393694566438153
1.2,0.5,3,11196.698,0.393694566438153
1.2,0.5,4,25237.56,0.393694566438153
1.5,0.01,0,9276.955,0.4051560827374221
1.5,0.01,1,9449.838,0.4051560827374221
1.5,0.01,2,13702.138,0.4051560827374221
1.5,0.01,3,11226.509,0.4051560827374221
1.5,0.01,4,23353.514,0.4051560827374221
1.5,0.1,0,9615.913,0.40270920668962795
1.5,0.1,1,9526.119,0.40270920668962795
1.5,0.1,2,13680.711,0.40270920668962795
1.5,0.1,3,11474.703,0.40270920668962795
1.5,0.1,4,23786.404,0.40270920668962795
1.5,0.5,0,10177.346,0.3997311101932616
1.5,0.5,1,9115.205,0.3997311101932616
1.5,0.5,2,14053.832,0.3997311101932616
1.5,0.5,3,11896.001,0.3997311101932616
1.5,0.5,4,24811.352,0.3997311101932616
1.8,0.01,0,8691.17,0.41315708298730935
1.8,0.01,1,9483.299,0.41315708298730935
1.8,0.01,2,13476.885,0.41315708298730935
1.8,0.01,3,11726.396,0.41315708298730935
1.8,0.01,4,23269.025,0.41315708298730935
1.8,0.1,0,8977.314,0.4108894663048035
1.8,0.1,1,9606.372,0.4108894663048035
1.8,0.1,2,13527.006,0.4108894663048035
1.8,0.1,3,11956.16,0.4108894663048035
1.8,0.1,4,23603.635,0.4108894663048035
1.8,0.5,0,9375.946,0.4080332814038963
1.8,0.5,1,9263.128,0.4080332814038963
1.8,0.5,2,13863.979,0.4080332814038963
1.8,0.5,3,12368.4,0.4080332814038963
1.8,0.5,4,24512.36,0.4080332814038963
