asset,lag,abs_grad
SPX,1,8.044945460673747e-13
SPX,2,1.009342240863853e-12
SPX,3,1.334549983543487e-12
SPX,4,1.8129348933540457e-12
SPX,5,2.491570751800287e-12
SPX,6,3.4555179898032584e-12
SPX,7,4.763023742776484e-12
SPX,8,6.676457130205815e-12
SPX,9,9.450540176814126e-12
SPX,10,1.3530406829664887e-11
SPX,11,1.9445738422274594e-11
SPX,12,2.7788472911627338e-11
SPX,13,4.0309519611092526e-11
SPX,14,5.84919751522861e-11
SPX,15,8.563833669983367e-11
SPX,16,1.2412978978026956e-10
SPX,17,1.810235294996687e-10
SPX,18,2.6670460284705655e-10
SPX,19,3.889971955661764e-10
SPX,20,5.652872059336289e-10
SPX,21,8.525191108610386e-10
SPX,22,1.2830656537232699e-09
SPX,23,1.9491710467889334e-09
SPX,24,2.979122504243037e-09
SPX,25,4.68866678815516e-09
SPX,26,7.358530673684527e-09
SPX,27,1.1600670646316757e-08
SPX,28,1.8371475007938898e-08
SPX,29,2.9267932077914338e-08
SPX,30,4.737011494171384e-08
SPX,31,7.666787382731854e-08
SPX,32,1.2337955013208557e-07
SPX,33,1.98492557501595e-07
SPX,34,3.1712815484752355e-07
SPX,35,5.056468808106729e-07
SPX,36,8.06217599347292e-07
SPX,37,1.2822428061554092e-06
SPX,38,2.0338400190667016e-06
SPX,39,3.2377422485296847e-06
SPX,40,5.0924959396070335e-06
SPX,41,7.986813216120936e-06
SPX,42,1.2476613846956752e-05
SPX,43,1.9396144125494175e-05
SPX,44,2.9717461075051688e-05
SPX,45,4.523419192992151e-05
SPX,46,6.787710299249738e-05
SPX,47,0.000100730947451666
SPX,48,0.00014691572869196534
SPX,49,0.00021235592430457473
SPX,50,0.0002997101400978863
SPX,51,0.00041337733273394406
SPX,52,0.0005562167498283088
SPX,53,0.0007236858364194632
SPX,54,0.0009044907637871802
SPX,55,0.0010714835952967405
SPX,56,0.0012746768770739436
SPX,57,0.0016583902761340141
SPX,58,0.002447740640491247
SPX,59,0.005198672879487276
SPX,60,0.0161253921687603
CMC200,1,4.0322720206223406e-13
CMC200,2,4.768088051124164e-13
CMC200,3,6.418597207555332e-13
CMC200,4,9.062963595742046e-13
CMC200,5,1.3813606291809832e-12
CMC200,6,2.12832767902682e-12
CMC200,7,3.186921429879086e-12
CMC200,8,4.826790876710785e-12
CMC200,9,7.070185149143926e-12
CMC200,10,1.0692250904109635e-11
CMC200,11,1.6084317905340484e-11
CMC200,12,2.5075767851046038e-11
CMC200,13,3.8835441806828186e-11
CMC200,14,6.269173374873205e-11
CMC200,15,9.929734812175184e-11
CMC200,16,1.593172677116783e-10
CMC200,17,2.483160066457657e-10
CMC200,18,4.020479782429476e-10
CMC200,19,6.419491604958694e-10
CMC200,20,1.0113260229260845e-09
CMC200,21,1.576824115723241e-09
CMC200,22,2.494815909415138e-09
CMC200,23,3.9094762982472275e-09
CMC200,24,6.1301181908390845e-09
CMC200,25,9.534804057409474e-09
CMC200,26,1.493432399968242e-08
CMC200,27,2.317893965653184e-08
CMC200,28,3.599924980335345e-08
CMC200,29,5.6022251726517425e-08
CMC200,30,8.646451021832036e-08
CMC200,31,1.332957566546611e-07
CMC200,32,2.0473869710713188e-07
CMC200,33,3.129950698621542e-07
CMC200,34,4.77972037060681e-07
CMC200,35,7.250663998092932e-07
CMC200,36,1.0978418458762462e-06
CMC200,37,1.6500612218806054e-06
CMC200,38,2.4729754386498826e-06
CMC200,39,3.6553910831571557e-06
CMC200,40,5.38475478606415e-06
CMC200,41,7.890408596722409e-06
CMC200,42,1.1410374099796172e-05
CMC200,43,1.605095894774422e-05
CMC200,44,2.2205600544111803e-05
CMC200,45,2.9848502890672535e-05
CMC200,46,3.8628488255199045e-05
CMC200,47,4.6255368943093345e-05
CMC200,48,5.068291648058221e-05
CMC200,49,5.1977876864839345e-05
CMC200,50,7.041228673188016e-05
CMC200,51,0.00015230542339850217
CMC200,52,0.00036421019467525184
CMC200,53,0.0008398767677135766
CMC200,54,0.0016924213850870728
CMC200,55,0.0031564049422740936
CMC200,56,0.005473461002111435
CMC200,57,0.008536041714251041
CMC200,58,0.011417887173593044
CMC200,59,0.00936238281428814
CMC200,60,0.010877211578190327
