lag,pinball,delta_vs_baseline
1,0.01640573191517938,-3.1044087439591195e-11
2,0.016405731920741448,-2.5482019272438095e-11
3,0.016405731923716506,-2.2506961572243966e-11
4,0.01640573191530873,-3.091473604888151e-11
5,0.016405731916472883,-2.9750583940835185e-11
6,0.016405731930960125,-1.52633426730997e-11
7,0.01640573194363646,-2.5870069975120202e-12
8,0.01640573192539806,-2.082540737080585e-11
9,0.01640573193703959,-9.183875882001757e-12
10,0.016405731921517546,-2.470592133652083e-11
11,0.01640573191453263,-3.1690837454245724e-11
12,0.016405731844812785,-1.0141068193525449e-10
13,0.016405731849534075,-9.668939260354392e-11
14,0.016405731927597016,-1.8626451075975936e-11
15,0.0164057318872397,-5.898376578827857e-11
16,0.016405731854643415,-9.158005256915125e-11
17,0.016405731929084545,-1.7138922225878872e-11
18,0.016405731888403857,-5.78196102107853e-11
19,0.016405731865896892,-8.032657525247622e-11
20,0.016405731921194173,-2.502929460912462e-11
21,0.01640573192339313,-2.2830338314294707e-11
22,0.01640573196025798,1.4034513134975057e-11
23,0.01640573189545345,-5.077001666298209e-11
24,0.016405731853285237,-9.293823002853863e-11
25,0.016405731865185468,-8.103799922776211e-11
26,0.016405732040778578,9.455511026934538e-11
27,0.01640573199964516,5.342169415167852e-11
28,0.01640573195611877,9.895303326734606e-12
29,0.016405732447456103,5.01232635258253e-10
30,0.016405731850892256,-9.533121167470959e-11
31,0.016405732290618792,3.443953247583842e-10
32,0.01640573176480959,-1.81413876976233e-10
33,0.01640573426909719,2.3228737232317e-09
34,0.016405734135284247,2.1890607798669137e-09
35,0.016405723339962097,-8.606261370225354e-09
36,0.01640572842750569,-3.5187177789552937e-09
37,0.01640572881303443,-3.1331890380792426e-09
38,0.016405718349237253,-1.3596986214031714e-08
39,0.016405757257630788,2.5311407320788293e-08
40,0.016405755190741427,2.3244517959736255e-08
41,0.016405644766992838,-8.717923062964705e-08
42,0.016405702562608187,-2.938361528051492e-08
43,0.0164058724277614,1.4048153793369544e-07
44,0.01640554674652069,-1.8519970277838804e-07
45,0.016405929071447143,1.971252236755705e-07
46,0.01640549410150723,-2.3784471623808368e-07
47,0.016405940679736282,2.0873351281452956e-07
48,0.016405166373685155,-5.655725383128807e-07
49,0.016404119496485993,-1.6124497374744862e-06
50,0.01641037755655513,4.6456103316612485e-06
51,0.016403921448929597,-1.810497293870672e-06
52,0.016403844939163213,-1.8870070602541866e-06
53,0.016398677264191468,-7.054682031999715e-06
54,0.01640999150084099,4.25955461752156e-06
55,0.016409817641090032,4.085694866564488e-06
56,0.016390893440548095,-1.483850567537276e-05
57,0.01640756822142672,1.836275203254134e-06
58,0.016510342181847795,0.00010461023562432711
59,0.016544771485399297,0.0001390395391758295
60,0.0168231121995551,0.0004173802533316319
