lambda,m,s,V,z
0.3,0.1,0,3667.4111,0.7893805980673119
0.3,0.1,1,5146.706,0.7893805980673119
0.3,0.1,2,15346.336,0.7893805980673119
0.3,0.1,3,27908.527,0.7893805980673119
0.3,0.1,4,63298.312,0.7893805980673119
0.3,0.5,0,3667.4038,0.7883810201399785
0.3,0.5,1,5146.6973,0.7883810201399785
0.3,0.5,2,15346.371,0.7883810201399785
0.3,0.5,3,27908.598,0.7883810201399785
0.3,0.5,4,63298.285,0.7883810201399785
0.3,1.0,0,3667.4106,0.7871301693803886
0.3,1.0,1,5146.706,0.7871301693803886
0.3,1.0,2,15346.377,0.7871301693803886
0.3,1.0,3,27908.566,0.7871301693803886
0.3,1.0,4,63298.18,0.7871301693803886
0.9,0.1,0,5039.092,0.5344920116894986
0.9,0.1,1,7446.3994,0.5344920116894986
0.9,0.1,2,14766.338,0.5344920116894986
0.9,0.1,3,21903.21,0.5344920116894986
0.9,0.1,4,42826.29,0.5344920116894986
0.9,0.5,0,5067.159,0.5337427444708925
0.9,0.5,1,7403.0723,0.5337427444708925
0.9,0.5,2,14712.865,0.5337427444708925
0.9,0.5,3,22303.225,0.5337427444708925
0.9,0.5,4,42580.047,0.5337427444708925
0.9,1.0,0,5093.4946,0.5335190416565763
0.9,1.0,1,7356.8853,0.5335190416565763
0.9,1.0,2,14803.624,0.5335190416565763
0.9,1.0,3,22486.73,0.5335190416565763
0.9,1.0,4,42209.05,0.5335190416565763
1.2,0.1,0,5466.716,0.5063789584938008
1.2,0.1,1,8092.47,0.5063789584938008
1.2,0.1,2,14627.363,0.5063789584938008
1.2,0.1,3,20684.143,0.5063789584938008
1.2,0.1,4,37667.324,0.5063789584938008
1.2,0.5,0,5488.9272,0.5057010643847902
1.2,0.5,1,8067.0273,0.5057010643847902
1.2,0.5,2,14527.146,0.5057010643847902
1.2,0.5,3,20963.129,0.5057010643847902
1.2,0.5,4,37543.016,0.5057010643847902
1.2,1.0,0,5508.694,0.5053524936825022
1.2,1.0,1,8038.12,0.5053524936825022
1.2,1.0,2,14525.518,0.5053524936825022
1.2,1.0,3,21086.691,0.5053524936825022
1.2,1.0,4,37347.3,0.5053524936825022
1.5,0.1,0,5729.0073,0.4967899943277123
1.5,0.1,1,8485.916,0.4967899943277123
1.5,0.1,2,14522.071,0.4967899943277123
1.5,0.1,3,19938.088,0.4967899943277123
1.5,0.1,4,34784.79,0.4967899943277123
1.5,0.5,0,5748.821,0.4960399423267202
1.5,0.5,1,8466.35,0.4960399423267202
1.5,0.5,2,14440.538,0.4960399423267202
1.5,0.5,3,20153.26,0.4960399423267202
1.5,0.5,4,34692.152,0.4960399423267202
1.5,1.0,0,5766.1943,0.4955055873100217
1.5,1.0,1,8441.805,0.4955055873100217
1.5,1.0,2,14439.569,0.4955055873100217
1.5,1.0,3,20249.635,0.4955055873100217
1.5,1.0,4,34551.805,0.4955055873100217
1.8,0.1,0,5906.4697,0.4964891559606096
1.8,0.1,1,8751.569,0.4964891559606096
1.8,0.1,2,14440.929,0.4964891559606096
1.8,0.1,3,19438.47,0.4964891559606096
1.8,0.1,4,32956.453,0.4964891559606096
1.8,0.5,0,5924.9307,0.4956928158939891
1.8,0.5,1,8735.888,0.4956928158939891
1.8,0.5,2,14372.321,0.4956928158939891
1.8,0.5,3,19612.346,0.4956928158939891
1.8,0.5,4,32882.94,0.4956928158939891
1.8,1.0,0,5939.7456,0.49503243426916604
1.8,1.0,1,8715.014,0.49503243426916604
1.8,1.0,2,14370.857,0.49503243426916604
1.8,1.0,3,19692.414,0.49503243426916604
1.8,1.0,4,32774.434,0.49503243426916604
