lambda,m,0,1,2,3,4
0.3,0.1,2272.3345,3604.8633,0.041015625,0.0703125,0.0
0.3,0.5,2272.3418,3604.872,0.005859375,0.0,0.02734375
0.3,1.0,2272.335,3604.8633,0.0,0.03125,0.1328125
0.9,0.1,900.6538,1305.1699,580.03906,6005.3867,20472.023
0.9,0.5,872.5864,1348.4971,633.5117,5605.373,20718.266
0.9,1.0,846.251,1394.6841,542.7529,5421.867,21089.262
1.2,0.1,473.0298,659.0991,719.0137,7224.455,25630.988
1.2,0.5,450.81836,684.542,819.23047,6945.4688,25755.297
1.2,1.0,431.05176,713.4492,820.8594,6821.9062,25951.012
1.5,0.1,210.73828,265.65332,824.30566,7970.51,28513.523
1.5,0.5,190.9248,285.21973,905.83887,7755.338,28606.16
1.5,1.0,173.55127,309.76465,906.8076,7658.963,28746.508
1.8,0.1,33.27588,0.0,905.44824,8470.127,30341.86
1.8,0.5,14.814941,15.681641,974.05566,8296.252,30415.371
1.8,1.0,0.0,36.555664,975.51953,8216.184,30523.879
