setup,asset,regime,mu_hat,mu_hat_pct
rollout+phist,SPX,bear,0.0020529826250624563,0.20529826250624564
rollout+phist,SPX,bull,0.001747236270766076,0.1747236270766076
rollout+phist,CMC200,bear,0.008654224603924817,0.8654224603924817
rollout+phist,CMC200,bull,0.002832403484961032,0.2832403484961032
rollout+psign,SPX,bear,-0.018599932069444443,-1.8599932069444443
rollout+psign,SPX,bull,0.018068000065934064,1.8068000065934064
rollout+psign,CMC200,bear,-0.07062604135526317,-7.062604135526317
rollout+psign,CMC200,bull,0.06955774791954024,6.955774791954024
scenarios+psign,SPX,bear,-0.018599932069444443,-1.8599932069444443
scenarios+psign,SPX,bull,0.018068000065934064,1.8068000065934064
scenarios+psign,CMC200,bear,-0.07062604135526317,-7.062604135526317
scenarios+psign,CMC200,bull,0.06955774791954024,6.955774791954024
