asset,setup,t,w
SPX,rollout+phist,1,8.20831784700154e-08
SPX,rollout+phist,2,2.9137652553793596e-08
SPX,rollout+phist,3,2.5960208496333265e-08
SPX,rollout+phist,4,2.5910596157559924e-08
SPX,rollout+phist,5,2.5967954577141837e-08
SPX,rollout+phist,6,2.5992769687720207e-08
SPX,rollout+phist,7,2.6026474369506632e-08
SPX,rollout+phist,8,2.6321185080460663e-08
SPX,rollout+phist,9,2.634738841141536e-08
SPX,rollout+phist,10,2.6347182484492168e-08
SPX,rollout+phist,11,2.634616928307433e-08
SPX,rollout+phist,12,2.6345740567837732e-08
SPX,rollout+phist,13,2.6345587461862026e-08
SPX,rollout+phist,14,2.6345534011074393e-08
SPX,rollout+phist,15,2.6345515137987706e-08
SPX,rollout+phist,16,2.634550836827e-08
SPX,rollout+phist,17,2.6345505962045907e-08
SPX,rollout+phist,18,2.634550509060486e-08
SPX,rollout+phist,19,2.634550473142223e-08
SPX,rollout+phist,20,2.6345504593200007e-08
SPX,rollout+phist,21,2.634550458651861e-08
SPX,rollout+phist,22,2.634550452935405e-08
SPX,rollout+phist,23,2.63455045617988e-08
SPX,rollout+phist,24,2.6345504594528155e-08
SPX,rollout+phist,25,2.6345504494876422e-08
SPX,rollout+phist,26,2.6345504561229595e-08
SPX,rollout+phist,27,2.6345504536509786e-08
SPX,rollout+phist,28,2.634550451267089e-08
SPX,rollout+phist,29,2.6345504599366407e-08
SPX,rollout+phist,30,2.6345504512589575e-08
SPX,rollout+phist,31,2.634550456854796e-08
SPX,rollout+phist,32,2.634550452656223e-08
SPX,rollout+phist,33,2.634550450532542e-08
SPX,rollout+phist,34,2.6345504521181878e-08
SPX,rollout+phist,35,2.6345504558383565e-08
SPX,rollout+phist,36,2.6345504570553734e-08
SPX,rollout+phist,37,2.6345504563736813e-08
SPX,rollout+phist,38,2.6345504553287814e-08
SPX,rollout+phist,39,2.634550456678613e-08
SPX,rollout+phist,40,2.6345504547243387e-08
SPX,rollout+phist,41,2.634550455476504e-08
SPX,rollout+phist,42,2.6345504542364478e-08
SPX,rollout+phist,43,2.634550455734002e-08
SPX,rollout+phist,44,2.634550454693168e-08
SPX,rollout+phist,45,2.6345504548883243e-08
SPX,rollout+phist,46,2.6345504511613793e-08
SPX,rollout+phist,47,2.6345504543408022e-08
SPX,rollout+phist,48,2.6345504547338255e-08
SPX,rollout+phist,49,2.6345504520883722e-08
SPX,rollout+phist,50,2.634550454382815e-08
SPX,rollout+phist,51,2.6345504547284045e-08
SPX,rollout+phist,52,2.6345504523296072e-08
SPX,rollout+phist,53,2.634550454286592e-08
SPX,rollout+phist,54,2.6345504547297597e-08
SPX,rollout+phist,55,2.6345504523296072e-08
SPX,rollout+phist,56,2.634550454286592e-08
SPX,rollout+phist,57,2.6345504547297597e-08
SPX,rollout+phist,58,2.6345504523309624e-08
SPX,rollout+phist,59,2.634550454286592e-08
SPX,rollout+phist,60,2.6345504547297597e-08
SPX,rollout+phist,61,2.6345504523309624e-08
SPX,rollout+phist,62,2.634550454286592e-08
SPX,rollout+phist,63,2.6345504547297597e-08
SPX,rollout+phist,64,2.6345504523309624e-08
SPX,rollout+phist,65,2.634550454286592e-08
SPX,rollout+phist,66,2.6345504547297597e-08
SPX,rollout+phist,67,2.6345504523309624e-08
SPX,rollout+phist,68,2.634550454286592e-08
SPX,rollout+phist,69,2.6345504547297597e-08
SPX,rollout+phist,70,2.6345504523309624e-08
SPX,rollout+phist,71,2.634550454286592e-08
SPX,rollout+phist,72,2.6345504547297597e-08
SPX,rollout+phist,73,2.6345504523309624e-08
SPX,rollout+phist,74,2.634550454286592e-08
SPX,rollout+phist,75,2.6345504547297597e-08
SPX,rollout+phist,76,2.6345504523309624e-08
SPX,rollout+phist,77,2.634550454286592e-08
SPX,rollout+phist,78,2.6345504547297597e-08
SPX,rollout+phist,79,2.6345504523309624e-08
SPX,rollout+phist,80,2.634550454286592e-08
SPX,rollout+phist,81,2.6345504547297597e-08
SPX,rollout+phist,82,2.6345504523309624e-08
SPX,rollout+phist,83,2.634550454286592e-08
SPX,rollout+phist,84,2.6345504547297597e-08
SPX,rollout+phist,85,2.6345504523309624e-08
SPX,rollout+phist,86,2.634550454286592e-08
SPX,rollout+phist,87,2.6345504547297597e-08
