setup,t,RG_cap
rollout+phist,1,10000.0
rollout+phist,2,13467.765139768195
rollout+phist,3,12176.687668486735
rollout+phist,4,10471.121675468246
rollout+phist,5,12051.70707467614
rollout+phist,6,13455.551836704046
rollout+phist,7,16432.41870619209
rollout+phist,8,18893.86372982091
rollout+phist,9,14743.845512107106
rollout+phist,10,15742.877415757363
rollout+phist,11,18047.751476838297
rollout+phist,12,18679.46626901025
rollout+phist,13,17489.990750760782
rollout+phist,14,19114.266493197247
rollout+phist,15,19520.82699912252
rollout+phist,16,21910.1762043853
rollout+phist,17,17949.052858216182
rollout+phist,18,20451.337213272043
rollout+phist,19,22427.89186731061
rollout+phist,20,21364.442306211007
rollout+phist,21,12621.709720797193
rollout+phist,22,12195.388554762514
rollout+phist,23,13360.052594952174
rollout+phist,24,12369.837212470044
rollout+phist,25,11866.04391823219
rollout+phist,26,10252.95736867269
rollout+phist,27,10828.054829855866
rollout+phist,28,11100.990280716702
rollout+phist,29,10063.789425168947
rollout+phist,30,10461.569531555324
rollout+phist,31,12395.569760496839
rollout+phist,32,13465.877724237027
rollout+phist,33,15187.675935394624
rollout+phist,34,15777.387051851121
rollout+phist,35,15800.970636090598
rollout+phist,36,16727.093389733778
rollout+phist,37,14398.007856042477
rollout+phist,38,15103.28175076691
rollout+phist,39,13470.16244291016
rollout+phist,40,14873.540588536212
rollout+phist,41,16312.665147331207
rollout+phist,42,17900.98682203345
rollout+phist,43,17913.842170136075
rollout+phist,44,18850.858553886854
rollout+phist,45,18807.920585769596
rollout+phist,46,19576.555644672306
rollout+phist,47,17785.534319493276
rollout+phist,48,16796.851846691094
rollout+phist,49,16815.770132802252
rollout+phist,50,15144.349650926459
rollout+phist,51,14523.65800243729
rollout+phist,52,15698.188481089801
rollout+phist,53,14138.154277952177
rollout+phist,54,12507.098127445579
rollout+phist,55,12489.575243058362
rollout+phist,56,10084.204055285165
rollout+phist,57,10144.846696199591
rollout+phist,58,11082.894621107687
rollout+phist,59,11418.83336678044
rollout+phist,60,10765.963498328772
rollout+phist,61,10416.684560468972
rollout+phist,62,10382.611300053199
rollout+phist,63,10201.389813131302
rollout+phist,64,11086.014880376846
rollout+phist,65,11845.947670299774
rollout+phist,66,12605.65483165062
rollout+phist,67,11620.301785644428
rollout+phist,68,10822.31588556782
rollout+phist,69,10691.793328090062
rollout+phist,70,10272.09428378416
rollout+phist,71,9635.980869530642
rollout+phist,72,7525.3663051046515
rollout+phist,73,7273.551330897943
rollout+phist,74,6993.685794860518
rollout+phist,75,7167.895388107431
rollout+phist,76,7013.541893489144
rollout+phist,77,4487.5102632498765
rollout+phist,78,4728.034567212462
rollout+phist,79,4285.546642841018
rollout+phist,80,4778.279203799431
rollout+phist,81,4638.871538540236
rollout+phist,82,5130.596986070217
rollout+phist,83,5531.441359754731
rollout+phist,84,5347.400204427789
rollout+phist,85,5745.3381974742715
rollout+phist,86,5004.242294673154
rollout+phist,87,4802.45994500281
rollout+phist,88,4682.550365701877
rollout+phist,89,5039.32303154454
rollout+phist,90,4508.9762719034
rollout+phist,91,4258.620667316521
rollout+phist,92,4344.736290863599
rollout+phist,93,4364.314663822621
rollout+phist,94,4246.976005996219
rollout+phist,95,4262.381571672773
rollout+phist,96,4730.9322372361
rollout+phist,97,4908.825205310135
rollout+phist,98,3724.1155891737785
rollout+phist,99,3649.0178904487084
rollout+phist,100,3644.13808913325
rollout+phist,101,3795.790484813308
rollout+phist,102,3781.569176429884
rollout+phist,103,3577.4265143676594
rollout+phist,104,3644.5915106282523
rollout+phist,105,3583.787486688585
rollout+phist,106,3701.7868017821834
rollout+phist,107,4248.356069776814
rollout+phist,108,4745.936883593255
rollout+phist,109,4820.3459226055775
rollout+phist,110,4931.66278166199
rollout+phist,111,4513.519836880653
rollout+phist,112,5096.404113326874
rollout+phist,113,4779.138635338993
rollout+phist,114,4607.114425808311
rollout+phist,115,4152.612305740523
rollout+phist,116,5192.771466176198
rollout+phist,117,5202.355926406093
rollout+phist,118,5461.199314400417
rollout+phist,119,5444.679311658039
rollout+phist,120,5956.0622003682165
rollout+phist,121,5246.453131877895
rollout+phist,122,5550.025719691869
rollout+phist,123,5647.712444973555
rollout+phist,124,5029.760514048844
rollout+phist,125,5111.635105943413
rollout+phist,126,5119.745138859611
rollout+phist,127,5249.039099054387
rollout+phist,128,5055.065320543531
rollout+phist,129,4926.7003443595695
rollout+phist,130,5623.249993172872
rollout+phist,131,5605.095322508489
rollout+phist,132,5540.694004021468
rollout+phist,133,5571.718290947328
rollout+phist,134,5523.579459933417
rollout+phist,135,5440.486053146346
rollout+phist,136,5348.660597634243
rollout+phist,137,5405.032391536157
rollout+phist,138,4771.263818011323
rollout+phist,139,4756.224098660721
rollout+phist,140,4707.265234281656
rollout+phist,141,4734.210502516737
rollout+phist,142,4794.152095686725
rollout+phist,143,4788.809167149519
rollout+phist,144,4896.3564736837425
rollout+phist,145,5016.357584357552
rollout+phist,146,4777.429161072884
rollout+phist,147,5162.597334245149
rollout+phist,148,5790.244865032676
rollout+phist,149,5952.096416141726
rollout+phist,150,6423.027124591178
rollout+phist,151,6254.795057756826
rollout+phist,152,6541.552660465268
rollout+phist,153,6641.115115980474
rollout+phist,154,7539.296789972523
rollout+phist,155,7167.30099407369
rollout+phist,156,7418.113239410239
rollout+phist,157,7187.63624261438
rollout+phist,158,7336.296749616056
rollout+phist,159,7500.158393984761
rollout+phist,160,7232.255527093753
rollout+phist,161,7116.025214954732
rollout+phist,162,7272.220720654816
rollout+phist,163,7938.354166555418
rollout+psign,1,10000.0
rollout+psign,2,10156.015757505558
rollout+psign,3,10005.055872117107
rollout+psign,4,10197.597095323386
rollout+psign,5,9854.131634057638
rollout+psign,6,10301.704879446761
rollout+psign,7,10428.145577423767
rollout+psign,8,10353.35366268149
rollout+psign,9,10096.956713040925
rollout+psign,10,10178.201643245711
rollout+psign,11,10443.350629887895
rollout+psign,12,10362.955843545195
rollout+psign,13,10524.40137750793
rollout+psign,14,10643.754040949852
rollout+psign,15,10928.3378651947
rollout+psign,16,11077.316192497105
rollout+psign,17,11063.279421984716
rollout+psign,18,11065.925734653347
rollout+psign,19,11201.211021157507
rollout+psign,20,11044.645062273603
rollout+psign,21,10996.937147347184
rollout+psign,22,11123.877317829532
rollout+psign,23,11191.882426619877
rollout+psign,24,11238.221418062209
rollout+psign,25,11021.86277650911
rollout+psign,26,11320.028268349859
rollout+psign,27,11507.906795168843
rollout+psign,28,11553.321462058751
rollout+psign,29,11440.693754429389
rollout+psign,30,11662.288976373298
rollout+psign,31,11618.510212873767
rollout+psign,32,11727.06958043541
rollout+psign,33,11809.986909823629
rollout+psign,34,11740.18436814035
rollout+psign,35,11917.778892408895
rollout+psign,36,11986.454567300303
rollout+psign,37,11781.610935332794
rollout+psign,38,11713.796052415399
rollout+psign,39,11773.072991641002
rollout+psign,40,11510.040685012515
rollout+psign,41,11600.296067019875
rollout+psign,42,11809.803115242836
rollout+psign,43,12002.430762400729
rollout+psign,44,12161.096362353384
rollout+psign,45,12402.027517776292
rollout+psign,46,12363.210742519785
rollout+psign,47,12403.038089977586
rollout+psign,48,12127.166168071291
rollout+psign,49,11977.94255209253
rollout+psign,50,12427.540788456005
rollout+psign,51,12184.166741338717
rollout+psign,52,12458.328744817778
rollout+psign,53,12564.354444255252
rollout+psign,54,12327.115075490285
rollout+psign,55,12289.685290630774
rollout+psign,56,11570.853751837865
rollout+psign,57,11659.728190656913
rollout+psign,58,11839.031425754742
rollout+psign,59,11621.629714372444
rollout+psign,60,11436.66077048312
rollout+psign,61,11530.369483269518
rollout+psign,62,11382.743636125811
rollout+psign,63,11050.408920088741
rollout+psign,64,11710.537090861722
rollout+psign,65,11918.430822529326
rollout+psign,66,11925.77367374156
rollout+psign,67,11773.751127785976
rollout+psign,68,11520.020734177271
rollout+psign,69,11198.745281224194
rollout+psign,70,10825.984960220267
rollout+psign,71,10803.454150638148
rollout+psign,72,10539.694161066946
rollout+psign,73,10213.766414663447
rollout+psign,74,10865.064821257894
rollout+psign,75,10734.420886102824
rollout+psign,76,10177.619222013202
rollout+psign,77,9570.142989338641
rollout+psign,78,10168.015330588916
rollout+psign,79,9940.886983225104
rollout+psign,80,10131.481410968316
rollout+psign,81,10036.93383065384
rollout+psign,82,10289.563942061053
rollout+psign,83,10718.55751707752
rollout+psign,84,10757.154804774533
rollout+psign,85,11101.807812297611
rollout+psign,86,10966.971349097337
rollout+psign,87,10514.735604099425
rollout+psign,88,10163.242385901709
rollout+psign,89,10527.252790667108
rollout+psign,90,10012.685446837513
