t,OPT,RG,NaiveRB,NaiveBH
1,10000.0,10000.0,10000.0,10000.0
2,10543.756206864462,10524.95265424412,10423.798314532869,10424.145155
3,10680.53245039695,10716.220206414575,10902.944265651611,10904.131042847255
4,10916.839963844153,10912.6090303979,10880.117889828616,10881.962104819057
5,11025.900879957893,11052.392422051396,11183.39338487603,11185.763493199678
6,11110.915323689649,11144.13717564305,11311.509258638762,11314.010329829694
7,11134.458916371103,11284.401709153044,12086.64094287276,12091.075165172386
8,11408.707206428393,11496.710557628956,11936.181149351369,11941.69216231005
9,11494.066461791486,11607.598206549019,12189.277752928492,12195.307760511292
10,11530.750145474154,11613.37454182049,12018.844052968358,12025.319414449228
11,11353.923354646771,11468.17053665672,12050.43844659878,12057.470801473793
12,11561.318379262777,11681.321951634143,12295.014861849768,12302.2500588007
13,11695.818096478699,11773.724179505472,12146.21151781626,12154.096220387448
14,11818.799663008365,11872.912619742296,12112.065262389056,12120.332839947745
15,11981.128504229097,12043.653960896598,12328.04996171279,12336.587248532287
16,12144.322501870192,12281.544691961079,12975.487512887934,12985.615553963005
