asset,setup,t,w
SPX,rollout,1,8.20831784700154e-08
SPX,rollout,2,2.9137652553793596e-08
SPX,rollout,3,2.5960208496333265e-08
SPX,rollout,4,2.5910596157559924e-08
SPX,rollout,5,2.5967954577141837e-08
SPX,rollout,6,2.5992769687720207e-08
SPX,rollout,7,2.6026474369506632e-08
SPX,rollout,8,2.6321185080460663e-08
SPX,rollout,9,2.634738841141536e-08
SPX,rollout,10,2.6347182484492168e-08
SPX,rollout,11,2.634616928307433e-08
SPX,rollout,12,2.6345740567837732e-08
SPX,rollout,13,2.6345587461862026e-08
SPX,rollout,14,2.6345534011074393e-08
SPX,rollout,15,2.6345515137987706e-08
SPX,rollout,16,2.634550836827e-08
SPX,rollout,17,2.6345505962045907e-08
SPX,rollout,18,2.634550509060486e-08
SPX,rollout,19,2.634550473142223e-08
SPX,rollout,20,2.6345504593200007e-08
SPX,rollout,21,2.634550458651861e-08
SPX,rollout,22,2.634550452935405e-08
SPX,rollout,23,2.63455045617988e-08
SPX,rollout,24,2.6345504594528155e-08
SPX,rollout,25,2.6345504494876422e-08
SPX,rollout,26,2.6345504561229595e-08
SPX,rollout,27,2.6345504536509786e-08
SPX,rollout,28,2.634550451267089e-08
SPX,rollout,29,2.6345504599366407e-08
SPX,rollout,30,2.6345504512589575e-08
SPX,rollout,31,2.634550456854796e-08
SPX,rollout,32,2.634550452656223e-08
SPX,rollout,33,2.634550450532542e-08
SPX,rollout,34,2.6345504521181878e-08
SPX,rollout,35,2.6345504558383565e-08
SPX,rollout,36,2.6345504570553734e-08
SPX,rollout,37,2.6345504563736813e-08
SPX,rollout,38,2.6345504553287814e-08
SPX,rollout,39,2.634550456678613e-08
SPX,rollout,40,2.6345504547243387e-08
SPX,rollout,41,2.634550455476504e-08
SPX,rollout,42,2.6345504542364478e-08
SPX,rollout,43,2.634550455734002e-08
SPX,rollout,44,2.634550454693168e-08
SPX,rollout,45,2.6345504548883243e-08
SPX,rollout,46,2.6345504511613793e-08
SPX,rollout,47,2.6345504543408022e-08
SPX,rollout,48,2.6345504547338255e-08
SPX,rollout,49,2.6345504520883722e-08
SPX,rollout,50,2.634550454382815e-08
SPX,rollout,51,2.6345504547284045e-08
SPX,rollout,52,2.6345504523296072e-08
SPX,rollout,53,2.634550454286592e-08
SPX,rollout,54,2.6345504547297597e-08
SPX,rollout,55,2.6345504523296072e-08
SPX,rollout,56,2.634550454286592e-08
SPX,rollout,57,2.6345504547297597e-08
SPX,rollout,58,2.6345504523309624e-08
SPX,rollout,59,2.634550454286592e-08
SPX,rollout,60,2.6345504547297597e-08
SPX,rollout,61,2.6345504523309624e-08
SPX,rollout,62,2.634550454286592e-08
SPX,rollout,63,2.6345504547297597e-08
SPX,rollout,64,2.6345504523309624e-08
SPX,rollout,65,2.634550454286592e-08
SPX,rollout,66,2.6345504547297597e-08
SPX,rollout,67,2.6345504523309624e-08
SPX,rollout,68,2.634550454286592e-08
SPX,rollout,69,2.6345504547297597e-08
SPX,rollout,70,2.6345504523309624e-08
SPX,rollout,71,2.634550454286592e-08
SPX,rollout,72,2.6345504547297597e-08
SPX,rollout,73,2.6345504523309624e-08
SPX,rollout,74,2.634550454286592e-08
SPX,rollout,75,2.6345504547297597e-08
SPX,rollout,76,2.6345504523309624e-08
SPX,rollout,77,2.634550454286592e-08
SPX,rollout,78,2.6345504547297597e-08
SPX,rollout,79,2.6345504523309624e-08
SPX,rollout,80,2.634550454286592e-08
SPX,rollout,81,2.6345504547297597e-08
SPX,rollout,82,2.6345504523309624e-08
SPX,rollout,83,2.634550454286592e-08
SPX,rollout,84,2.6345504547297597e-08
SPX,rollout,85,2.6345504523309624e-08
SPX,rollout,86,2.634550454286592e-08
SPX,rollout,87,2.6345504547297597e-08
SPX,rollout,88,2.6345504523309624e-08
SPX,rollout,89,2.634550454286592e-08
SPX,rollout,90,2.6345504547297597e-08
SPX,rollout,91,2.6345504523309624e-08
SPX,rollout,92,2.634550454286592e-08
SPX,rollout,93,2.6345504547297597e-08
SPX,rollout,94,2.6345504523309624e-08
SPX,rollout,95,2.634550454286592e-08
SPX,rollout,96,2.6345504547297597e-08
SPX,rollout,97,2.6345504523309624e-08
SPX,rollout,98,2.634550454286592e-08
SPX,rollout,99,2.6345504547297597e-08
SPX,rollout,100,2.6345504523309624e-08
SPX,rollout,101,2.634550454286592e-08
SPX,rollout,102,2.6345504547297597e-08
SPX,rollout,103,2.6345504523309624e-08
SPX,rollout,104,2.634550454286592e-08
SPX,rollout,105,2.6345504547297597e-08
SPX,rollout,106,2.6345504523309624e-08
SPX,rollout,107,2.634550454286592e-08
SPX,rollout,108,2.6345504547297597e-08
SPX,rollout,109,2.6345504523309624e-08
SPX,rollout,110,2.634550454286592e-08
SPX,rollout,111,2.6345504547297597e-08
SPX,rollout,112,2.6345504523309624e-08
SPX,rollout,113,2.634550454286592e-08
SPX,rollout,114,2.6345504547297597e-08
SPX,rollout,115,2.6345504523309624e-08
SPX,rollout,116,2.634550454286592e-08
SPX,rollout,117,2.6345504547297597e-08
SPX,rollout,118,2.6345504523296072e-08
SPX,rollout,119,2.634550454286592e-08
SPX,rollout,120,2.6345504547297597e-08
SPX,rollout,121,2.6345504523309624e-08
SPX,rollout,122,2.6345504542567766e-08
SPX,rollout,123,2.6345504548232722e-08
SPX,rollout,124,2.6345504521005695e-08
SPX,rollout,125,2.6345504544587092e-08
SPX,rollout,126,2.634550454613208e-08
SPX,rollout,127,2.6345504520693987e-08
SPX,rollout,128,2.6345504546443788e-08
SPX,rollout,129,2.6345504555795032e-08
SPX,rollout,130,2.634550454731115e-08
SPX,rollout,131,2.6345504559250926e-08
SPX,rollout,132,2.6345504527348278e-08
SPX,rollout,133,2.6345504564427992e-08
SPX,rollout,134,2.6345504559345794e-08
SPX,rollout,135,2.6345504524055013e-08
SPX,rollout,136,2.6345504556919892e-08
SPX,rollout,137,2.634550453760754e-08
SPX,rollout,138,2.634550453481572e-08
SPX,rollout,139,2.6345504572315563e-08
SPX,rollout,140,2.6345504545955897e-08
SPX,rollout,141,2.634550455536135e-08
SPX,rollout,142,2.6345504553301367e-08
SPX,rollout,143,2.6345504518823738e-08
SPX,rollout,144,2.6345504567924544e-08
SPX,rollout,145,2.6345504558288697e-08
SPX,rollout,146,2.6345504550726387e-08
SPX,rollout,147,2.6345504531481798e-08
SPX,rollout,148,2.634550456613561e-08
SPX,rollout,149,2.6345504554087414e-08
SPX,rollout,150,2.6345504532227187e-08
SPX,rollout,151,2.6345504528933923e-08
SPX,rollout,152,2.6345504537241622e-08
SPX,rollout,153,2.6345504552271375e-08
SPX,rollout,154,2.6345504541930797e-08
SPX,rollout,155,2.6345504539667525e-08
SPX,rollout,156,2.6345504544654855e-08
SPX,rollout,157,2.634550452928629e-08
SPX,rollout,158,2.634550454908653e-08
SPX,rollout,159,2.6345504562774584e-08
SPX,rollout,160,2.6345504552434005e-08
SPX,rollout,161,2.6345504568683485e-08
SPX,rollout,162,2.6345504530072335e-08
SPX,rollout,163,2.6345504545562874e-08
SPX,scenarios,1,1.2340314959073586e-07
SPX,scenarios,2,6.605993887735698e-08
SPX,scenarios,3,4.1706571983710365e-08
SPX,scenarios,4,2.805203343286746e-08
SPX,scenarios,5,2.2267534980118713e-08
SPX,scenarios,6,1.907600088550405e-08
SPX,scenarios,7,1.7217340060204803e-08
SPX,scenarios,8,1.6347042014931842e-08
SPX,scenarios,9,1.556447714604807e-08
SPX,scenarios,10,1.5080473713341365e-08
SPX,scenarios,11,1.4537648198907703e-08
SPX,scenarios,12,1.4058017062146028e-08
SPX,scenarios,13,1.3993440767825328e-08
SPX,scenarios,14,1.3751110963846074e-08
SPX,scenarios,15,1.3565005678166944e-08
SPX,scenarios,16,1.360849213843574e-08
SPX,scenarios,17,1.3477335344022861e-08
SPX,scenarios,18,1.356029217449781e-08
SPX,scenarios,19,1.3455591312053195e-08
SPX,scenarios,20,1.3219977656388785e-08
SPX,scenarios,21,1.3127136047730412e-08
SPX,scenarios,22,1.332588577126768e-08
SPX,scenarios,23,1.3420785402274647e-08
SPX,scenarios,24,1.3542664332508424e-08
SPX,scenarios,25,1.3720119539927813e-08
SPX,scenarios,26,1.365556227458852e-08
SPX,scenarios,27,1.365256351651005e-08
SPX,scenarios,28,1.4012743173537942e-08
SPX,scenarios,29,1.4076800254087137e-08
SPX,scenarios,30,1.3763213855644778e-08
SPX,scenarios,31,1.3846044596602076e-08
SPX,scenarios,32,1.3794230373584952e-08
SPX,scenarios,33,1.3678703337442581e-08
SPX,scenarios,34,1.3348470835274653e-08
SPX,scenarios,35,1.3189698332486522e-08
SPX,scenarios,36,1.335537737031769e-08
SPX,scenarios,37,1.345950717369991e-08
SPX,scenarios,38,1.3606238260551715e-08
SPX,scenarios,39,1.3801250534936735e-08
SPX,scenarios,40,1.394427895855149e-08
SPX,scenarios,41,1.3671728257257787e-08
SPX,scenarios,42,1.3641650084459625e-08
SPX,scenarios,43,1.3224623663217689e-08
SPX,scenarios,44,1.3133243909871275e-08
SPX,scenarios,45,1.3138884530539032e-08
SPX,scenarios,46,1.3265136494585182e-08
SPX,scenarios,47,1.3395327435055011e-08
SPX,scenarios,48,1.3384283699772461e-08
SPX,scenarios,49,1.3463824998331684e-08
SPX,scenarios,50,1.3418302767178339e-08
SPX,scenarios,51,1.3732326192141084e-08
SPX,scenarios,52,1.3671526782454963e-08
SPX,scenarios,53,1.367050437686541e-08
SPX,scenarios,54,1.3433761322566789e-08
SPX,scenarios,55,1.339044254420978e-08
SPX,scenarios,56,1.3719771717303296e-08
SPX,scenarios,57,1.3376904212278974e-08
SPX,scenarios,58,1.3656098508297866e-08
SPX,scenarios,59,1.3541610232999194e-08
SPX,scenarios,60,1.3532283404694832e-08
SPX,scenarios,61,1.343234311825751e-08
SPX,scenarios,62,1.3533334449511875e-08
SPX,scenarios,63,1.3857252103428153e-08
SPX,scenarios,64,1.3795273716239926e-08
SPX,scenarios,65,1.3879318784813007e-08
SPX,scenarios,66,1.4107149994003321e-08
SPX,scenarios,67,1.3886715497690483e-08
SPX,scenarios,68,1.3610238561818574e-08
SPX,scenarios,69,1.3809913624513625e-08
SPX,scenarios,70,1.3928839725881921e-08
SPX,scenarios,71,1.3892575881100451e-08
SPX,scenarios,72,1.3907314019564814e-08
SPX,scenarios,73,1.3793424008288693e-08
