setup,t,RG_cap
rollout,1,10000.0
rollout,2,13467.765139768195
rollout,3,12176.687668486735
rollout,4,10471.121675468246
rollout,5,12051.70707467614
rollout,6,13455.551836704046
rollout,7,16432.41870619209
rollout,8,18893.86372982091
rollout,9,14743.845512107106
rollout,10,15742.877415757363
rollout,11,18047.751476838297
rollout,12,18679.46626901025
rollout,13,17489.990750760782
rollout,14,19114.266493197247
rollout,15,19520.82699912252
rollout,16,21910.1762043853
rollout,17,17949.052858216182
rollout,18,20451.337213272043
rollout,19,22427.89186731061
rollout,20,21364.442306211007
rollout,21,12621.709720797193
rollout,22,12195.388554762514
rollout,23,13360.052594952174
rollout,24,12369.837212470044
rollout,25,11866.04391823219
rollout,26,10252.95736867269
rollout,27,10828.054829855866
rollout,28,11100.990280716702
rollout,29,10063.789425168947
rollout,30,10461.569531555324
rollout,31,12395.569760496839
rollout,32,13465.877724237027
rollout,33,15187.675935394624
rollout,34,15777.387051851121
rollout,35,15800.970636090598
rollout,36,16727.093389733778
rollout,37,14398.007856042477
rollout,38,15103.28175076691
rollout,39,13470.16244291016
rollout,40,14873.540588536212
rollout,41,16312.665147331207
rollout,42,17900.98682203345
rollout,43,17913.842170136075
rollout,44,18850.858553886854
rollout,45,18807.920585769596
rollout,46,19576.555644672306
rollout,47,17785.534319493276
rollout,48,16796.851846691094
rollout,49,16815.770132802252
rollout,50,15144.349650926459
rollout,51,14523.65800243729
rollout,52,15698.188481089801
rollout,53,14138.154277952177
rollout,54,12507.098127445579
rollout,55,12489.575243058362
rollout,56,10084.204055285165
rollout,57,10144.846696199591
rollout,58,11082.894621107687
rollout,59,11418.83336678044
rollout,60,10765.963498328772
rollout,61,10416.684560468972
rollout,62,10382.611300053199
rollout,63,10201.389813131302
rollout,64,11086.014880376846
rollout,65,11845.947670299774
rollout,66,12605.65483165062
rollout,67,11620.301785644428
rollout,68,10822.31588556782
rollout,69,10691.793328090062
rollout,70,10272.09428378416
rollout,71,9635.980869530642
rollout,72,7525.3663051046515
rollout,73,7273.551330897943
rollout,74,6993.685794860518
rollout,75,7167.895388107431
rollout,76,7013.541893489144
rollout,77,4487.5102632498765
rollout,78,4728.034567212462
rollout,79,4285.546642841018
rollout,80,4778.279203799431
rollout,81,4638.871538540236
rollout,82,5130.596986070217
rollout,83,5531.441359754731
rollout,84,5347.400204427789
rollout,85,5745.3381974742715
rollout,86,5004.242294673154
rollout,87,4802.45994500281
