t,OPT,RG,NaiveRB,NaiveBH
1,10000.0,10000.0,10000.0,10000.0
2,9875.856552859554,9932.630132069247,9919.508662198576,9919.628780000001
3,9610.569834346012,9734.405215064546,9687.983644117834,9688.250031314015
4,10236.226900585187,10522.5628737545,10397.10135320305,10397.691661680798
5,10521.31115389607,11129.952389618602,10845.111160547815,10846.359797963767
6,10660.640091826748,11693.07272372352,11195.378557778748,11197.501666828311
7,10386.103627606115,10942.090487245408,10685.505903882648,10688.491604326018
8,10064.988248448894,10300.569146982078,10202.811777602992,10206.321915894665
9,9815.960440008714,10141.59113579409,9998.810028362206,10002.456029665802
10,9477.581039558563,9756.390483830097,9636.07470998339,9639.665874205799
11,9345.104605635539,9276.653268346256,9326.939332525864,9331.160239150367
12,8755.398346534232,7609.73321728629,8189.038112335679,8195.32872011731
13,8480.229934802557,7359.005400946743,7925.381618393602,7931.496559997874
14,8848.624116106277,7228.167943574627,8024.596122690971,8031.788640624531
15,8807.193914947364,7354.175167227619,8075.927829606233,8083.534788282246
16,8403.472071645107,7150.6464621066,7779.204474504126,7786.850154164418
17,7399.931467896272,5010.191632234723,6142.447603983597,6152.186447068271
18,7849.170808824041,5287.731414471202,6498.864071405123,6509.232512618832
19,7562.664077766928,4869.131328123848,6121.557094297934,6131.938975059434
20,7851.690282541965,5334.530037280415,6531.468060546833,6543.2332937261635
21,7747.445604738232,5200.322383121029,6405.548132865096,6417.252029340897
22,8066.939046321842,5666.468519504705,6825.052293946861,6838.131171144754
23,8461.696995540504,6067.383697415436,7233.648991250458,7247.804703709025
24,8430.143247830127,5910.80018342782,7125.99632175597,7140.280455108112
25,8771.258283306348,6299.957230190307,7504.942301310407,7520.345156075385
26,8460.990133118048,5636.338434716712,6974.153138857443,6989.648416334516
27,8113.6285809644805,5408.025785527172,6689.744405548395,6704.616103697237
28,7856.046803515906,5263.7340580656455,6494.341046170741,6508.851387154973
29,8200.476922176415,5621.76506903617,6857.740787641502,6873.3741514206995
30,7707.760812574105,5094.264216493777,6328.755640544534,6343.707774047485
31,7328.648637634528,4819.569143570788,6002.325105176529,6016.572162342924
32,7184.480394262911,4868.448496645407,5973.893435003116,5988.449233004239
33,7277.023190318527,4900.688425196584,6031.957174385862,6046.731937927663
34,7146.765711459826,4780.05571786743,5903.522236609994,5918.069025499832
35,7416.857426961518,4838.657454199775,6050.497276985694,6065.7139909884245
36,7809.260356249296,5300.8461373130385,6499.8095702119035,6516.658546001848
37,7654.729795001819,5423.30435259587,6510.845956518683,6528.30598161252
38,7638.930210655331,4442.306762316096,5909.046179779673,5927.5764290745665
39,7565.871647078361,4364.62555727361,5828.882781988809,5847.26103159143
40,7656.070284093107,4373.41068513307,5869.198715925292,5887.824203504317
41,7788.461592354724,4528.534935903193,6024.14241230686,6043.47727651995
42,7568.576867515077,4483.55202901108,5909.286737561795,5928.48830935782
