t,OPT,RG,NaiveRB,NaiveBH
1,10000.0,10000.0,10000.0,10000.0
2,11621.805957415456,13075.020177955908,11833.393279158625,11836.890555
3,11038.603671305817,11948.28429266743,11176.978843843122,11181.550851183352
4,10484.260992625645,10501.858257899858,10499.387710981664,10506.052415627846
5,10975.125393459128,11856.059675679324,11112.709838118222,11122.054212408477
6,11813.656343749866,13136.83391940621,12011.398238695456,12022.41229491642
7,13034.855597629945,15716.753194092842,13410.984672036457,13426.09409182255
8,13833.328067777664,17777.820953012106,14364.86512205546,14383.50814992743
9,12315.472668751809,14284.463982826914,12605.39421545122,12625.745480740534
10,12735.160817882052,15151.089221293785,13082.268245205825,13104.297400908528
11,13734.98784704897,17152.87096339263,14208.527835661595,14234.268477393447
12,13875.587122279465,17666.34486484803,14401.756136490194,14428.596368939101
13,13757.149754335502,16707.499483754473,14053.938157144417,14081.594859419747
14,14245.546063522554,18097.52906127877,14784.85337221406,14815.312430804848
15,14603.351221447723,18494.196628141788,15139.644201056397,15170.933056854543
16,15273.136835641208,20519.3386489048,16167.45719583101,16202.801492533119
17,14441.241993833071,17246.453280064707,14691.771591878645,14727.889905056742
18,15040.29451159469,19366.207107763483,15715.232468757726,15756.261761640173
19,15600.445198674019,21044.056649649978,16569.135005916083,16613.97053288187
20,15227.796647759676,20129.64440096617,16059.797977937133,16103.971687108628
21,13334.833501215558,12858.399778996376,12728.879346023627,12774.166312334582
22,13309.668443056911,12493.161313113364,12586.645843818245,12632.158562466951
23,13743.600586275023,13553.89145845405,13224.795958697981,13273.959391966513
24,13494.257759530183,12675.035899940978,12760.738188248593,12809.522050104017
25,13152.80548687887,12191.076509974331,12377.693095203813,12425.367084154374
26,12906.035444513385,10769.326861207439,11701.127451809387,11748.872912341005
27,13263.503424374006,11322.975939546743,12125.83518857546,12175.873303279117
28,13374.769366656148,11579.854362379418,12302.268077754306,12353.353179334481
29,13003.749777837516,10612.76837523633,11666.226755259746,11716.033225522471
30,13311.843976373639,11006.892669774448,12009.481948907309,12061.040627715665
31,13800.458102093118,12795.63489604409,13094.423669195403,13153.247754918957
32,14157.345366925485,13783.706504304653,13719.721361694224,13782.562703737301
33,14624.255531865354,15348.80472859735,14643.411838885288,14712.433542378792
34,14675.080455116662,15863.383674460762,14883.620647775551,14954.584022165667
35,14855.009365652591,15912.726961497332,15007.065681501654,15078.870358652579
36,15095.275645234708,16745.723614541497,15489.139294003091,15564.21563264114
37,14471.93798163981,14656.487255030686,14275.866002058368,14347.639550401282
38,14545.609054589559,15279.329043445967,14583.469400150714,14657.750428804604
39,14292.985218010801,13832.164227562987,13829.73731034654,13902.365781589233
40,14331.982563518863,15065.815029135945,14393.565120485626,14471.266924651658
41,14696.863553365003,16364.759010864802,15144.819771195202,15228.10559611402
42,15181.5095158983,17804.31336423272,16017.467604261701,16106.979622100178
43,15384.470726404368,17850.007290773003,16153.53849332465,16244.122218220407
44,15701.296035825482,18700.97523007449,16682.0150300536,16776.330774219867
45,15946.929687126918,18707.349977335543,16827.808479815325,16923.407700162465
46,16029.388322009554,19374.293399528975,17144.421999024613,17242.733406939387
47,15794.610987276867,17819.333672798693,16385.65844400552,16481.754430651275
48,15343.934378308939,16899.23077449608,15747.288251212705,15840.355263177713
49,15194.009472894662,16891.346750444784,15659.006049929285,15751.818749664879
50,15371.807267472292,15486.733903660965,15171.903305325539,15264.611097162604
51,15008.708392395105,14891.323512314004,14712.015243330718,14802.334004615606
52,15511.700851850757,15992.464808956582,15471.397284985156,15567.404893976722
53,15327.985907174516,14607.928333151338,14766.297418361191,14860.128862477908
54,14759.553604499319,13089.968497145066,13773.219131349959,13862.661280315093
55,14719.291674816264,13069.084780346175,13742.632196782275,13831.90411748782
56,13485.962824755034,10760.273235704088,12014.741320213938,12095.440318255847
57,13585.305013009829,10827.110335817522,12096.984496486373,12178.260930833987
58,13991.794847960044,11728.991138558747,12748.168797265771,12834.933816437706
59,13863.346516639402,12016.564987123906,12823.557440150704,12911.611841656117
60,13534.789180268834,11388.581653477599,12354.229280782258,12439.752145048353
61,13541.926864628202,11074.319902562278,12203.80412095487,12288.92530034703
62,13392.899058432491,11025.447189907234,12105.574068958651,12190.157708459254
63,13031.543043731006,10817.389927150485,11823.02547198286,11905.818092590269
64,13876.345180348177,11697.772318208908,12688.418834020486,12777.645612643648
65,14255.664103053947,12389.416437004971,13235.161227330711,13329.01053378638
66,14435.267502266399,13038.002167292912,13662.62069790701,13760.526153416446
67,14073.097516708416,12185.525122421874,13040.382098429067,13135.00748989488
68,13644.709911994982,11461.396853702132,12451.31164168383,12542.472761572431
69,13304.92364524946,11287.568612136085,12202.351902877159,12291.943496856877
70,12847.076204039038,10857.705727430648,11759.67682555243,11846.113384841952
71,12675.293064670355,10313.025708498248,11382.41406621752,11466.99311444872
72,11900.434361907392,8297.856803503731,9993.741706197863,10071.178245331026
73,11525.9300259722,8022.769895982752,9671.980485469181,9746.956874577332
74,12028.084971857963,7814.962301072416,9793.059923109453,9870.20506328107
75,11971.221293410652,7974.130685781289,9855.704132748264,9933.795517595709
76,11422.01336989539,7772.66403634723,9493.5887623704,9569.20198695223
77,10062.222722115008,5260.4604162686555,7496.122738224438,7560.375968182939
78,10673.195803516226,5548.112871178751,7931.086413613937,7999.147211016303
79,10284.543458213637,5077.182097121829,7470.628369405364,7535.494001079191
80,10676.380555824093,5601.4914532737685,7970.875683318654,8040.930516934447
81,10534.89403005498,5451.64935846678,7817.205470083383,7886.113082207066
