lambda,m,seed,best_valid,epochs
0.3,0.01,5137475,0.011394602246582508,300
0.3,0.2,365123474,0.012650196440517902,137
0.3,0.5,1876655831,0.010797923430800438,260
0.7,0.01,1153377893,0.01108622271567583,213
0.7,0.2,956435689,0.012374083511531353,300
0.7,0.5,830161467,0.011926805600523949,117
1.1,0.01,56414385,0.011573576368391514,232
1.1,0.2,13789192,0.011474823579192162,253
1.1,0.5,1764711671,0.011432802304625511,300
1.5,0.01,1981259275,0.01190983783453703,243
1.5,0.2,1369181433,0.010748511180281639,284
1.5,0.5,1402755660,0.011898991651833057,224
1.8,0.01,400561167,0.01127723790705204,113
1.8,0.2,681718436,0.011467753909528255,300
1.8,0.5,1691472790,0.01044028252363205,267
