lambda,m,z,turnover,w_SPX_mean,w_SPX_max,w_SPX_min
0.3,0.01,0.8306060280487553,1.0004056661046046,1.102349421939729e-08,1.1329738600514863e-08,1.1012480289491658e-08
0.3,0.2,0.7695100503206442,1.0000795671253866,1.0774128404504935e-07,7.463878253012612e-06,1.0929059097194258e-08
0.3,0.5,0.7872095881674739,1.000009490641385,4.030582336486473e-08,3.5784150495895986e-07,1.1670134820411239e-08
0.7,0.01,0.593438865320186,7.260711679717017,0.2929270502248608,0.47053849945442133,0.27840708734957903
0.7,0.2,0.5864260730730826,1.1462563333671487,0.3039796880373104,0.3891833473121431,0.28365042441668087
0.7,0.5,0.5813834485707988,0.7542150019742201,0.32106536594338186,0.3812465594668392,0.29592649490003015
1.1,0.01,0.4655555649166719,10.377947163064858,0.6643436371699438,0.8407900175314481,0.5564533935703925
1.1,0.2,0.523204217218172,0.6739631366495432,0.5615689538588318,0.6394481110340645,0.5498359873648678
1.1,0.5,0.5120163600829082,0.34316238184978065,0.5781849185399159,0.6301103887196944,0.5503971250262121
1.5,0.01,0.5006780423559483,4.829252579877334,0.6950214055875772,0.7642953480031768,0.6762120883582032
1.5,0.2,0.4972260952357248,0.4157450084887308,0.6747913673118984,0.6894971874280534,0.6691175471700072
1.5,0.5,0.4549113656018208,0.5501025258019583,0.7463644475228569,0.7488193412955796,0.7356521127240754
1.8,0.01,0.4618030072964373,6.8181572081730835,0.8083706593827552,0.9072483192974347,0.7140736959850604
1.8,0.2,0.4685153398000394,0.7370503840018479,0.7989501925121578,0.8049943365548509,0.779847183347515
1.8,0.5,0.4699540358512949,0.6408044737910293,0.789370033572415,0.7981592288729906,0.7763949720869189
