policy,asset,t,w
RG,SPX,1,8.20831784700154e-08
RG,SPX,2,2.9137652553793596e-08
RG,SPX,3,2.5960208496333265e-08
RG,SPX,4,2.5910596157559924e-08
RG,SPX,5,2.5967954577141837e-08
RG,SPX,6,2.5992769687720207e-08
RG,SPX,7,2.6026474369506632e-08
RG,SPX,8,2.6321185080460663e-08
RG,SPX,9,2.634738841141536e-08
RG,SPX,10,2.6347182484492168e-08
RG,SPX,11,2.634616928307433e-08
RG,SPX,12,2.6345740567837732e-08
RG,SPX,13,2.6345587461862026e-08
RG,SPX,14,2.6345534011074393e-08
RG,SPX,15,2.6345515137987706e-08
RG,SPX,16,2.634550836827e-08
RG,SPX,17,2.6345505962045907e-08
RG,SPX,18,2.634550509060486e-08
RG,SPX,19,2.634550473142223e-08
RG,SPX,20,2.6345504593200007e-08
RG,SPX,21,2.634550458651861e-08
RG,SPX,22,2.634550452935405e-08
RG,SPX,23,2.63455045617988e-08
RG,SPX,24,2.6345504594528155e-08
RG,SPX,25,2.6345504494876422e-08
RG,SPX,26,2.6345504561229595e-08
RG,SPX,27,2.6345504536509786e-08
RG,SPX,28,2.634550451267089e-08
RG,SPX,29,2.6345504599366407e-08
RG,SPX,30,2.6345504512589575e-08
RG,SPX,31,2.634550456854796e-08
RG,SPX,32,2.634550452656223e-08
RG,SPX,33,2.634550450532542e-08
RG,SPX,34,2.6345504521181878e-08
RG,SPX,35,2.6345504558383565e-08
RG,SPX,36,2.6345504570553734e-08
RG,SPX,37,2.6345504563736813e-08
RG,SPX,38,2.6345504553287814e-08
RG,SPX,39,2.634550456678613e-08
RG,SPX,40,2.6345504547243387e-08
RG,SPX,41,2.634550455476504e-08
RG,SPX,42,2.6345504542364478e-08
RG,SPX,43,2.634550455734002e-08
RG,SPX,44,2.634550454693168e-08
RG,SPX,45,2.6345504548883243e-08
RG,SPX,46,2.6345504511613793e-08
RG,SPX,47,2.6345504543408022e-08
RG,SPX,48,2.6345504547338255e-08
RG,SPX,49,2.6345504520883722e-08
RG,SPX,50,2.634550454382815e-08
RG,SPX,51,2.6345504547284045e-08
RG,SPX,52,2.6345504523296072e-08
RG,SPX,53,2.634550454286592e-08
RG,SPX,54,2.6345504547297597e-08
RG,SPX,55,2.6345504523296072e-08
RG,SPX,56,2.634550454286592e-08
RG,SPX,57,2.6345504547297597e-08
RG,SPX,58,2.6345504523309624e-08
RG,SPX,59,2.634550454286592e-08
RG,SPX,60,2.6345504547297597e-08
RG,SPX,61,2.6345504523309624e-08
RG,SPX,62,2.634550454286592e-08
RG,SPX,63,2.6345504547297597e-08
RG,SPX,64,2.6345504523309624e-08
RG,SPX,65,2.634550454286592e-08
RG,SPX,66,2.6345504547297597e-08
RG,SPX,67,2.6345504523309624e-08
RG,SPX,68,2.634550454286592e-08
RG,SPX,69,2.6345504547297597e-08
RG,SPX,70,2.6345504523309624e-08
RG,SPX,71,2.634550454286592e-08
RG,SPX,72,2.6345504547297597e-08
RG,SPX,73,2.6345504523309624e-08
RG,SPX,74,2.634550454286592e-08
RG,SPX,75,2.6345504547297597e-08
RG,SPX,76,2.6345504523309624e-08
RG,SPX,77,2.634550454286592e-08
RG,SPX,78,2.6345504547297597e-08
RG,SPX,79,2.6345504523309624e-08
RG,SPX,80,2.634550454286592e-08
RG,SPX,81,2.6345504547297597e-08
RG,SPX,82,2.6345504523309624e-08
RG,SPX,83,2.634550454286592e-08
RG,SPX,84,2.6345504547297597e-08
RG,SPX,85,2.6345504523309624e-08
RG,SPX,86,2.634550454286592e-08
RG,SPX,87,2.6345504547297597e-08
RG,SPX,88,2.6345504523309624e-08
RG,SPX,89,2.634550454286592e-08
RG,SPX,90,2.6345504547297597e-08
RG,SPX,91,2.6345504523309624e-08
RG,SPX,92,2.634550454286592e-08
RG,SPX,93,2.6345504547297597e-08
RG,SPX,94,2.6345504523309624e-08
RG,SPX,95,2.634550454286592e-08
RG,SPX,96,2.6345504547297597e-08
RG,SPX,97,2.6345504523309624e-08
RG,SPX,98,2.634550454286592e-08
RG,SPX,99,2.6345504547297597e-08
RG,SPX,100,2.6345504523309624e-08
RG,SPX,101,2.634550454286592e-08
RG,SPX,102,2.6345504547297597e-08
RG,SPX,103,2.6345504523309624e-08
RG,SPX,104,2.634550454286592e-08
RG,SPX,105,2.6345504547297597e-08
RG,SPX,106,2.6345504523309624e-08
RG,SPX,107,2.634550454286592e-08
RG,SPX,108,2.6345504547297597e-08
RG,SPX,109,2.6345504523309624e-08
RG,SPX,110,2.634550454286592e-08
RG,SPX,111,2.6345504547297597e-08
