scenario,t,RG,OPT,Naive
0,1,10000.0,10000.0,10000.0
0,2,9629.275390625,9781.044921875,9769.2060546875
0,3,9900.232421875,10019.4677734375,10011.431640625
0,4,11060.18359375,10787.0849609375,10823.6591796875
0,5,10126.603515625,10148.80078125,10151.5732421875
0,6,10380.171875,10409.4658203125,10411.5546875
0,7,9434.240234375,9726.2783203125,9697.45703125
0,8,8632.5556640625,9090.6240234375,9041.6279296875
0,9,8810.630859375,9207.83984375,9165.9990234375
0,10,9075.8515625,9436.9130859375,9399.365234375
0,11,8797.142578125,9243.38671875,9195.494140625
0,12,8766.880859375,9225.59765625,9176.443359375
0,13,8711.1220703125,9206.1669921875,9149.8251953125
0,14,8433.1279296875,9039.43359375,8947.333984375
0,15,8148.7109375,8869.1142578125,8739.9638671875
0,16,8113.9443359375,8862.4453125,8724.447265625
0,17,8395.1328125,9075.044921875,8960.5078125
0,18,7579.52685546875,8531.5625,8326.6044921875
0,19,7274.21435546875,8332.896484375,8091.49560546875
0,20,7003.7744140625,8180.9345703125,7899.298828125
0,21,6341.65478515625,7634.06103515625,7307.525390625
0,22,6478.54541015625,7817.82958984375,7478.1435546875
0,23,5876.8759765625,7282.470703125,6912.90234375
0,24,6012.744140625,7458.53662109375,7078.11328125
0,25,5813.4296875,7330.22509765625,6921.85205078125
0,26,6328.27294921875,7778.607421875,7402.68505859375
0,27,6209.14990234375,7757.98095703125,7346.38916015625
0,28,6928.1806640625,8245.69140625,7947.767578125
0,29,7206.83544921875,8430.8232421875,8177.52734375
0,30,7452.68017578125,8625.287109375,8398.8427734375
0,31,7726.43896484375,8825.7861328125,8635.0751953125
0,32,8013.8662109375,9032.0048828125,8880.0751953125
0,33,8313.3955078125,9243.1416015625,9132.654296875
0,34,8122.154296875,9119.0390625,8977.92578125
0,35,8387.501953125,9340.7138671875,9223.5947265625
0,36,9398.87890625,9908.9228515625,9991.6953125
0,37,8591.9287109375,9422.6669921875,9362.412109375
0,38,9537.943359375,10010.853515625,10114.24609375
0,39,9446.0263671875,10057.8740234375,10106.9501953125
0,40,9208.6025390625,9868.0107421875,9892.2509765625
0,41,8364.68359375,9361.685546875,9233.8125
0,42,9161.58203125,9921.0,9911.1591796875
0,43,9050.1201171875,9951.125,9883.203125
0,44,8811.3154296875,9756.1826171875,9663.708984375
0,45,9678.37109375,10350.6748046875,10390.98828125
0,46,10090.9453125,10575.2021484375,10699.5458984375
0,47,9139.4365234375,10121.302734375,10028.4833984375
0,48,10156.017578125,10749.2607421875,10839.263671875
0,49,11430.50390625,11394.125,11760.95703125
0,50,13001.662109375,12131.7626953125,12849.3037109375
0,51,12675.109375,11923.1552734375,12589.1416015625
0,52,12273.638671875,11659.5654296875,12264.4228515625
0,53,12368.748046875,11731.78515625,12347.6787109375
0,54,12344.6806640625,11784.5263671875,12372.5458984375
0,55,13683.197265625,12489.443359375,13342.5732421875
0,56,13473.734375,12520.484375,13284.265625
0,57,12144.80859375,11993.6337890625,12435.7587890625
0,58,10949.697265625,11378.7626953125,11572.302734375
0,59,9937.2802734375,10646.5810546875,10702.27734375
0,60,9181.3388671875,9839.5166015625,9889.892578125
0,61,8589.9794921875,8933.4580078125,9083.765625
0,62,7804.7666015625,7839.15625,8078.9169921875
0,63,7564.52294921875,7595.59912109375,7828.798828125
0,64,8210.666015625,7906.29345703125,8282.2509765625
0,65,8482.646484375,8081.93359375,8500.78125
0,66,8165.544921875,7908.162109375,8265.984375
0,67,8268.5537109375,7918.43603515625,8312.47265625
0,68,8312.505859375,7927.41015625,8335.1806640625
0,69,8570.0322265625,8091.13427734375,8540.2294921875
0,70,7767.42236328125,7673.4697265625,7961.0380859375
0,71,7437.1181640625,7503.55810546875,7722.23681640625
0,72,7457.83642578125,7515.88671875,7738.296875
0,73,7197.1767578125,7402.00048828125,7563.26708984375
0,74,6509.0947265625,6969.43359375,7014.86083984375
0,75,6217.8017578125,6837.68115234375,6813.62060546875
0,76,6219.1669921875,6842.33154296875,6817.06689453125
0,77,5628.36962890625,6416.90625,6308.5078125
0,78,5749.548828125,6570.16748046875,6453.56005859375
0,79,5693.1435546875,6559.95556640625,6423.3642578125
0,80,5131.6923828125,6204.17822265625,5967.064453125
0,81,5170.2294921875,6218.5986328125,5992.5478515625
0,82,4983.56298828125,6123.5791015625,5853.74951171875
0,83,5413.986328125,6475.66796875,6253.77587890625
0,84,4907.64599609375,6116.58984375,5816.85986328125
0,85,5035.654296875,6273.00732421875,5966.72802734375
0,86,5235.38916015625,6417.287109375,6141.28857421875
0,87,5805.1806640625,6804.205078125,6623.49267578125
0,88,6035.890625,6953.29296875,6812.95556640625
0,89,6819.88232421875,7398.04345703125,7417.373046875
0,90,6650.39013671875,7290.056640625,7280.3115234375
0,91,6452.0478515625,7142.25830078125,7106.39453125
0,92,5906.34716796875,6753.005859375,6638.17822265625
0,93,6027.025390625,6823.15283203125,6732.16015625
0,94,6035.03076171875,6848.8583984375,6751.30908203125
0,95,6604.20849609375,7245.69775390625,7234.68603515625
0,96,6880.8642578125,7400.17236328125,7444.7939453125
0,97,7711.3994140625,7863.09619140625,8073.0439453125
0,98,7514.33935546875,7737.84716796875,7915.03857421875
0,99,6842.6123046875,7406.708984375,7436.69482421875
0,100,6245.63671875,6988.36865234375,6930.0537109375
0,101,6390.27001953125,7171.57275390625,7103.708984375
