asset,setup,t,w
SPX,pdf_aligned,1,8.20831784700154e-08
SPX,pdf_aligned,2,2.9137652553793596e-08
SPX,pdf_aligned,3,2.5960208496333265e-08
SPX,pdf_aligned,4,2.5910596157559924e-08
SPX,pdf_aligned,5,2.5967954577141837e-08
SPX,pdf_aligned,6,2.5992769687720207e-08
SPX,pdf_aligned,7,2.6026474369506632e-08
SPX,pdf_aligned,8,2.6321185080460663e-08
SPX,pdf_aligned,9,2.634738841141536e-08
SPX,pdf_aligned,10,2.6347182484492168e-08
SPX,pdf_aligned,11,2.634616928307433e-08
SPX,pdf_aligned,12,2.6345740567837732e-08
SPX,pdf_aligned,13,2.6345587461862026e-08
SPX,pdf_aligned,14,2.6345534011074393e-08
SPX,pdf_aligned,15,2.6345515137987706e-08
SPX,pdf_aligned,16,2.634550836827e-08
SPX,pdf_aligned,17,2.6345505962045907e-08
SPX,pdf_aligned,18,2.634550509060486e-08
SPX,pdf_aligned,19,2.634550473142223e-08
SPX,pdf_aligned,20,2.6345504593200007e-08
SPX,pdf_aligned,21,2.634550458651861e-08
SPX,pdf_aligned,22,2.634550452935405e-08
SPX,pdf_aligned,23,2.63455045617988e-08
SPX,pdf_aligned,24,2.6345504594528155e-08
SPX,pdf_aligned,25,2.6345504494876422e-08
SPX,pdf_aligned,26,2.6345504561229595e-08
SPX,pdf_aligned,27,2.6345504536509786e-08
SPX,pdf_aligned,28,2.634550451267089e-08
SPX,pdf_aligned,29,2.6345504599366407e-08
SPX,pdf_aligned,30,2.6345504512589575e-08
SPX,pdf_aligned,31,2.634550456854796e-08
SPX,pdf_aligned,32,2.634550452656223e-08
SPX,pdf_aligned,33,2.634550450532542e-08
SPX,pdf_aligned,34,2.6345504521181878e-08
SPX,pdf_aligned,35,2.6345504558383565e-08
SPX,pdf_aligned,36,2.6345504570553734e-08
SPX,pdf_aligned,37,2.6345504563736813e-08
SPX,pdf_aligned,38,2.6345504553287814e-08
SPX,pdf_aligned,39,2.634550456678613e-08
SPX,pdf_aligned,40,2.6345504547243387e-08
SPX,pdf_aligned,41,2.634550455476504e-08
SPX,pdf_aligned,42,2.6345504542364478e-08
SPX,pdf_aligned,43,2.634550455734002e-08
SPX,pdf_aligned,44,2.634550454693168e-08
SPX,pdf_aligned,45,2.6345504548883243e-08
SPX,pdf_aligned,46,2.6345504511613793e-08
SPX,pdf_aligned,47,2.6345504543408022e-08
SPX,pdf_aligned,48,2.6345504547338255e-08
SPX,pdf_aligned,49,2.6345504520883722e-08
SPX,pdf_aligned,50,2.634550454382815e-08
SPX,pdf_aligned,51,2.6345504547284045e-08
SPX,pdf_aligned,52,2.6345504523296072e-08
SPX,pdf_aligned,53,2.634550454286592e-08
SPX,pdf_aligned,54,2.6345504547297597e-08
SPX,pdf_aligned,55,2.6345504523296072e-08
SPX,pdf_aligned,56,2.634550454286592e-08
SPX,pdf_aligned,57,2.6345504547297597e-08
SPX,pdf_aligned,58,2.6345504523309624e-08
SPX,pdf_aligned,59,2.634550454286592e-08
SPX,pdf_aligned,60,2.6345504547297597e-08
SPX,pdf_aligned,61,2.6345504523309624e-08
SPX,pdf_aligned,62,2.634550454286592e-08
SPX,pdf_aligned,63,2.6345504547297597e-08
SPX,pdf_aligned,64,2.6345504523309624e-08
SPX,pdf_aligned,65,2.634550454286592e-08
SPX,pdf_aligned,66,2.6345504547297597e-08
SPX,pdf_aligned,67,2.6345504523309624e-08
SPX,pdf_aligned,68,2.634550454286592e-08
SPX,pdf_aligned,69,2.6345504547297597e-08
SPX,pdf_aligned,70,2.6345504523309624e-08
SPX,pdf_aligned,71,2.634550454286592e-08
SPX,pdf_aligned,72,2.6345504547297597e-08
SPX,pdf_aligned,73,2.6345504523309624e-08
SPX,pdf_aligned,74,2.634550454286592e-08
SPX,pdf_aligned,75,2.6345504547297597e-08
SPX,pdf_aligned,76,2.6345504523309624e-08
SPX,pdf_aligned,77,2.634550454286592e-08
SPX,pdf_aligned,78,2.6345504547297597e-08
SPX,pdf_aligned,79,2.6345504523309624e-08
SPX,pdf_aligned,80,2.634550454286592e-08
SPX,pdf_aligned,81,2.6345504547297597e-08
SPX,pdf_aligned,82,2.6345504523309624e-08
SPX,pdf_aligned,83,2.634550454286592e-08
SPX,pdf_aligned,84,2.6345504547297597e-08
SPX,pdf_aligned,85,2.6345504523309624e-08
SPX,pdf_aligned,86,2.634550454286592e-08
SPX,pdf_aligned,87,2.6345504547297597e-08
SPX,pdf_aligned,88,2.6345504523309624e-08
SPX,pdf_aligned,89,2.634550454286592e-08
SPX,pdf_aligned,90,2.6345504547297597e-08
SPX,pdf_aligned,91,2.6345504523309624e-08
SPX,pdf_aligned,92,2.634550454286592e-08
SPX,pdf_aligned,93,2.6345504547297597e-08
SPX,pdf_aligned,94,2.6345504523309624e-08
SPX,pdf_aligned,95,2.634550454286592e-08
SPX,pdf_aligned,96,2.6345504547297597e-08
SPX,pdf_aligned,97,2.6345504523309624e-08
SPX,pdf_aligned,98,2.634550454286592e-08
SPX,pdf_aligned,99,2.6345504547297597e-08
SPX,pdf_aligned,100,2.6345504523309624e-08
SPX,pdf_aligned,101,2.634550454286592e-08
SPX,pdf_aligned,102,2.6345504547297597e-08
SPX,pdf_aligned,103,2.6345504523309624e-08
SPX,pdf_aligned,104,2.634550454286592e-08
SPX,pdf_aligned,105,2.6345504547297597e-08
SPX,pdf_aligned,106,2.6345504523309624e-08
SPX,pdf_aligned,107,2.634550454286592e-08
SPX,pdf_aligned,108,2.6345504547297597e-08
SPX,pdf_aligned,109,2.6345504523309624e-08
SPX,pdf_aligned,110,2.634550454286592e-08
SPX,pdf_aligned,111,2.6345504547297597e-08
SPX,pdf_aligned,112,2.6345504523309624e-08
SPX,pdf_aligned,113,2.634550454286592e-08
SPX,pdf_aligned,114,2.6345504547297597e-08
SPX,pdf_aligned,115,2.6345504523309624e-08
SPX,pdf_aligned,116,2.634550454286592e-08
SPX,pdf_aligned,117,2.6345504547297597e-08
SPX,pdf_aligned,118,2.6345504523296072e-08
SPX,pdf_aligned,119,2.634550454286592e-08
SPX,pdf_aligned,120,2.6345504547297597e-08
SPX,pdf_aligned,121,2.6345504523309624e-08
SPX,pdf_aligned,122,2.6345504542567766e-08
SPX,pdf_aligned,123,2.6345504548232722e-08
SPX,pdf_aligned,124,2.6345504521005695e-08
SPX,pdf_aligned,125,2.6345504544587092e-08
SPX,pdf_aligned,126,2.634550454613208e-08
SPX,pdf_aligned,127,2.6345504520693987e-08
SPX,pdf_aligned,128,2.6345504546443788e-08
SPX,pdf_aligned,129,2.6345504555795032e-08
SPX,pdf_aligned,130,2.634550454731115e-08
SPX,pdf_aligned,131,2.6345504559250926e-08
SPX,pdf_aligned,132,2.6345504527348278e-08
SPX,pdf_aligned,133,2.6345504564427992e-08
SPX,pdf_aligned,134,2.6345504559345794e-08
SPX,pdf_aligned,135,2.6345504524055013e-08
SPX,pdf_aligned,136,2.6345504556919892e-08
SPX,pdf_aligned,137,2.634550453760754e-08
SPX,pdf_aligned,138,2.634550453481572e-08
SPX,pdf_aligned,139,2.6345504572315563e-08
SPX,pdf_aligned,140,2.6345504545955897e-08
SPX,pdf_aligned,141,2.634550455536135e-08
SPX,pdf_aligned,142,2.6345504553301367e-08
SPX,pdf_aligned,143,2.6345504518823738e-08
SPX,pdf_aligned,144,2.6345504567924544e-08
SPX,pdf_aligned,145,2.6345504558288697e-08
SPX,pdf_aligned,146,2.6345504550726387e-08
SPX,pdf_aligned,147,2.6345504531481798e-08
SPX,pdf_aligned,148,2.634550456613561e-08
SPX,pdf_aligned,149,2.6345504554087414e-08
SPX,pdf_aligned,150,2.6345504532227187e-08
SPX,pdf_aligned,151,2.6345504528933923e-08
SPX,pdf_aligned,152,2.6345504537241622e-08
SPX,pdf_aligned,153,2.6345504552271375e-08
SPX,pdf_aligned,154,2.6345504541930797e-08
SPX,pdf_aligned,155,2.6345504539667525e-08
SPX,pdf_aligned,156,2.6345504544654855e-08
SPX,pdf_aligned,157,2.634550452928629e-08
SPX,pdf_aligned,158,2.634550454908653e-08
SPX,pdf_aligned,159,2.6345504562774584e-08
SPX,pdf_aligned,160,2.6345504552434005e-08
SPX,pdf_aligned,161,2.6345504568683485e-08
SPX,pdf_aligned,162,2.6345504530072335e-08
SPX,pdf_aligned,163,2.6345504545562874e-08
SPX,legacy,1,0.12040935833961057
SPX,legacy,2,0.11966980247723091
SPX,legacy,3,0.11934134292935503
SPX,legacy,4,0.11914419758672581
SPX,legacy,5,0.11901020495435141
SPX,legacy,6,0.11891262850755736
SPX,legacy,7,0.11883844486283211
SPX,legacy,8,0.11878039511682877
SPX,legacy,9,0.11873403959619766
SPX,legacy,10,0.118696475201503
SPX,legacy,11,0.11866570639856051
SPX,legacy,12,0.11864030752061201
SPX,legacy,13,0.11861922816999881
SPX,legacy,14,0.11860167447560424
SPX,legacy,15,0.11858703314995402
SPX,legacy,16,0.11857482103199553
SPX,legacy,17,0.11856465053751909
SPX,legacy,18,0.11855620544965634
SPX,legacy,19,0.11854922366755703
SPX,legacy,20,0.11854348477986484
SPX,legacy,21,0.11853880107187514
SPX,legacy,22,0.1185350110302003
SPX,legacy,23,0.11853197469418106
SPX,legacy,24,0.11852957038634127
SPX,legacy,25,0.11852769247476966
SPX,legacy,26,0.11852624990250472
SPX,legacy,27,0.11852516527735348
SPX,legacy,28,0.11852437435887221
SPX,legacy,29,0.11852382581288116
SPX,legacy,30,0.11852348113130289
SPX,legacy,31,0.11852331463858606
SPX,legacy,32,0.11852331352707675
SPX,legacy,33,0.11852347788347196
SPX,legacy,34,0.1185238206876098
SPX,legacy,35,0.11852436778373132
SPX,legacy,36,0.11852515784325128
SPX,legacy,37,0.1185262423572712
SPX,legacy,38,0.11852768571696894
SPX,legacy,39,0.11852956546127967
SPX,legacy,40,0.11853197279500433
SPX,legacy,41,0.11853501350819035
SPX,legacy,42,0.1185388094615949
SPX,legacy,43,0.11854350084665402
SPX,legacy,44,0.11854924948694417
SPX,legacy,45,0.11855624353028661
SPX,legacy,46,0.11856470400065716
SPX,legacy,47,0.1185748938603373
SPX,legacy,48,0.11858713051350633
SPX,legacy,49,0.11860180312590102
SPX,legacy,50,0.11861939684975706
SPX,legacy,51,0.11864052722789739
