setup,t,turnover
pdf_aligned,1,0.999999835833643
pdf_aligned,2,1.0589105187968771e-07
pdf_aligned,3,6.354888143082814e-09
pdf_aligned,4,9.922465303016052e-11
pdf_aligned,5,1.1471675988154219e-10
pdf_aligned,6,4.963026051327951e-11
pdf_aligned,7,6.740938747950773e-11
pdf_aligned,8,5.894215222645256e-10
pdf_aligned,9,5.2406592737294644e-11
pdf_aligned,10,4.117622719570016e-13
pdf_aligned,11,2.0266129947170766e-12
pdf_aligned,12,8.573723464045183e-13
pdf_aligned,13,3.060947084991203e-13
pdf_aligned,14,1.0696353741970754e-13
pdf_aligned,15,3.7746878105843207e-14
pdf_aligned,16,1.343105585516896e-14
pdf_aligned,17,4.959737048143564e-15
pdf_aligned,18,1.7596194683625055e-15
pdf_aligned,19,6.922495346048385e-16
pdf_aligned,20,2.492445269272614e-16
pdf_aligned,21,6.681395887941921e-18
pdf_aligned,22,5.716455954429822e-17
pdf_aligned,23,3.244475001162872e-17
pdf_aligned,24,3.2729353081906165e-17
pdf_aligned,25,9.965173217857393e-17
pdf_aligned,26,6.635317295611287e-17
pdf_aligned,27,2.47198095326695e-17
pdf_aligned,28,2.383889526752503e-17
pdf_aligned,29,8.669551621737215e-17
pdf_aligned,30,8.677683138030856e-17
pdf_aligned,31,5.59583846274081e-17
pdf_aligned,32,4.198572912950116e-17
pdf_aligned,33,2.1236810053559818e-17
pdf_aligned,34,1.5856456772600502e-17
pdf_aligned,35,3.720168704340887e-17
pdf_aligned,36,1.2170169386149787e-17
pdf_aligned,37,6.816921159502609e-18
pdf_aligned,38,1.0448998437329049e-17
pdf_aligned,39,1.349831704744453e-17
pdf_aligned,40,1.9542744159051217e-17
pdf_aligned,41,7.521652571618187e-18
pdf_aligned,42,1.2400562347802957e-17
pdf_aligned,43,1.497554250745603e-17
pdf_aligned,44,1.0408340855860843e-17
pdf_aligned,45,1.951563910473908e-18
pdf_aligned,46,3.7269449679189215e-17
pdf_aligned,47,3.179422870813742e-17
pdf_aligned,48,3.9302328752599536e-18
pdf_aligned,49,2.6454533008646308e-17
pdf_aligned,50,2.2944428475224488e-17
pdf_aligned,51,3.4558944247975454e-18
pdf_aligned,52,2.3987973066241786e-17
pdf_aligned,53,1.9569849213363355e-17
pdf_aligned,54,4.431676380034499e-18
pdf_aligned,55,2.4001525593397854e-17
pdf_aligned,56,1.9569849213363355e-17
pdf_aligned,57,4.431676380034499e-18
pdf_aligned,58,2.3987973066241786e-17
pdf_aligned,59,1.9556296686207286e-17
pdf_aligned,60,4.431676380034499e-18
pdf_aligned,61,2.3987973066241786e-17
pdf_aligned,62,1.9556296686207286e-17
pdf_aligned,63,4.431676380034499e-18
pdf_aligned,64,2.3987973066241786e-17
pdf_aligned,65,1.9556296686207286e-17
pdf_aligned,66,4.431676380034499e-18
pdf_aligned,67,2.3987973066241786e-17
pdf_aligned,68,1.9556296686207286e-17
pdf_aligned,69,4.431676380034499e-18
pdf_aligned,70,2.3987973066241786e-17
pdf_aligned,71,1.9556296686207286e-17
pdf_aligned,72,4.431676380034499e-18
pdf_aligned,73,2.3987973066241786e-17
pdf_aligned,74,1.9556296686207286e-17
pdf_aligned,75,4.431676380034499e-18
pdf_aligned,76,2.3987973066241786e-17
pdf_aligned,77,1.9556296686207286e-17
pdf_aligned,78,4.431676380034499e-18
pdf_aligned,79,2.3987973066241786e-17
pdf_aligned,80,1.9556296686207286e-17
pdf_aligned,81,4.431676380034499e-18
pdf_aligned,82,2.3987973066241786e-17
pdf_aligned,83,1.9556296686207286e-17
pdf_aligned,84,4.431676380034499e-18
pdf_aligned,85,2.3987973066241786e-17
pdf_aligned,86,1.9556296686207286e-17
pdf_aligned,87,4.431676380034499e-18
pdf_aligned,88,2.3987973066241786e-17
pdf_aligned,89,1.9556296686207286e-17
pdf_aligned,90,4.431676380034499e-18
pdf_aligned,91,2.3987973066241786e-17
pdf_aligned,92,1.9556296686207286e-17
pdf_aligned,93,4.431676380034499e-18
pdf_aligned,94,2.3987973066241786e-17
pdf_aligned,95,1.9556296686207286e-17
pdf_aligned,96,4.431676380034499e-18
pdf_aligned,97,2.3987973066241786e-17
pdf_aligned,98,1.9556296686207286e-17
pdf_aligned,99,4.431676380034499e-18
pdf_aligned,100,2.3987973066241786e-17
pdf_aligned,101,1.9556296686207286e-17
pdf_aligned,102,4.431676380034499e-18
pdf_aligned,103,2.3987973066241786e-17
pdf_aligned,104,1.9556296686207286e-17
pdf_aligned,105,4.431676380034499e-18
pdf_aligned,106,2.3987973066241786e-17
pdf_aligned,107,1.9556296686207286e-17
pdf_aligned,108,4.431676380034499e-18
pdf_aligned,109,2.3987973066241786e-17
