setup,t,costo_t,costo_acum
pdf_aligned,1,0.002499999839286373,0.002499999839286373
pdf_aligned,2,1.1838925520536205e-09,0.0025000010231789253
pdf_aligned,3,1.1302526446644234e-09,0.00250000215343157
pdf_aligned,4,1.1298018966676617e-09,0.0025000032832334664
pdf_aligned,5,1.1297969249475774e-09,0.0025000044130303913
pdf_aligned,6,1.1297965224012002e-09,0.0025000055428269136
pdf_aligned,7,1.1297964805371186e-09,0.002500006672623394
pdf_aligned,8,1.1297975649732618e-09,0.002500007802420959
pdf_aligned,9,1.1297964875354268e-09,0.0025000089322174466
pdf_aligned,10,1.1297964585807236e-09,0.0025000100620139053
pdf_aligned,11,1.129796458874217e-09,0.0025000111918103644
pdf_aligned,12,1.1297964588398479e-09,0.002500012321606823
pdf_aligned,13,1.1297964588258617e-09,0.0025000134514032817
pdf_aligned,14,1.129796458823151e-09,0.0025000145811997403
pdf_aligned,15,1.1297964588230427e-09,0.002500015710996199
pdf_aligned,16,1.1297964588231512e-09,0.0025000168407926576
pdf_aligned,17,1.1297964588230427e-09,0.0025000179705891162
pdf_aligned,18,1.1297964588230427e-09,0.002500019100385575
pdf_aligned,19,1.1297964588232596e-09,0.0025000202301820335
pdf_aligned,20,1.1297964588229343e-09,0.002500021359978492
pdf_aligned,21,1.129796458823151e-09,0.002500022489774951
pdf_aligned,22,1.1297964588230427e-09,0.0025000236195714095
pdf_aligned,23,1.1297964588230427e-09,0.002500024749367868
pdf_aligned,24,1.1297964588230427e-09,0.0025000258791643267
pdf_aligned,25,1.129796458822826e-09,0.0025000270089607854
pdf_aligned,26,1.1297964588230427e-09,0.002500028138757244
pdf_aligned,27,1.1297964588230427e-09,0.0025000292685537027
pdf_aligned,28,1.1297964588232596e-09,0.0025000303983501613
pdf_aligned,29,1.1297964588229343e-09,0.00250003152814662
pdf_aligned,30,1.1297964588230427e-09,0.0025000326579430786
pdf_aligned,31,1.1297964588231512e-09,0.0025000337877395373
pdf_aligned,32,1.129796458822826e-09,0.002500034917535996
pdf_aligned,33,1.1297964588231512e-09,0.0025000360473324545
pdf_aligned,34,1.1297964588230427e-09,0.002500037177128913
pdf_aligned,35,1.1297964588230427e-09,0.002500038306925372
pdf_aligned,36,1.1297964588229343e-09,0.0025000394367218305
pdf_aligned,37,1.1297964588232596e-09,0.002500040566518289
pdf_aligned,38,1.1297964588229343e-09,0.0025000416963147478
pdf_aligned,39,1.1297964588230427e-09,0.0025000428261112064
pdf_aligned,40,1.1297964588230427e-09,0.002500043955907665
pdf_aligned,41,1.1297964588231512e-09,0.0025000450857041237
pdf_aligned,42,1.1297964588228257e-09,0.0025000462155005823
pdf_aligned,43,1.1297964588230427e-09,0.002500047345297041
pdf_aligned,44,1.1297964588229343e-09,0.0025000484750934996
pdf_aligned,45,1.1297964588228257e-09,0.0025000496048899583
pdf_aligned,46,1.1297964588229343e-09,0.002500050734686417
pdf_aligned,47,1.129796458822826e-09,0.0025000518644828756
pdf_aligned,48,1.1297964588230427e-09,0.002500052994279334
pdf_aligned,49,1.1297964588228257e-09,0.002500054124075793
pdf_aligned,50,1.1297964588229343e-09,0.0025000552538722515
pdf_aligned,51,1.1297964588229343e-09,0.00250005638366871
pdf_aligned,52,1.129796458823151e-09,0.002500057513465169
pdf_aligned,53,1.1297964588229343e-09,0.0025000586432616274
pdf_aligned,54,1.1297964588230427e-09,0.002500059773058086
pdf_aligned,55,1.129796458823368e-09,0.0025000609028545447
pdf_aligned,56,1.1297964588230427e-09,0.0025000620326510034
pdf_aligned,57,1.1297964588229343e-09,0.002500063162447462
pdf_aligned,58,1.129796458823368e-09,0.0025000642922439207
pdf_aligned,59,1.1297964588230427e-09,0.0025000654220403793
pdf_aligned,60,1.1297964588229343e-09,0.002500066551836838
pdf_aligned,61,1.129796458823368e-09,0.0025000676816332966
pdf_aligned,62,1.1297964588230427e-09,0.0025000688114297552
pdf_aligned,63,1.1297964588229343e-09,0.002500069941226214
pdf_aligned,64,1.129796458823368e-09,0.0025000710710226725
pdf_aligned,65,1.1297964588230427e-09,0.002500072200819131
pdf_aligned,66,1.1297964588229343e-09,0.00250007333061559
pdf_aligned,67,1.129796458823368e-09,0.0025000744604120485
pdf_aligned,68,1.1297964588230427e-09,0.002500075590208507
pdf_aligned,69,1.1297964588229343e-09,0.0025000767200049658
pdf_aligned,70,1.129796458823368e-09,0.0025000778498014244
pdf_aligned,71,1.1297964588230427e-09,0.002500078979597883
pdf_aligned,72,1.1297964588229343e-09,0.0025000801093943417
pdf_aligned,73,1.129796458823368e-09,0.0025000812391908003
pdf_aligned,74,1.1297964588230427e-09,0.002500082368987259
pdf_aligned,75,1.1297964588229343e-09,0.0025000834987837176
pdf_aligned,76,1.129796458823368e-09,0.0025000846285801763
pdf_aligned,77,1.1297964588230427e-09,0.002500085758376635
pdf_aligned,78,1.1297964588229343e-09,0.0025000868881730936
pdf_aligned,79,1.129796458823368e-09,0.002500088017969552
pdf_aligned,80,1.1297964588230427e-09,0.002500089147766011
pdf_aligned,81,1.1297964588229343e-09,0.0025000902775624695
pdf_aligned,82,1.129796458823368e-09,0.002500091407358928
pdf_aligned,83,1.1297964588230427e-09,0.0025000925371553868
pdf_aligned,84,1.1297964588229343e-09,0.0025000936669518454
pdf_aligned,85,1.129796458823368e-09,0.002500094796748304
pdf_aligned,86,1.1297964588230427e-09,0.0025000959265447627
pdf_aligned,87,1.1297964588229343e-09,0.0025000970563412214
pdf_aligned,88,1.129796458823368e-09,0.00250009818613768
pdf_aligned,89,1.1297964588230427e-09,0.0025000993159341386
pdf_aligned,90,1.1297964588229343e-09,0.0025001004457305973
pdf_aligned,91,1.129796458823368e-09,0.002500101575527056
pdf_aligned,92,1.1297964588230427e-09,0.0025001027053235146
pdf_aligned,93,1.1297964588229343e-09,0.0025001038351199732
pdf_aligned,94,1.129796458823368e-09,0.002500104964916432
pdf_aligned,95,1.1297964588230427e-09,0.0025001060947128905
pdf_aligned,96,1.1297964588229343e-09,0.002500107224509349
pdf_aligned,97,1.129796458823368e-09,0.002500108354305808
pdf_aligned,98,1.1297964588230427e-09,0.0025001094841022664
pdf_aligned,99,1.1297964588229343e-09,0.002500110613898725
pdf_aligned,100,1.129796458823368e-09,0.0025001117436951837
pdf_aligned,101,1.1297964588230427e-09,0.0025001128734916424
pdf_aligned,102,1.1297964588229343e-09,0.002500114003288101
