asset,threshold,p_bull_mean,frac_pbull_eq_0,frac_pbull_eq_1
SPX,-0.03,0.811650485436893,0.0,0.05825242718446602
CMC200,-0.03,0.6776699029126211,0.0,0.0
SPX,-0.02,0.7941747572815531,0.0,0.009708737864077669
CMC200,-0.02,0.570873786407767,0.0,0.0
SPX,-0.01,0.6407766990291259,0.0,0.0
CMC200,-0.01,0.5281553398058252,0.0,0.0
SPX,-0.005,0.5902912621359223,0.0,0.0
CMC200,-0.005,0.4951456310679611,0.0,0.0
SPX,0.0,0.5339805825242718,0.0,0.0
CMC200,0.0,0.4679611650485436,0.0,0.0
SPX,0.005,0.42135922330097086,0.0,0.0
CMC200,0.005,0.45436893203883494,0.0,0.0
SPX,0.01,0.3999999999999999,0.0,0.0
CMC200,0.01,0.4349514563106795,0.0,0.0
SPX,0.02,0.26601941747572816,0.009708737864077669,0.0
CMC200,0.02,0.39611650485436883,0.0,0.0
SPX,0.03,0.19999999999999996,0.009708737864077669,0.0
CMC200,0.03,0.3378640776699029,0.0,0.0
