t,r_spx_pct,r_cmc_pct,mu_spx_t_pct,mu_cmc_t_pct,p_bull_spx,p_bull_cmc
1,0.3097569,1.965036,0.3079116908177593,0.9276909178621575,0.5813211516485083,0.5917009848855186
2,0.09552986,-2.009798,0.5067366430758001,1.6235782507653007,0.6322522501990598,0.6575899633278959
3,0.0057790745,-2.0872576,0.6877852522924731,2.2572483830236565,0.6767118089837921,0.7137291245181012
4,0.9333602,7.5639358,0.8431448254773942,2.8010068891708797,0.7129748807076224,0.758114942127529
5,0.22771564,0.097287774,0.9660254037844387,3.2310889132455354,0.7402177740619298,0.7903891424062384
6,1.7858196,5.7446747,1.0510565162951537,3.528697807033038,0.7582562277952501,0.8111587622464034
7,1.2526433,0.6684193,1.0945218953682734,3.680826633788957,0.7672074817798991,0.8212676122737577
8,1.0506442,6.030924,1.0945218953682734,3.6808266337889575,0.7672074817798991,0.8212676122737577
9,-0.9652653,-0.74495876,1.0510565162951537,3.5286978070330384,0.7582562277952501,0.8111587622464034
10,-1.8858086,-5.0384464,0.9660254037844387,3.2310889132455354,0.7402177740619298,0.7903891424062384
11,-1.9194577,-1.6968427,0.8431448254773946,2.801006889170881,0.7129748807076224,0.7581149421275291
12,-1.2133845,0.66204274,0.6877852522924732,2.2572483830236565,0.6767118089837921,0.7137291245181012
13,0.74186325,1.2895327,0.5067366430758,1.6235782507653003,0.6322522501990598,0.6575899633278958
14,-3.467228,-5.9719152,0.3079116908177593,0.9276909178621575,0.5813211516485083,0.5917009848855186
15,0.02724858,0.49551195,0.10000000000000056,0.200000000000002,0.5265764643003652,0.5199388058383727
16,-2.4031153,-5.242948,-0.10791169081775906,-0.5276909178621568,0.471324380021296,0.4475227051195834
17,-1.7745152,-5.9825106,-0.30673664307580023,-1.2235782507653008,0.4189848749174513,0.37984246300107416
18,1.1035627,-2.5328333,-0.48778525229247305,-1.8572483830236561,0.372518574654557,0.32121207957545267
19,-0.6919274,0.59756607,-0.643144825477394,-2.4010068891708793,0.33404777492006077,0.2741692440239542
20,-1.6414261,-4.3852367,-0.7660254037844385,-2.831088913245535,0.3047863122417526,0.23954335761110146
21,-0.6853603,-2.686823,-0.8510565162951536,-3.1286978070330376,0.2852310704948694,0.21705602839574994
22,-2.7321055,-5.4671807,-0.8945218953682734,-3.2808266337889567,0.2754714088347795,0.20604915340573138
23,1.1437132,-5.922646,-0.8945218953682734,-3.280826633788957,0.2754714088347795,0.20604915340573132
24,0.43801755,-0.996478,-0.8510565162951536,-3.128697807033038,0.2852310704948694,0.2170560283957499
25,-1.7282311,2.8156166,-0.7660254037844386,-2.831088913245535,0.30478631224175257,0.23954335761110146
26,0.50024474,-5.0309463,-0.643144825477394,-2.4010068891708793,0.33404777492006077,0.2741692440239542
27,-0.37601092,0.28949538,-0.48778525229247344,-1.8572483830236568,0.3725185746545569,0.3212120795754526
28,-0.58990985,0.76452804,-0.3067366430758002,-1.2235782507653008,0.41898487491745134,0.3798424630010742
29,-0.20768768,1.6506878,-0.10791169081775898,-0.5276909178621565,0.471324380021296,0.4475227051195835
30,2.257784,0.7364825,0.09999999999999887,0.19999999999999607,0.5265764643003648,0.519938805838372
31,0.61261964,-0.2709764,0.3079116908177585,0.9276909178621549,0.5813211516485081,0.5917009848855184
32,0.6976393,-2.2344475,0.5067366430757997,1.6235782507652994,0.6322522501990597,0.6575899633278957
33,-0.18116714,0.4190024,0.6877852522924729,2.2572483830236556,0.676711808983792,0.7137291245181011
34,2.1912906,8.565701,0.8431448254773942,2.80100688917088,0.7129748807076224,0.7581149421275291
35,-1.0192662,-2.1686885,0.9660254037844384,3.231088913245535,0.7402177740619297,0.7903891424062383
36,2.0214117,-2.0794399,1.0510565162951537,3.528697807033038,0.7582562277952501,0.8111587622464034
37,0.3997671,2.4174752,1.0945218953682734,3.680826633788957,0.7672074817798991,0.8212676122737577
38,2.9800444,8.583022,1.0945218953682734,3.6808266337889575,0.7672074817798991,0.8212676122737577
39,0.5602364,1.5974866,1.0510565162951537,3.5286978070330384,0.7582562277952501,0.8111587622464034
40,0.59073234,8.008359,0.9660254037844391,3.2310889132455376,0.7402177740619298,0.7903891424062385
41,0.20110743,0.8929773,0.8431448254773953,2.8010068891708837,0.7129748807076226,0.7581149421275293
42,1.2166688,2.5440655,0.6877852522924734,2.257248383023657,0.6767118089837922,0.7137291245181013
43,0.21081029,-2.6302319,0.506736643075801,1.6235782507653038,0.6322522501990601,0.6575899633278961
44,0.29062948,-0.6319624,0.3079116908177608,0.9276909178621631,0.5813211516485086,0.5917009848855191
45,1.8491917,4.7946205,0.10000000000000037,0.20000000000000132,0.5265764643003652,0.5199388058383726
46,-0.14412712,1.7393616,-0.10791169081775841,-0.5276909178621545,0.4713243800212962,0.4475227051195837
47,-0.81654096,1.7413553,-0.3067366430758004,-1.2235782507653015,0.4189848749174513,0.3798424630010741
48,-0.49588463,0.15284826,-0.4877852522924728,-1.8572483830236548,0.37251857465455707,0.3212120795754528
49,-2.5794847,-3.7818584,-0.6431448254773936,-2.401006889170878,0.3340477749200609,0.2741692440239544
50,-3.2983315,-13.258083,-0.7660254037844386,-2.831088913245536,0.30478631224175257,0.23954335761110146
51,-1.3077718,-6.855092,-0.8510565162951536,-3.1286978070330376,0.2852310704948694,0.21705602839574994
52,-0.6484427,4.8233438,-0.8945218953682734,-3.280826633788957,0.2754714088347795,0.20604915340573132
53,-2.1421068,-7.1056767,-0.8945218953682734,-3.2808266337889567,0.2754714088347795,0.20604915340573138
54,-0.5429506,-1.0100418,-0.8510565162951539,-3.128697807033038,0.2852310704948693,0.2170560283957499
55,-1.0306345,-3.8972645,-0.7660254037844383,-2.8310889132455346,0.3047863122417527,0.23954335761110152
56,0.4105496,0.80493194,-0.6431448254773942,-2.40100688917088,0.33404777492006077,0.27416924402395415
57,-2.0382988,-4.198892,-0.4877852522924735,-1.8572483830236575,0.37251857465455684,0.3212120795754525
58,-0.25380638,-4.8058467,-0.30673664307579956,-1.2235782507652984,0.4189848749174515,0.3798424630010744
59,0.28184697,-2.980061,-0.10791169081775924,-0.5276909178621574,0.47132438002129595,0.44752270511958336
60,1.5581001,2.8118248,0.09999999999999773,0.19999999999999207,0.5265764643003645,0.5199388058383717
61,0.4418714,-0.94107836,0.30791169081775827,0.9276909178621541,0.581321151648508,0.5917009848855184
62,0.3288219,-5.5340376,0.5067366430757987,1.6235782507652956,0.6322522501990595,0.6575899633278953
63,-1.009326,1.2513473,0.6877852522924727,2.2572483830236543,0.676711808983792,0.713729124518101
64,-2.3497057,1.4766108,0.8431448254773936,2.8010068891708775,0.7129748807076222,0.7581149421275288
65,-1.6531193,2.360315,0.9660254037844377,3.2310889132455327,0.7402177740619296,0.7903891424062381
66,-0.21718903,4.536208,1.0510565162951533,3.528697807033038,0.75825622779525,0.8111587622464034
67,1.2909486,-1.3810233,1.0945218953682734,3.680826633788957,0.7672074817798991,0.8212676122737577
68,2.968245,11.173345,1.0945218953682734,3.680826633788957,0.7672074817798991,0.8212676122737577
69,0.9523491,2.4482143,1.0510565162951537,3.5286978070330384,0.7582562277952501,0.8111587622464034
70,0.72622496,-0.46667176,0.9660254037844395,3.2310889132455376,0.7402177740619299,0.7903891424062385
71,2.491025,3.1175475,0.8431448254773942,2.80100688917088,0.7129748807076224,0.7581149421275291
72,0.61099964,-0.5931918,0.6877852522924736,2.257248383023658,0.6767118089837922,0.7137291245181013
73,-0.43237302,-4.054738,0.5067366430758014,1.623578250765305,0.6322522501990602,0.6575899633278962
74,2.1935158,2.9080546,0.3079116908177594,0.9276909178621577,0.5813211516485083,0.5917009848855187
75,1.5488824,2.178001,0.10000000000000062,0.20000000000000212,0.5265764643003653,0.5199388058383727
76,-1.149517,-3.048169,-0.10791169081775814,-0.5276909178621536,0.47132438002129623,0.44752270511958375
77,-1.1470832,-2.3164692,-0.30673664307579857,-1.223578250765295,0.41898487491745173,0.3798424630010747
78,-1.0506855,-3.6467414,-0.4877852522924726,-1.857248383023654,0.37251857465455707,0.32121207957545284
79,-2.7110069,-7.9531527,-0.6431448254773946,-2.4010068891708816,0.33404777492006066,0.27416924402395404
80,1.7150608,-1.8481938,-0.7660254037844377,-2.8310889132455324,0.3047863122417528,0.23954335761110163
81,-2.432197,-4.0683527,-0.8510565162951536,-3.1286978070330376,0.2852310704948694,0.21705602839574994
82,1.2163864,-5.50317,-0.8945218953682731,-3.280826633788956,0.2754714088347796,0.20604915340573143
83,-1.2073046,-5.8873644,-0.8945218953682731,-3.2808266337889567,0.2754714088347796,0.20604915340573138
84,-3.4925857,-4.1048756,-0.8510565162951539,-3.128697807033038,0.2852310704948693,0.2170560283957499
85,-0.8011913,-2.6304948,-0.7660254037844385,-2.8310889132455346,0.3047863122417526,0.23954335761110152
86,-1.771612,-2.3302114,-0.6431448254773955,-2.4010068891708842,0.33404777492006044,0.2741692440239538
87,-1.2967312,-3.4308743,-0.48778525229247366,-1.8572483830236581,0.37251857465455684,0.3212120795754525
88,-1.9691279,-7.6528034,-0.306736643075803,-1.2235782507653108,0.4189848749174506,0.3798424630010732
89,1.8953862,0.38671055,-0.10791169081775771,-0.527690917862152,0.47132438002129634,0.4475227051195839
90,0.5375205,0.6663072,0.09999999999999927,0.19999999999999746,0.5265764643003649,0.5199388058383722
91,-0.3538061,-1.7142279,0.30791169081775976,0.9276909178621593,0.5813211516485084,0.5917009848855188
92,1.4518605,1.8380433,0.5067366430757985,1.6235782507652945,0.6322522501990594,0.6575899633278952
93,0.46061975,2.0313387,0.6877852522924724,2.257248383023654,0.676711808983792,0.713729124518101
94,2.6079073,7.5113826,0.8431448254773946,2.801006889170881,0.7129748807076224,0.7581149421275291
95,1.5399258,2.044021,0.9660254037844395,3.231088913245538,0.7402177740619299,0.7903891424062386
96,-1.0218966,4.0540285,1.0510565162951533,3.528697807033037,0.75825622779525,0.8111587622464034
97,2.5441926,5.1262927,1.094521895368273,3.6808266337889557,0.767207481779899,0.8212676122737577
98,1.9073477,7.471593,1.0945218953682736,3.6808266337889575,0.7672074817798991,0.8212676122737577
99,2.2978332,8.3828335,1.0510565162951537,3.5286978070330393,0.7582562277952501,0.8111587622464034
100,0.28259894,7.5678735,0.9660254037844384,3.231088913245535,0.7402177740619297,0.7903891424062383
101,-1.0267447,3.292917,0.8431448254773957,2.8010068891708846,0.7129748807076226,0.7581149421275293
102,1.4286834,6.271418,0.6877852522924739,2.2572483830236587,0.6767118089837922,0.7137291245181014
103,3.3252492,10.523865,0.5067366430758032,1.6235782507653111,0.6322522501990606,0.6575899633278968
104,-1.4098537,-7.212393,0.3079116908177579,0.9276909178621525,0.5813211516485078,0.5917009848855181
105,1.3253336,-1.6823281,0.10000000000000087,0.200000000000003,0.5265764643003653,0.5199388058383727
106,-0.12651977,2.3563995,-0.10791169081775967,-0.5276909178621588,0.47132438002129584,0.4475227051195832
107,-2.7724328,-11.820359,-0.30673664307579834,-1.2235782507652944,0.41898487491745184,0.37984246300107477
108,-0.09883673,-1.1848931,-0.48778525229247244,-1.857248383023654,0.3725185746545572,0.32121207957545284
109,-1.0118495,-2.7591248,-0.643144825477392,-2.4010068891708722,0.3340477749200612,0.2741692440239548
110,-2.056799,-9.795018,-0.7660254037844394,-2.8310889132455377,0.3047863122417524,0.2395433576111013
111,-1.1010388,-6.8281054,-0.8510565162951532,-3.1286978070330367,0.2852310704948695,0.21705602839575
112,-3.359744,-4.8160586,-0.8945218953682734,-3.280826633788957,0.2754714088347795,0.20604915340573132
113,-0.98661983,-1.9953678,-0.8945218953682734,-3.280826633788957,0.2754714088347795,0.20604915340573132
114,-2.3349988,-7.38687,-0.8510565162951539,-3.128697807033039,0.2852310704948693,0.21705602839574983
115,-2.26459,-7.900593,-0.7660254037844385,-2.831088913245535,0.3047863122417526,0.23954335761110146
116,-0.35003296,-4.7224946,-0.6431448254773934,-2.401006889170877,0.334047774920061,0.27416924402395443
117,0.04631418,0.031833246,-0.48778525229247394,-1.8572483830236588,0.37251857465455673,0.3212120795754524
118,2.731005,-1.998019,-0.30673664307579995,-1.2235782507653,0.4189848749174514,0.37984246300107427
119,1.2239419,0.93811846,-0.10791169081776145,-0.5276909178621652,0.47132438002129534,0.4475227051195826
120,0.078955404,-4.850535,0.09999999999999547,0.19999999999998413,0.5265764643003639,0.5199388058383709
121,-0.38237903,2.581814,0.30791169081775954,0.9276909178621584,0.5813211516485083,0.5917009848855187
122,0.3830191,1.739402,0.5067366430757982,1.6235782507652938,0.6322522501990594,0.6575899633278952
123,0.25171024,5.675362,0.6877852522924723,2.257248383023654,0.6767118089837919,0.713729124518101
124,0.810936,-4.864402,0.843144825477392,2.8010068891708726,0.7129748807076218,0.7581149421275284
125,-0.07208342,-4.9731674,0.9660254037844374,3.2310889132455314,0.7402177740619295,0.7903891424062379
126,-3.826101,-4.810552,1.0510565162951533,3.528697807033037,0.75825622779525,0.8111587622464034
127,3.0948617,6.511174,1.0945218953682734,3.6808266337889575,0.7672074817798991,0.8212676122737577
128,-0.6642966,-1.9229448,1.0945218953682736,3.6808266337889584,0.7672074817798991,0.8212676122737579
129,2.7469764,6.335959,1.0510565162951537,3.5286978070330393,0.7582562277952501,0.8111587622464034
130,1.0380243,3.1418905,0.9660254037844405,3.2310889132455416,0.7402177740619301,0.7903891424062388
131,0.9007452,5.6678143,0.8431448254773934,2.801006889170877,0.7129748807076222,0.7581149421275286
132,1.5166361,4.1096063,0.687785252292474,2.257248383023659,0.6767118089837924,0.7137291245181014
