asset,t,w
SPX,1,1.6047372089830888e-07
SPX,2,2.3317565238018304e-07
SPX,3,2.140690082793646e-07
SPX,4,1.98601574725012e-07
SPX,5,1.9046547511777012e-07
SPX,6,1.8676473865422564e-07
SPX,7,1.8520454480604577e-07
SPX,8,1.8457611193864226e-07
SPX,9,1.843305346781567e-07
SPX,10,1.842366218185443e-07
SPX,11,1.842012870101144e-07
SPX,12,1.8418815963206425e-07
SPX,13,1.8418333182621167e-07
SPX,14,1.8418157088012708e-07
SPX,15,1.8418093292570255e-07
SPX,16,1.8418070320482427e-07
SPX,17,1.8418062086910183e-07
SPX,18,1.841805914952325e-07
SPX,19,1.8418058103451113e-07
SPX,20,1.8418057726334426e-07
SPX,21,1.841805759413359e-07
SPX,22,1.8418057558731678e-07
SPX,23,1.8418057535195004e-07
SPX,24,1.8418057531957306e-07
SPX,25,1.8418057523478845e-07
SPX,26,1.8418057526784306e-07
SPX,27,1.8418057529900032e-07
SPX,28,1.841805752085372e-07
SPX,29,1.8418057527924074e-07
SPX,30,1.841805752280393e-07
SPX,31,1.8418057529906808e-07
SPX,32,1.8418057523225412e-07
SPX,33,1.8418057523164426e-07
SPX,34,1.8418057524949294e-07
SPX,35,1.841805752698895e-07
SPX,36,1.841805752181866e-07
SPX,37,1.8418057529203432e-07
SPX,38,1.8418057526599992e-07
SPX,39,1.8418057526193416e-07
SPX,40,1.8418057518431884e-07
SPX,41,1.8418057524892373e-07
SPX,42,1.8418057526564755e-07
SPX,43,1.841805752146494e-07
SPX,44,1.8418057529875638e-07
SPX,45,1.841805752479615e-07
SPX,46,1.8418057525793616e-07
SPX,47,1.8418057524155116e-07
SPX,48,1.8418057524709414e-07
SPX,49,1.841805752576651e-07
SPX,50,1.8418057524206615e-07
SPX,51,1.841805752465656e-07
SPX,52,1.8418057525775998e-07
SPX,53,1.8418057524206615e-07
SPX,54,1.8418057524727032e-07
SPX,55,1.8418057525771932e-07
SPX,56,1.841805752420526e-07
SPX,57,1.8418057524727032e-07
SPX,58,1.8418057525770577e-07
SPX,59,1.841805752420526e-07
SPX,60,1.8418057524727032e-07
SPX,61,1.8418057525770577e-07
SPX,62,1.841805752420526e-07
SPX,63,1.8418057524727032e-07
SPX,64,1.8418057525770577e-07
SPX,65,1.841805752420526e-07
SPX,66,1.8418057524727032e-07
SPX,67,1.8418057525770577e-07
SPX,68,1.841805752420526e-07
SPX,69,1.8418057524727032e-07
SPX,70,1.8418057525770577e-07
SPX,71,1.841805752420526e-07
SPX,72,1.8418057524727032e-07
SPX,73,1.8418057525770577e-07
SPX,74,1.841805752420526e-07
SPX,75,1.8418057524727032e-07
SPX,76,1.8418057525770577e-07
SPX,77,1.841805752420526e-07
SPX,78,1.8418057524727032e-07
SPX,79,1.8418057525770577e-07
SPX,80,1.841805752420526e-07
SPX,81,1.8418057524727032e-07
SPX,82,1.8418057525770577e-07
SPX,83,1.841805752420526e-07
SPX,84,1.8418057524727032e-07
SPX,85,1.8418057525770577e-07
