lambda,m,V_mean,V_min,V_max,regret_mean
0.3,0.1,6076.22314453125,1266.0394287109375,14340.6953125,0.0035400390625
0.3,0.5,6076.22314453125,1266.0394287109375,14340.6953125,0.0035400390625
0.3,1.0,6076.22314453125,1266.0394287109375,14340.6953125,0.0035400390625
0.9,0.1,6076.22314453125,1266.0394287109375,14340.6953125,0.0035400390625
0.9,0.5,6076.2255859375,1266.0396728515625,14340.703125,0.0008544921875
0.9,1.0,6076.22314453125,1266.0394287109375,14340.6953125,0.0035400390625
1.2,0.1,6076.22314453125,1266.0394287109375,14340.6953125,0.0035400390625
1.2,0.5,6076.2255859375,1266.0401611328125,14340.69921875,0.0009521484607830644
1.2,1.0,6076.22314453125,1266.0394287109375,14340.6953125,0.0035400390625
1.5,0.1,6076.22314453125,1266.0394287109375,14340.6953125,0.0035400390625
1.5,0.5,6076.2255859375,1266.04052734375,14340.703125,0.0013671874767169356
1.5,1.0,6076.22314453125,1266.0394287109375,14340.6953125,0.0035400390625
1.8,0.1,6076.22314453125,1266.0394287109375,14340.6953125,0.0035400390625
1.8,0.5,6076.22314453125,1266.0394287109375,14340.6953125,0.0035400390625
1.8,1.0,6076.22314453125,1266.0394287109375,14340.6953125,0.0035400390625
