scenario,t,capital
0,1,10000.0
0,2,10199.7705078125
0,3,10615.0361328125
0,4,11591.1806640625
0,5,12427.791015625
0,6,12316.4345703125
0,7,12196.580078125
0,8,12254.1708984375
0,9,12563.9404296875
0,10,12740.1689453125
0,11,12497.220703125
0,12,12177.517578125
0,13,12106.5810546875
0,14,11185.7919921875
0,15,10281.6826171875
0,16,9346.7734375
0,17,8659.376953125
0,18,7785.85498046875
0,19,7316.1728515625
0,20,6579.849609375
0,21,6065.05859375
0,22,5716.47412109375
0,23,5443.05712890625
0,24,5340.56103515625
0,25,5100.26708984375
0,26,4969.572265625
0,27,5254.01513671875
0,28,5132.5419921875
0,29,5393.115234375
0,30,5580.68798828125
0,31,5260.42919921875
0,32,4933.94970703125
0,33,4804.9775390625
0,34,4433.26904296875
0,35,4360.44873046875
0,36,4257.16259765625
0,37,4075.84814453125
0,38,3984.714599609375
0,39,3816.968994140625
0,40,3498.8447265625
0,41,3296.509033203125
0,42,3097.971435546875
0,43,2804.89013671875
0,44,2655.460205078125
0,45,2470.938720703125
0,46,2310.085205078125
0,47,2209.43017578125
0,48,2080.73876953125
0,49,1886.8016357421875
0,50,1792.481201171875
0,51,1621.1534423828125
0,52,1578.574462890625
0,53,1520.7198486328125
0,54,1508.761962890625
0,55,1384.4039306640625
0,56,1313.409912109375
0,57,1242.328369140625
0,58,1128.5185546875
0,59,1012.2116088867188
0,60,979.8937377929688
0,61,964.8624267578125
0,62,1014.9291381835938
0,63,1047.598388671875
0,64,1107.451904296875
0,65,1126.69970703125
0,66,1144.83642578125
0,67,1232.8424072265625
0,68,1221.2362060546875
0,69,1203.6890869140625
0,70,1128.9991455078125
0,71,1224.9820556640625
0,72,1146.4544677734375
0,73,1205.06396484375
0,74,1138.224853515625
0,75,1099.396240234375
0,76,1079.841552734375
0,77,1084.2076416015625
0,78,1158.638671875
0,79,1207.0609130859375
0,80,1264.794677734375
0,81,1299.872802734375
0,82,1410.4779052734375
0,83,1496.556884765625
0,84,1499.9222412109375
0,85,1618.084228515625
0,86,1602.5875244140625
0,87,1666.527099609375
0,88,1571.7825927734375
0,89,1555.157470703125
0,90,1574.3795166015625
0,91,1530.6761474609375
0,92,1520.535400390625
0,93,1515.7899169921875
0,94,1403.7242431640625
0,95,1292.6873779296875
0,96,1176.9443359375
0,97,1092.34912109375
0,98,1172.59423828125
0,99,1081.75732421875
0,100,1036.2576904296875
0,101,989.6021728515625
0,102,980.8972778320312
0,103,984.3479614257812
0,104,1046.6917724609375
0,105,1101.284912109375
0,106,1113.824462890625
0,107,1059.1849365234375
0,108,996.423583984375
0,109,1073.002197265625
0,110,1079.3875732421875
0,111,1113.9227294921875
0,112,1196.5130615234375
0,113,1223.9677734375
0,114,1161.4107666015625
0,115,1180.6932373046875
0,116,1150.2548828125
0,117,1235.2017822265625
0,118,1215.0113525390625
0,119,1144.61572265625
0,120,1219.281982421875
0,121,1192.960205078125
0,122,1241.1715087890625
0,123,1267.0230712890625
0,124,1282.419677734375
0,125,1378.579833984375
0,126,1363.7861328125
0,127,1410.4698486328125
0,128,1464.18017578125
0,129,1527.277099609375
0,130,1599.6749267578125
0,131,1645.65673828125
0,132,1790.7989501953125
0,133,1847.84521484375
0,134,1899.01123046875
0,135,1885.5531005859375
0,136,1911.5074462890625
0,137,1874.458984375
0,138,1910.802978515625
0,139,2069.89013671875
0,140,2196.205322265625
0,141,2232.065185546875
0,142,2334.93310546875
0,143,2249.98583984375
0,144,2210.080078125
0,145,2072.981689453125
0,146,1981.9927978515625
0,147,1929.425048828125
0,148,1888.5943603515625
0,149,1809.635498046875
0,150,1660.2379150390625
0,151,1818.8258056640625
0,152,1928.31689453125
0,153,1886.72802734375
0,154,1794.729248046875
0,155,1811.53515625
0,156,1805.393310546875
0,157,1682.2381591796875
0,158,1608.49365234375
0,159,1477.38134765625
0,160,1447.6458740234375
0,161,1407.6396484375
0,162,1377.4127197265625
0,163,1266.0396728515625
1,1,10000.0
1,2,10922.703125
1,3,11313.7041015625
1,4,10704.5576171875
1,5,10082.8876953125
1,6,9667.4423828125
1,7,8914.9951171875
1,8,8758.7919921875
1,9,9263.1728515625
1,10,9625.3056640625
1,11,9395.259765625
1,12,9180.392578125
1,13,9292.767578125
1,14,9036.0205078125
1,15,9131.9248046875
1,16,9741.91796875
1,17,10148.8720703125
1,18,9579.6650390625
1,19,10190.91015625
1,20,9619.416015625
1,21,9063.5888671875
1,22,8421.8955078125
1,23,9163.4267578125
1,24,9513.5791015625
1,25,8921.6298828125
1,26,8795.2060546875
1,27,8498.6044921875
1,28,8180.85986328125
1,29,8022.94677734375
1,30,7384.80322265625
1,31,6987.5166015625
1,32,6737.1318359375
1,33,6537.984375
1,34,6385.837890625
1,35,6379.2568359375
1,36,5880.77685546875
1,37,5817.61669921875
1,38,5712.3896484375
1,39,5267.66943359375
1,40,5198.18701171875
1,41,5466.474609375
1,42,5090.85498046875
1,43,4893.0361328125
1,44,4685.40478515625
1,45,4656.52734375
1,46,4291.46240234375
1,47,4234.2060546875
1,48,4148.25341796875
1,49,4085.755126953125
1,50,3937.28125
1,51,4244.3505859375
1,52,4524.1689453125
1,53,4292.791015625
1,54,4432.46044921875
1,55,4505.8212890625
1,56,4439.591796875
1,57,4782.08349609375
1,58,4717.94482421875
1,59,4757.81201171875
1,60,4891.6943359375
1,61,4576.72021484375
1,62,4270.8212890625
1,63,4140.04248046875
1,64,3809.9169921875
1,65,3655.7607421875
1,66,3532.5595703125
1,67,3437.080322265625
1,68,3615.632568359375
1,69,3763.39208984375
1,70,3559.59375
1,71,3456.9462890625
1,72,3222.60546875
1,73,3504.591064453125
1,74,3441.5908203125
1,75,3352.1884765625
1,76,3124.384033203125
1,77,3102.18115234375
1,78,2974.742919921875
1,79,2966.55078125
1,80,2856.137939453125
1,81,2744.289306640625
1,82,2688.32421875
1,83,2646.599609375
1,84,2617.603515625
1,85,2812.138427734375
1,86,2768.164306640625
1,87,2845.5439453125
1,88,3049.882080078125
1,89,3200.097900390625
1,90,3086.615478515625
1,91,2951.305908203125
1,92,2770.66015625
1,93,3009.35107421875
1,94,3188.993896484375
1,95,3349.615478515625
1,96,3239.701416015625
1,97,3103.558349609375
1,98,2917.64599609375
1,99,3172.744384765625
1,100,2960.1416015625
1,101,3132.000244140625
1,102,3059.822998046875
1,103,2978.003173828125
1,104,2885.07666015625
1,105,3124.28125
1,106,3258.138427734375
1,107,3227.825927734375
1,108,3331.587646484375
1,109,3390.908203125
1,110,3513.597412109375
1,111,3591.182373046875
1,112,3734.046142578125
1,113,4052.53076171875
1,114,4027.477783203125
1,115,4085.478759765625
1,116,4423.32080078125
1,117,4382.6708984375
1,118,4154.4287109375
1,119,4437.9375
1,120,4183.78076171875
1,121,4119.49560546875
1,122,3845.18896484375
1,123,4149.33447265625
1,124,4298.59375
1,125,4035.688232421875
1,126,4295.47314453125
1,127,4045.685546875
1,128,3806.024658203125
1,129,3633.3955078125
1,130,3531.818603515625
1,131,3762.765869140625
1,132,3676.953125
1,133,3864.75341796875
1,134,3638.89794921875
1,135,3420.763916015625
1,136,3171.70849609375
1,137,3051.009033203125
1,138,2880.43017578125
1,139,2834.767333984375
1,140,2704.47607421875
1,141,2579.735107421875
1,142,2456.216552734375
1,143,2238.46923828125
1,144,2186.510009765625
1,145,2168.174072265625
1,146,2081.396240234375
1,147,2227.2255859375
1,148,2359.346435546875
1,149,2474.172119140625
1,150,2384.4638671875
1,151,2450.12158203125
1,152,2332.901123046875
1,153,2200.885009765625
1,154,2147.08642578125
1,155,2291.713134765625
1,156,2240.123291015625
1,157,2179.922119140625
1,158,2111.925537109375
1,159,2309.059814453125
1,160,2282.193115234375
1,161,2300.042236328125
1,162,2321.91650390625
1,163,2521.550048828125
2,1,10000.0
2,2,10922.703125
2,3,10853.974609375
2,4,10682.248046875
2,5,10745.0126953125
2,6,11793.5849609375
2,7,12765.6533203125
2,8,13628.6435546875
2,9,13541.130859375
2,10,13552.24609375
2,11,14307.4111328125
2,12,14054.5771484375
2,13,14093.5810546875
2,14,15191.9990234375
2,15,14999.87109375
2,16,15869.587890625
2,17,16556.171875
2,18,16944.205078125
2,19,17663.478515625
2,20,17466.013671875
2,21,16401.41015625
2,22,16465.380859375
2,23,15900.41796875
2,24,14732.1708984375
2,25,15915.3662109375
2,26,16460.685546875
2,27,16715.05078125
2,28,16463.724609375
2,29,17936.82421875
2,30,16845.71875
2,31,17811.09375
2,32,17429.138671875
2,33,17002.64453125
2,34,17206.51953125
2,35,16047.8662109375
2,36,15361.4814453125
2,37,14135.837890625
2,38,12853.2060546875
2,39,11544.40625
2,40,10244.7734375
2,41,9540.96875
2,42,8522.798828125
2,43,9775.2998046875
2,44,9784.888671875
2,45,10355.376953125
2,46,10508.0859375
2,47,10394.6171875
2,48,10215.7646484375
2,49,11272.134765625
2,50,11915.4287109375
2,51,12769.8173828125
2,52,12229.17578125
2,53,12207.017578125
2,54,11481.71875
2,55,11256.716796875
2,56,10812.548828125
2,57,9959.1416015625
2,58,10888.7001953125
2,59,10102.970703125
2,60,9722.765625
2,61,9499.57421875
2,62,9333.580078125
2,63,8621.3984375
2,64,8508.5869140625
2,65,8342.02734375
2,66,8010.0
2,67,7675.63671875
2,68,7334.59033203125
2,69,7982.2529296875
2,70,8321.0
2,71,8736.0390625
2,72,8677.2958984375
2,73,8543.76171875
2,74,9404.1904296875
2,75,8819.875
2,76,9354.724609375
2,77,9714.4267578125
2,78,9185.623046875
2,79,9812.4541015625
2,80,10285.822265625
2,81,10698.6640625
2,82,10626.8740234375
2,83,10929.5888671875
2,84,10526.564453125
2,85,10684.3671875
2,86,10041.7119140625
2,87,10660.818359375
2,88,10992.6015625
2,89,11412.5673828125
2,90,11895.73828125
2,91,11191.6630859375
2,92,10845.5458984375
2,93,10469.0126953125
2,94,10281.3369140625
2,95,9471.5185546875
2,96,8967.224609375
2,97,8829.04296875
2,98,8413.384765625
2,99,8998.0498046875
2,100,9049.896484375
2,101,9124.1923828125
2,102,9823.0048828125
2,103,9247.9150390625
2,104,8992.8779296875
2,105,8886.62890625
2,106,9606.716796875
2,107,10034.26171875
2,108,9959.0380859375
2,109,10084.0107421875
2,110,11007.0849609375
2,111,11318.58984375
2,112,11913.412109375
2,113,12265.150390625
2,114,11571.3193359375
2,115,10859.0869140625
2,116,10071.107421875
2,117,9691.2275390625
2,118,9385.4521484375
2,119,9894.3896484375
2,120,10272.912109375
2,121,9724.3310546875
2,122,9858.056640625
2,123,10355.240234375
2,124,10664.1962890625
2,125,10071.7119140625
2,126,10725.73046875
2,127,11111.15625
2,128,11801.6044921875
2,129,12258.6826171875
2,130,12534.0927734375
2,131,11852.724609375
2,132,11494.3779296875
2,133,11346.966796875
2,134,11437.826171875
2,135,10595.1767578125
2,136,10312.4580078125
2,137,10096.4306640625
2,138,9304.8388671875
2,139,8972.7587890625
2,140,8710.404296875
2,141,8299.6279296875
2,142,7902.5576171875
2,143,7672.65185546875
2,144,8159.83154296875
2,145,8426.9541015625
2,146,8561.1962890625
2,147,8868.478515625
2,148,8316.201171875
2,149,8038.5166015625
2,150,7909.140625
2,151,7813.8203125
2,152,7750.40966796875
2,153,8355.5244140625
2,154,7800.85546875
2,155,7682.2900390625
2,156,7422.67919921875
2,157,7986.650390625
2,158,7460.810546875
2,159,6992.18212890625
2,160,6947.244140625
2,161,6424.32763671875
2,162,6204.99951171875
2,163,6564.4921875
3,1,10000.0
3,2,10922.703125
3,3,11638.07421875
3,4,11036.9306640625
3,5,10454.177734375
3,6,11250.7666015625
3,7,11671.5322265625
3,8,11879.7099609375
3,9,11728.71875
3,10,11817.609375
3,11,11545.08984375
3,12,12724.44140625
3,13,11888.5087890625
3,14,12631.853515625
3,15,13114.271484375
3,16,13937.9970703125
3,17,13748.59765625
3,18,14212.33984375
3,19,14032.70703125
3,20,14375.8515625
3,21,13450.4248046875
3,22,14293.3193359375
3,23,13978.2744140625
3,24,13614.83984375
3,25,14505.203125
3,26,14671.421875
3,27,15171.9736328125
3,28,14976.1298828125
3,29,14029.57421875
3,30,13027.9560546875
3,31,11959.1083984375
3,32,10836.0517578125
3,33,9691.3701171875
3,34,9354.1318359375
3,35,8917.7490234375
3,36,8104.8203125
3,37,8961.0986328125
3,38,8288.2236328125
3,39,8048.7529296875
3,40,7875.9658203125
3,41,8319.72265625
3,42,8361.9580078125
3,43,7856.013671875
3,44,7328.94384765625
3,45,6965.8955078125
3,46,6881.25
3,47,6749.8505859375
3,48,6213.54931640625
3,49,5673.55078125
3,50,5297.21435546875
3,51,5702.0908203125
3,52,5671.56640625
3,53,5282.970703125
3,54,5070.5859375
3,55,4947.21337890625
3,56,4734.04248046875
