t,ret_semanal_cmc200
1,0.01965036
2,-0.02009798
3,-0.020872576
4,0.07563936
5,0.0009728777
6,0.057446748
7,0.006684193
8,0.06030924
9,-0.007449588
10,-0.050384462
11,-0.016968427
12,0.006620427
13,0.012895326
14,-0.059719153
15,0.0049551195
16,-0.052429482
17,-0.059825107
18,-0.025328333
19,0.005975661
20,-0.043852367
21,-0.02686823
22,-0.05467181
23,-0.05922646
24,-0.00996478
25,0.028156165
26,-0.05030946
27,0.0028949538
28,0.0076452806
29,0.016506879
30,0.007364825
31,-0.0027097638
32,-0.022344474
33,0.004190024
34,0.085657
35,-0.021686886
36,-0.0207944
37,0.024174752
38,0.08583022
39,0.015974866
40,0.08008359
41,0.008929773
42,0.025440654
43,-0.026302319
44,-0.0063196244
45,0.047946204
46,0.017393617
47,0.017413553
48,0.0015284825
49,-0.037818585
50,-0.13258083
51,-0.06855092
52,0.04823344
53,-0.07105677
54,-0.010100418
55,-0.038972646
56,0.0080493195
57,-0.04198892
58,-0.048058465
59,-0.02980061
60,0.028118249
61,-0.009410784
62,-0.055340376
63,0.012513474
64,0.014766107
65,0.02360315
66,0.04536208
67,-0.013810233
68,0.111733444
69,0.024482142
70,-0.0046667177
71,0.031175476
72,-0.005931918
73,-0.04054738
74,0.029080546
75,0.02178001
76,-0.030481689
77,-0.023164691
78,-0.036467414
79,-0.07953153
80,-0.018481938
81,-0.040683527
82,-0.055031702
83,-0.058873646
84,-0.041048758
85,-0.02630495
86,-0.023302114
87,-0.034308743
88,-0.076528035
89,0.0038671056
90,0.006663072
91,-0.01714228
92,0.018380433
93,0.020313388
94,0.075113826
95,0.02044021
96,0.040540285
97,0.051262926
98,0.07471593
99,0.08382833
100,0.075678736
101,0.03292917
102,0.06271418
103,0.105238646
104,-0.07212393
105,-0.01682328
106,0.023563996
107,-0.118203595
108,-0.011848931
109,-0.027591247
110,-0.09795018
111,-0.068281054
112,-0.048160587
113,-0.019953677
114,-0.0738687
115,-0.07900593
116,-0.047224946
117,0.00031833246
118,-0.01998019
119,0.009381184
120,-0.04850535
121,0.025818141
122,0.017394021
123,0.05675362
124,-0.048644017
125,-0.049731676
126,-0.048105523
127,0.06511174
128,-0.019229447
129,0.06335959
130,0.031418905
131,0.056678142
132,0.04109606
133,0.013083742
134,0.033483893
135,-0.028188348
136,-0.051311143
137,0.072793625
138,-0.0011109537
139,-0.1069729
140,-0.02542795
141,-0.06692667
142,-0.04437027
143,0.0025385113
144,0.021566996
145,-0.05290611
146,-0.005989748
147,0.03247471
148,0.0049578454
149,-0.009696894
150,-0.00019087622
151,0.058763094
152,-0.0050041494
153,0.065391846
154,0.040483836
155,-0.013031485
156,0.06421415
157,0.021085607
158,0.03618404
159,-0.0047276774
160,0.045865905
161,0.03258758
162,0.04219794
163,0.010835665
