t,ret_semanal_spx
1,0.003097569
2,0.0009552986
3,5.7790745e-05
4,0.009333602
5,0.0022771563
6,0.017858196
7,0.012526433
8,0.010506442
9,-0.009652653
10,-0.018858086
11,-0.019194577
12,-0.012133845
13,0.0074186325
14,-0.03467228
15,0.0002724858
16,-0.024031153
17,-0.017745152
18,0.011035627
19,-0.0069192736
20,-0.01641426
21,-0.006853603
22,-0.027321056
23,0.011437132
24,0.0043801754
25,-0.01728231
26,0.0050024474
27,-0.0037601092
28,-0.0058990982
29,-0.0020768768
30,0.022577839
31,0.006126196
32,0.0069763926
33,-0.0018116714
34,0.021912906
35,-0.0101926625
36,0.020214116
37,0.003997671
38,0.029800443
39,0.005602364
40,0.005907323
41,0.0020110742
42,0.012166688
43,0.002108103
44,0.0029062948
45,0.018491916
46,-0.0014412712
47,-0.00816541
48,-0.004958846
49,-0.025794847
50,-0.032983314
51,-0.013077718
52,-0.006484427
53,-0.021421067
54,-0.005429506
55,-0.010306345
56,0.004105496
57,-0.02038299
58,-0.0025380638
59,0.0028184697
60,0.015581001
61,0.004418714
62,0.003288219
63,-0.01009326
64,-0.023497058
65,-0.016531194
66,-0.0021718903
67,0.012909487
68,0.02968245
69,0.009523491
70,0.0072622495
71,0.024910249
72,0.0061099962
73,-0.0043237302
74,0.021935157
75,0.015488824
76,-0.01149517
77,-0.011470832
78,-0.010506855
79,-0.027110068
80,0.017150609
81,-0.024321971
82,0.012163864
83,-0.0120730465
84,-0.034925856
85,-0.008011913
86,-0.01771612
87,-0.012967313
88,-0.01969128
89,0.018953862
90,0.0053752055
91,-0.0035380612
92,0.014518606
93,0.0046061976
94,0.026079074
95,0.015399258
96,-0.010218966
97,0.025441926
98,0.019073477
99,0.022978332
100,0.0028259894
101,-0.010267448
102,0.014286834
103,0.033252493
104,-0.014098537
105,0.013253336
106,-0.0012651978
107,-0.027724328
108,-0.0009883672
109,-0.010118495
110,-0.020567989
111,-0.011010388
112,-0.03359744
113,-0.0098661985
114,-0.02334999
115,-0.0226459
116,-0.0035003296
117,0.0004631418
118,0.02731005
119,0.012239419
120,0.00078955403
121,-0.0038237902
122,0.0038301907
123,0.0025171023
124,0.00810936
125,-0.00072083424
126,-0.03826101
127,0.030948617
128,-0.0066429665
129,0.027469764
130,0.010380243
131,0.009007452
132,0.015166362
133,-0.010575659
134,-0.0071845893
135,-0.018065762
136,-0.0011894912
137,0.022762207
138,-0.011831609
139,-0.00075130723
140,-0.0039042837
141,-0.007262305
142,-0.012985425
143,0.008876194
144,-0.008593891
145,-0.015988974
146,-0.033682775
147,0.009587133
148,0.0069661103
149,0.002153217
150,-0.0020540063
151,0.02575656
152,0.0041904645
153,-0.0026471247
154,0.016031757
155,0.0044675265
156,0.009507642
157,0.0050571603
158,0.0076297037
159,-0.013384598
160,-0.0031556787
161,-0.0031275318
162,0.029744415
163,-0.0039562774
