asset,setup,t,mu_mix
SPX,actual,1,0.0018934974796138704
SPX,actual,2,0.0018934974796138704
SPX,actual,3,0.0018934974796138704
SPX,actual,4,0.0018934974796138704
SPX,actual,5,0.0018934974796138704
SPX,actual,6,0.0018934974796138704
SPX,actual,7,0.0018934974796138704
SPX,actual,8,0.0018934974796138704
SPX,actual,9,0.0018934974796138704
SPX,actual,10,0.0018934974796138704
SPX,actual,11,0.0018934974796138704
SPX,actual,12,0.0018934974796138704
SPX,actual,13,0.0018934974796138704
SPX,actual,14,0.0018934974796138704
SPX,actual,15,0.0018934974796138704
SPX,actual,16,0.0018934974796138704
SPX,actual,17,0.0018934974796138704
SPX,actual,18,0.0018934974796138704
SPX,actual,19,0.0018934974796138704
SPX,actual,20,0.0018934974796138704
SPX,actual,21,0.0018934974796138704
SPX,actual,22,0.0018934974796138704
SPX,actual,23,0.0018934974796138704
SPX,actual,24,0.0018934974796138704
SPX,actual,25,0.0018934974796138704
SPX,actual,26,0.0018934974796138704
SPX,actual,27,0.0018934974796138704
SPX,actual,28,0.0018934974796138704
SPX,actual,29,0.0018934974796138704
SPX,actual,30,0.0018934974796138704
SPX,actual,31,0.0018934974796138704
SPX,actual,32,0.0018934974796138704
SPX,actual,33,0.0018934974796138704
SPX,actual,34,0.0018934974796138704
SPX,actual,35,0.0018934974796138704
SPX,actual,36,0.0018934974796138704
SPX,actual,37,0.0018934974796138704
SPX,actual,38,0.0018934974796138704
SPX,actual,39,0.0018934974796138704
SPX,actual,40,0.0018934974796138704
SPX,actual,41,0.0018934974796138704
SPX,actual,42,0.0018934974796138704
SPX,actual,43,0.0018934974796138704
SPX,actual,44,0.0018934974796138704
SPX,actual,45,0.0018934974796138704
SPX,actual,46,0.0018934974796138704
SPX,actual,47,0.0018934974796138704
SPX,actual,48,0.0018934974796138704
SPX,actual,49,0.0018934974796138704
SPX,actual,50,0.0018934974796138704
SPX,actual,51,0.0018934974796138704
SPX,actual,52,0.0018934974796138704
SPX,actual,53,0.0018934974796138704
SPX,actual,54,0.0018934974796138704
SPX,actual,55,0.0018934974796138704
SPX,actual,56,0.0018934974796138704
SPX,actual,57,0.0018934974796138704
SPX,actual,58,0.0018934974796138704
SPX,actual,59,0.0018934974796138704
SPX,actual,60,0.0018934974796138704
SPX,actual,61,0.0018934974796138704
SPX,actual,62,0.0018934974796138704
SPX,actual,63,0.0018934974796138704
SPX,actual,64,0.0018934974796138704
SPX,actual,65,0.0017862268723547459
SPX,actual,66,0.0018934974796138704
SPX,actual,67,0.0018934974796138704
SPX,actual,68,0.0018934974796138704
SPX,actual,69,0.0018934974796138704
SPX,actual,70,0.0018934974796138704
SPX,actual,71,0.0018934974796138704
SPX,actual,72,0.0017862268723547459
SPX,actual,73,0.0017862268723547459
SPX,actual,74,0.0017862268723547459
SPX,actual,75,0.0017862268723547459
SPX,actual,76,0.0017862268723547459
SPX,actual,77,0.0018934974796138704
SPX,actual,78,0.0017862268723547459
SPX,actual,79,0.0017862268723547459
SPX,actual,80,0.0017862268723547459
SPX,actual,81,0.0017862268723547459
SPX,actual,82,0.0018934974796138704
SPX,actual,83,0.0018934974796138704
SPX,actual,84,0.0017862268723547459
SPX,actual,85,0.0018934974796138704
SPX,actual,86,0.0017862268723547459
SPX,actual,87,0.0018934974796138704
SPX,actual,88,0.0018934974796138704
SPX,actual,89,0.0018934974796138704
SPX,actual,90,0.0018934974796138704
SPX,actual,91,0.0018934974796138704
SPX,actual,92,0.0018934974796138704
SPX,actual,93,0.0018934974796138704
SPX,actual,94,0.0018934974796138704
SPX,actual,95,0.0018934974796138704
SPX,actual,96,0.0017862268723547459
SPX,actual,97,0.0017862268723547459
SPX,actual,98,0.0017862268723547459
SPX,actual,99,0.0017862268723547459
SPX,actual,100,0.0017862268723547459
SPX,actual,101,0.0017862268723547459
SPX,actual,102,0.0017862268723547459
SPX,actual,103,0.0018934974796138704
SPX,actual,104,0.0018934974796138704
SPX,actual,105,0.0018934974796138704
SPX,actual,106,0.0018934974796138704
SPX,actual,107,0.0018934974796138704
SPX,actual,108,0.0018934974796138704
SPX,actual,109,0.0018934974796138704
SPX,actual,110,0.0018934974796138704
SPX,actual,111,0.0018934974796138704
SPX,actual,112,0.0018934974796138704
SPX,actual,113,0.0018934974796138704
SPX,actual,114,0.0018934974796138704
SPX,actual,115,0.0018934974796138704
SPX,actual,116,0.0018934974796138704
SPX,actual,117,0.0018934974796138704
SPX,actual,118,0.0018934974796138704
SPX,actual,119,0.0018934974796138704
SPX,actual,120,0.0018934974796138704
SPX,actual,121,0.0018934974796138704
SPX,actual,122,0.0018934974796138704
SPX,actual,123,0.0018934974796138704
SPX,actual,124,0.0018934974796138704
SPX,actual,125,0.0017862268723547459
SPX,actual,126,0.0017862268723547459
SPX,actual,127,0.0017862268723547459
SPX,actual,128,0.0017862268723547459
SPX,actual,129,0.0017862268723547459
SPX,actual,130,0.0017862268723547459
SPX,actual,131,0.0018934974796138704
SPX,actual,132,0.0018934974796138704
SPX,actual,133,0.0018934974796138704
SPX,actual,134,0.0018934974796138704
SPX,actual,135,0.0017862268723547459
SPX,actual,136,0.0017862268723547459
SPX,actual,137,0.0018934974796138704
SPX,actual,138,0.0018934974796138704
SPX,actual,139,0.0017862268723547459
SPX,actual,140,0.0017862268723547459
SPX,actual,141,0.0017862268723547459
SPX,actual,142,0.0017862268723547459
SPX,actual,143,0.0018934974796138704
SPX,actual,144,0.0018934974796138704
SPX,actual,145,0.0018934974796138704
SPX,actual,146,0.0018934974796138704
SPX,actual,147,0.0018934974796138704
SPX,actual,148,0.0018934974796138704
SPX,actual,149,0.0018934974796138704
SPX,actual,150,0.0018934974796138704
SPX,actual,151,0.0018934974796138704
SPX,actual,152,0.0018934974796138704
SPX,actual,153,0.0018934974796138704
SPX,actual,154,0.0018934974796138704
SPX,actual,155,0.0018934974796138704
SPX,actual,156,0.0018934974796138704
SPX,actual,157,0.0018934974796138704
SPX,actual,158,0.0018934974796138704
SPX,actual,159,0.0018934974796138704
SPX,actual,160,0.0018934974796138704
SPX,actual,161,0.0017862268723547459
SPX,actual,162,0.0017862268723547459
SPX,actual,163,0.0017862268723547459
SPX,rollout_pdl,1,0.0018966103671118617
SPX,rollout_pdl,2,0.0018966103671118617
SPX,rollout_pdl,3,0.0018966103671118617
SPX,rollout_pdl,4,0.0018966103671118617
SPX,rollout_pdl,5,0.0018966103671118617
SPX,rollout_pdl,6,0.0018966103671118617
SPX,rollout_pdl,7,0.0018966103671118617
SPX,rollout_pdl,8,0.0018699784995988011
SPX,rollout_pdl,9,0.0018699784995988011
SPX,rollout_pdl,10,0.0018699784995988011
SPX,rollout_pdl,11,0.0018699784995988011
SPX,rollout_pdl,12,0.0018699784995988011
SPX,rollout_pdl,13,0.0018699784995988011
SPX,rollout_pdl,14,0.0018699784995988011
SPX,rollout_pdl,15,0.0018699784995988011
SPX,rollout_pdl,16,0.0018699784995988011
SPX,rollout_pdl,17,0.0018699784995988011
SPX,rollout_pdl,18,0.0018699784995988011
SPX,rollout_pdl,19,0.0018699784995988011
SPX,rollout_pdl,20,0.0018699784995988011
SPX,rollout_pdl,21,0.0018699784995988011
SPX,rollout_pdl,22,0.0018699784995988011
SPX,rollout_pdl,23,0.0018699784995988011
SPX,rollout_pdl,24,0.0018699784995988011
SPX,rollout_pdl,25,0.0018699784995988011
SPX,rollout_pdl,26,0.0018699784995988011
SPX,rollout_pdl,27,0.0018699784995988011
SPX,rollout_pdl,28,0.0018699784995988011
SPX,rollout_pdl,29,0.0018699784995988011
SPX,rollout_pdl,30,0.0018699784995988011
SPX,rollout_pdl,31,0.0018699784995988011
SPX,rollout_pdl,32,0.0018699784995988011
SPX,rollout_pdl,33,0.0018699784995988011
SPX,rollout_pdl,34,0.0018699784995988011
SPX,rollout_pdl,35,0.0018699784995988011
SPX,rollout_pdl,36,0.0018699784995988011
SPX,rollout_pdl,37,0.0018699784995988011
SPX,rollout_pdl,38,0.0018699784995988011
SPX,rollout_pdl,39,0.0018699784995988011
SPX,rollout_pdl,40,0.0018699784995988011
SPX,rollout_pdl,41,0.0018699784995988011
SPX,rollout_pdl,42,0.0018699784995988011
SPX,rollout_pdl,43,0.0018699784995988011
SPX,rollout_pdl,44,0.0018699784995988011
SPX,rollout_pdl,45,0.0018699784995988011
SPX,rollout_pdl,46,0.0018699784995988011
SPX,rollout_pdl,47,0.0018699784995988011
SPX,rollout_pdl,48,0.0018699784995988011
SPX,rollout_pdl,49,0.0018699784995988011
SPX,rollout_pdl,50,0.0018699784995988011
SPX,rollout_pdl,51,0.0018699784995988011
SPX,rollout_pdl,52,0.0018699784995988011
SPX,rollout_pdl,53,0.0018699784995988011
SPX,rollout_pdl,54,0.0018699784995988011
SPX,rollout_pdl,55,0.0018699784995988011
SPX,rollout_pdl,56,0.0018699784995988011
SPX,rollout_pdl,57,0.0018699784995988011
SPX,rollout_pdl,58,0.0018699784995988011
SPX,rollout_pdl,59,0.0018699784995988011
SPX,rollout_pdl,60,0.0018699784995988011
SPX,rollout_pdl,61,0.0018699784995988011
SPX,rollout_pdl,62,0.0018699784995988011
SPX,rollout_pdl,63,0.0018699784995988011
SPX,rollout_pdl,64,0.0018699784995988011
SPX,rollout_pdl,65,0.0018699784995988011
SPX,rollout_pdl,66,0.0018699784995988011
SPX,rollout_pdl,67,0.0018699784995988011
SPX,rollout_pdl,68,0.0018699784995988011
SPX,rollout_pdl,69,0.0018699784995988011
SPX,rollout_pdl,70,0.0018699784995988011
