setup,lambda,m,V_mean,V_min,V_max,V_std
actual,0.3,0.1,21404.06640625,3995.6962890625,57438.5859375,21741.634765625
actual,0.3,0.5,21282.44140625,4131.37109375,56074.90234375,21213.82421875
actual,0.3,1.0,21292.052734375,4144.89697265625,55298.46484375,20897.87109375
actual,0.9,0.1,16448.37109375,5811.91455078125,33699.640625,11012.0380859375
actual,0.9,0.5,16429.046875,5873.63525390625,33468.640625,10935.5634765625
actual,0.9,1.0,16449.828125,5872.1240234375,33457.0625,10940.501953125
actual,1.2,0.1,15935.390625,6058.06201171875,31328.572265625,9921.3720703125
actual,1.2,0.5,15922.9482421875,6105.56884765625,31166.677734375,9868.6533203125
actual,1.2,1.0,15938.0341796875,6106.02783203125,31156.05078125,9871.5556640625
actual,1.5,0.1,15639.40625,6207.73876953125,29968.087890625,9292.84375
actual,1.5,0.5,15630.373046875,6246.4697265625,29843.375,9252.5830078125
actual,1.5,1.0,15641.9404296875,6246.81884765625,29831.994140625,9254.072265625
actual,1.8,0.1,15447.025390625,6308.5810546875,29086.677734375,8884.4384765625
actual,1.8,0.5,15439.9091796875,6340.9462890625,28984.892578125,8851.853515625
actual,1.8,1.0,15449.435546875,6342.0224609375,28974.314453125,8852.66015625
rollout_pdl,0.3,0.1,21437.44921875,4108.14453125,55612.0625,21050.392578125
rollout_pdl,0.3,0.5,21393.08984375,4120.0947265625,55424.52734375,20966.21875
rollout_pdl,0.3,1.0,21338.63671875,4134.84375,55189.453125,20860.62890625
rollout_pdl,0.9,0.1,16471.09765625,5872.75439453125,33258.24609375,10868.0986328125
rollout_pdl,0.9,0.5,16482.4296875,5867.77392578125,33308.10546875,10891.2392578125
rollout_pdl,0.9,1.0,16496.5625,5861.57421875,33369.765625,10919.8974609375
rollout_pdl,1.2,0.1,15947.5654296875,6109.052734375,30984.50390625,9807.9091796875
rollout_pdl,1.2,0.5,15955.884765625,6105.345703125,31019.046875,9824.115234375
rollout_pdl,1.2,1.0,15966.046875,6100.69775390625,31062.05078125,9844.2841796875
rollout_pdl,1.5,0.1,15644.9580078125,6251.71240234375,29678.302734375,9195.8779296875
rollout_pdl,1.5,0.5,15651.599609375,6249.041015625,29703.751953125,9207.80859375
rollout_pdl,1.5,1.0,15659.53125,6245.380859375,29736.169921875,9223.12109375
rollout_pdl,1.8,0.1,15448.0810546875,6347.1220703125,28830.9375,8797.712890625
rollout_pdl,1.8,0.5,15452.9658203125,6345.2265625,28850.173828125,8806.54296875
rollout_pdl,1.8,1.0,15460.076171875,6342.2490234375,28876.783203125,8819.2041015625
pdf_aligned,0.3,0.1,23073.470703125,3667.404541015625,63298.28515625,24490.236328125
pdf_aligned,0.3,0.5,23073.470703125,3667.404541015625,63298.28515625,24490.236328125
pdf_aligned,0.3,1.0,23073.458984375,3667.409912109375,63298.23828125,24490.21484375
pdf_aligned,0.9,0.1,18811.13671875,4952.255859375,43608.90234375,15625.2158203125
pdf_aligned,0.9,0.5,18797.25390625,4957.27001953125,43550.86328125,15598.5712890625
pdf_aligned,0.9,1.0,18779.71484375,4963.34912109375,43476.4609375,15564.5810546875
pdf_aligned,1.2,0.1,17611.6328125,5400.63232421875,38266.6015625,13181.5673828125
pdf_aligned,1.2,0.5,17621.12109375,5396.79541015625,38309.7890625,13201.38671875
pdf_aligned,1.2,1.0,17633.384765625,5391.9794921875,38364.1953125,13226.376953125
pdf_aligned,1.5,0.1,16928.478515625,5676.7509765625,35258.765625,11795.517578125
pdf_aligned,1.5,0.5,16935.763671875,5673.62841796875,35291.3984375,11810.5888671875
pdf_aligned,1.5,1.0,16945.033203125,5669.7138671875,35332.3203125,11829.509765625
pdf_aligned,1.8,0.1,16492.603515625,5863.3837890625,33351.40625,10911.41796875
pdf_aligned,1.8,0.5,16498.32421875,5860.7900390625,33377.27734375,10923.4033203125
pdf_aligned,1.8,1.0,16505.796875,5857.48583984375,33409.9921875,10938.6123046875
