lambda,m,asset,t,p_bull
0.3,0.01,SPX,1,0.4000000059604645
0.3,0.01,SPX,2,0.4000000059604645
0.3,0.01,SPX,3,0.4000000059604645
0.3,0.01,SPX,4,0.4000000059604645
0.3,0.01,SPX,5,0.4000000059604645
0.3,0.01,SPX,6,0.4000000059604645
0.3,0.01,SPX,7,0.4000000059604645
0.3,0.01,SPX,8,0.4000000059604645
0.3,0.01,SPX,9,0.4000000059604645
0.3,0.01,SPX,10,0.4000000059604645
0.3,0.01,SPX,11,0.4000000059604645
0.3,0.01,SPX,12,0.4000000059604645
0.3,0.01,SPX,13,0.4000000059604645
0.3,0.01,SPX,14,0.4000000059604645
0.3,0.01,SPX,15,0.4000000059604645
0.3,0.01,SPX,16,0.4000000059604645
0.3,0.01,SPX,17,0.4000000059604645
0.3,0.01,SPX,18,0.4000000059604645
0.3,0.01,SPX,19,0.4000000059604645
0.3,0.01,SPX,20,0.4000000059604645
0.3,0.01,SPX,21,0.4000000059604645
0.3,0.01,SPX,22,0.4000000059604645
0.3,0.01,SPX,23,0.4000000059604645
0.3,0.01,SPX,24,0.4000000059604645
0.3,0.01,SPX,25,0.4000000059604645
0.3,0.01,SPX,26,0.4000000059604645
0.3,0.01,SPX,27,0.4000000059604645
0.3,0.01,SPX,28,0.4000000059604645
0.3,0.01,SPX,29,0.4000000059604645
0.3,0.01,SPX,30,0.4000000059604645
0.3,0.01,SPX,31,0.4000000059604645
0.3,0.01,SPX,32,0.4000000059604645
0.3,0.01,SPX,33,0.4000000059604645
0.3,0.01,SPX,34,0.4000000059604645
0.3,0.01,SPX,35,0.4000000059604645
0.3,0.01,SPX,36,0.4000000059604645
0.3,0.01,SPX,37,0.4000000059604645
0.3,0.01,SPX,38,0.4000000059604645
0.3,0.01,SPX,39,0.4000000059604645
0.3,0.01,SPX,40,0.4000000059604645
0.3,0.01,SPX,41,0.4000000059604645
0.3,0.01,SPX,42,0.4000000059604645
0.3,0.01,SPX,43,0.4000000059604645
0.3,0.01,SPX,44,0.4000000059604645
0.3,0.01,SPX,45,0.4000000059604645
0.3,0.01,SPX,46,0.4000000059604645
0.3,0.01,SPX,47,0.4000000059604645
0.3,0.01,SPX,48,0.4000000059604645
0.3,0.01,SPX,49,0.4000000059604645
0.3,0.01,SPX,50,0.4000000059604645
0.3,0.01,SPX,51,0.4000000059604645
0.3,0.01,SPX,52,0.4000000059604645
0.3,0.01,SPX,53,0.4000000059604645
0.3,0.01,SPX,54,0.4000000059604645
0.3,0.01,SPX,55,0.4000000059604645
0.3,0.01,SPX,56,0.4000000059604645
0.3,0.01,SPX,57,0.4000000059604645
0.3,0.01,SPX,58,0.4000000059604645
0.3,0.01,SPX,59,0.4000000059604645
0.3,0.01,SPX,60,0.4000000059604645
0.3,0.01,SPX,61,0.4000000059604645
0.3,0.01,SPX,62,0.4000000059604645
0.3,0.01,SPX,63,0.4000000059604645
0.3,0.01,SPX,64,0.4000000059604645
0.3,0.01,SPX,65,0.4000000059604645
0.3,0.01,SPX,66,0.4000000059604645
0.3,0.01,SPX,67,0.4000000059604645
0.3,0.01,SPX,68,0.4000000059604645
0.3,0.01,SPX,69,0.4000000059604645
0.3,0.01,SPX,70,0.4000000059604645
0.3,0.01,SPX,71,0.4000000059604645
0.3,0.01,SPX,72,0.4000000059604645
0.3,0.01,SPX,73,0.4000000059604645
0.3,0.01,SPX,74,0.20000000298023224
0.3,0.01,SPX,75,0.4000000059604645
0.3,0.01,SPX,76,0.4000000059604645
0.3,0.01,SPX,77,0.4000000059604645
0.3,0.01,SPX,78,0.20000000298023224
0.3,0.01,SPX,79,0.20000000298023224
0.3,0.01,SPX,80,0.20000000298023224
0.3,0.01,SPX,81,0.4000000059604645
0.3,0.01,SPX,82,0.4000000059604645
0.3,0.01,SPX,83,0.4000000059604645
0.3,0.01,SPX,84,0.4000000059604645
0.3,0.01,SPX,85,0.20000000298023224
0.3,0.01,SPX,86,0.20000000298023224
0.3,0.01,SPX,87,0.4000000059604645
0.3,0.01,SPX,88,0.4000000059604645
0.3,0.01,SPX,89,0.4000000059604645
0.3,0.01,SPX,90,0.4000000059604645
0.3,0.01,SPX,91,0.4000000059604645
0.3,0.01,SPX,92,0.4000000059604645
0.3,0.01,SPX,93,0.4000000059604645
0.3,0.01,SPX,94,0.4000000059604645
0.3,0.01,SPX,95,0.4000000059604645
0.3,0.01,SPX,96,0.20000000298023224
0.3,0.01,SPX,97,0.4000000059604645
0.3,0.01,SPX,98,0.20000000298023224
0.3,0.01,SPX,99,0.20000000298023224
0.3,0.01,SPX,100,0.20000000298023224
0.3,0.01,SPX,101,0.20000000298023224
0.3,0.01,SPX,102,0.4000000059604645
0.3,0.01,SPX,103,0.4000000059604645
0.3,0.01,SPX,104,0.4000000059604645
0.3,0.01,SPX,105,0.4000000059604645
0.3,0.01,SPX,106,0.4000000059604645
0.3,0.01,SPX,107,0.4000000059604645
0.3,0.01,SPX,108,0.4000000059604645
0.3,0.01,SPX,109,0.4000000059604645
0.3,0.01,SPX,110,0.4000000059604645
0.3,0.01,SPX,111,0.4000000059604645
0.3,0.01,SPX,112,0.4000000059604645
0.3,0.01,SPX,113,0.4000000059604645
0.3,0.01,SPX,114,0.4000000059604645
0.3,0.01,SPX,115,0.4000000059604645
0.3,0.01,SPX,116,0.4000000059604645
0.3,0.01,SPX,117,0.4000000059604645
0.3,0.01,SPX,118,0.4000000059604645
