asset,lambda,m,accuracy_dir,base_rate_bull,p_bull_mean,p_bull_std,t_start,t_end
SPX,0.3,0.01,0.0625,0.9375,0.38749998807907104,0.04841229319572449,148,163
SPX,0.3,0.2,0.3125,0.9375,0.44999998807907104,0.08660254627466202,148,163
SPX,0.3,0.5,0.0625,0.9375,0.4000000059604645,0.0,148,163
SPX,0.7,0.01,0.8125,0.9375,0.550000011920929,0.08660254627466202,148,163
SPX,0.7,0.2,0.6875,0.9375,0.675000011920929,0.17139136791229248,148,163
SPX,0.7,0.5,0.5625,0.9375,0.5249999761581421,0.09682459384202957,148,163
SPX,1.1,0.01,0.9375,0.9375,0.6000000238418579,0.0,148,163
SPX,1.1,0.2,0.9375,0.9375,0.6000000238418579,0.0,148,163
SPX,1.1,0.5,0.875,0.9375,0.5875000357627869,0.048412296921014786,148,163
SPX,1.5,0.01,0.9375,0.9375,0.6000000238418579,0.0,148,163
SPX,1.5,0.2,0.0625,0.9375,0.4000000059604645,0.0,148,163
SPX,1.5,0.5,0.125,0.9375,0.4125000238418579,0.048412296921014786,148,163
SPX,1.8,0.01,0.8125,0.9375,0.612500011920929,0.11110242456197739,148,163
SPX,1.8,0.2,0.5625,0.9375,0.5249999761581421,0.09682459384202957,148,163
SPX,1.8,0.5,0.75,0.9375,0.6500000357627869,0.15000000596046448,148,163
CMC200,0.3,0.01,0.3125,0.6875,0.4000000059604645,0.0,148,163
CMC200,0.3,0.2,0.5625,0.6875,0.5750000476837158,0.06614378839731216,148,163
CMC200,0.3,0.5,0.5625,0.6875,0.5249999761581421,0.09682459384202957,148,163
CMC200,0.7,0.01,0.3125,0.6875,0.42500001192092896,0.06614378839731216,148,163
CMC200,0.7,0.2,0.5,0.6875,0.4625000059604645,0.0927024856209755,148,163
CMC200,0.7,0.5,0.625,0.6875,0.4624999761581421,0.09270249307155609,148,163
CMC200,1.1,0.01,0.625,0.6875,0.5625,0.07806248217821121,148,163
CMC200,1.1,0.2,0.3125,0.6875,0.4000000059604645,0.0,148,163
CMC200,1.1,0.5,0.4375,0.6875,0.4749999940395355,0.09682459384202957,148,163
CMC200,1.5,0.01,0.5625,0.6875,0.4624999761581421,0.11659224331378937,148,163
CMC200,1.5,0.2,0.3125,0.6875,0.38749998807907104,0.04841229319572449,148,163
CMC200,1.5,0.5,0.625,0.6875,0.5875000357627869,0.048412296921014786,148,163
CMC200,1.8,0.01,0.6875,0.6875,0.625,0.06614378094673157,148,163
CMC200,1.8,0.2,0.625,0.6875,0.5875000357627869,0.048412296921014786,148,163
CMC200,1.8,0.5,0.4375,0.6875,0.5249999761581421,0.09682459384202957,148,163
SPX,ensemble,—,0.6875,0.9375,0.5249999761581421,0.09682459384202957,148,163
CMC200,ensemble,—,0.625,0.6875,0.5625,0.07806248217821121,148,163
