lambda,m,z_reported,z_check,retorno,riesgo,costo,var_total,T,V_max
0.3,0.01,0.8306060280487553,0.8306060280487534,1.0310558989016512,0.20042486436003348,2.500649286425713e-05,0.773374288077995,163,0.0006459595513980577
0.3,0.2,0.7695100503206442,0.7695100503206443,0.9716732761424631,0.201663189625117,0.0005000361967018366,0.7775020389616067,163,0.0006459595513980577
0.3,0.5,0.7872095881674739,0.7872095881674737,0.9891387605159674,0.20067916409034078,0.0012500082581529545,0.774221953845686,163,0.0006459595513980577
0.7,0.01,0.593438865320186,0.5934388653201857,0.8133781710726122,0.21975826767927015,0.0001810380731562835,0.4192317892768408,163,0.0006459595513980577
0.7,0.2,0.5864260730730826,0.5864260730730827,0.7971756225620442,0.210176431146129,0.0005731183428324393,0.4055434513723534,163,0.0006459595513980577
0.7,0.5,0.5813834485707988,0.5813834485707989,0.7827623203877183,0.20043611628246624,0.0009427555344530927,0.3916287158528352,163,0.0006459595513980577
1.1,0.01,0.4655555649166719,0.4655555649166716,0.4950653950462486,0.029250384209948282,0.0002594459196286719,0.13188266525056366,163,0.0006459595513980577
1.1,0.2,0.523204217218172,0.5232042172181719,0.6167797342938119,0.09323854644532364,0.0003369706303165042,0.19005372182817762,163,0.0006459595513980577
1.1,0.5,0.5120163600829082,0.512016360082908,0.5943520014178355,0.08190669102178601,0.00042895031314154003,0.17975203507950704,163,0.0006459595513980577
1.5,0.01,0.5006780423559483,0.5006780423559483,0.5176334056607205,0.016834634132659787,0.00012072917211232851,0.1165144962996566,163,0.0006459595513980577
1.5,0.2,0.4972260952357248,0.49722609523572525,0.5466494383625201,0.049217078605824555,0.00020626452097028335,0.13810279261509978,163,0.0006459595513980577
1.5,0.5,0.4549113656018208,0.45491136560182116,0.4538331225519808,-0.0017653093347490129,0.0006870662849086502,0.10411453398805073,163,0.0006459595513980577
1.8,0.01,0.4618030072964373,0.4618030072964372,0.41029055360663946,-0.051682905106647206,0.00017045141684943348,0.07657868181863496,163,0.0006459595513980577
1.8,0.2,0.4685153398000394,0.46851533980003945,0.4170683901301497,-0.05181544949160461,0.00036849982171481305,0.07650504604921418,163,0.0006459595513980577
1.8,0.5,0.4699540358512949,0.46995403585129486,0.4211636289239182,-0.04959140933718569,0.0008010024098090068,0.07774062391278025,163,0.0006459595513980577
