lambda,m,z,turnover_SPX,w_mean_SPX,w_init_SPX,w_final_SPX,turnover_CMC200,w_mean_CMC200,w_init_CMC200,w_final_CMC200,turnover_total
0.3,0.01,0.8306060280487553,0.5003244593309064,1.102349421939729e-08,1.1329738600514863e-08,1.1012518853414966e-08,0.5000812067737012,0.9999999889765058,0.9999999886702614,0.9999999889874811,1.0004056661046075
0.3,0.2,0.7695100503206442,0.5000457616641263,1.0774128404504935e-07,1.943680252635587e-08,3.582943488941507e-08,0.5000338054612644,0.9999998922587161,0.9999999805631976,0.9999999641705651,1.0000795671253908
0.3,0.5,0.7872095881674739,0.5000071487532117,4.030582336486473e-08,5.612909307245494e-08,2.5602141338947277e-08,0.500002341888174,0.9999999596941764,0.999999943870907,0.9999999743978587,1.000009490641386
0.7,0.01,0.593438865320186,3.646346467746573,0.2929270502248608,0.27977423723863265,0.47053849490497707,3.6143652119704437,0.7070729497751392,0.7202257627613673,0.5294615050950229,7.2607116797170175
0.7,0.2,0.5864260730730826,0.5731445397687995,0.3039796880373104,0.28398450034837186,0.38918320251700544,0.5731117935983494,0.6960203119626895,0.716015499651628,0.6108167974829946,1.1462563333671487
0.7,0.5,0.5813834485707988,0.3771163129968993,0.32106536594338186,0.2959588047628485,0.3430089960137251,0.37709868897732146,0.6789346340566181,0.7040411952371515,0.6569910039862749,0.7542150019742206
1.1,0.01,0.4655555649166719,5.189065563130746,0.6643436371699438,0.6737376827821647,0.6730347292366825,5.18888159993411,0.33565636283005623,0.3262623172178352,0.32696527076331755,10.377947163064857
1.1,0.2,0.523204217218172,0.33699979833855076,0.5615689538588318,0.5498359873648678,0.5552037182694766,0.33696333831099257,0.4384310461411683,0.45016401263513217,0.4447962817305235,0.6739631366495433
1.1,0.5,0.5120163600829082,0.17158296703868126,0.5781849185399159,0.5503971250262121,0.5886424675261644,0.1715794148110997,0.4218150814600841,0.449602874973788,0.41135753247383566,0.3431623818497809
1.5,0.01,0.5006780423559483,2.4146977027588234,0.6950214055875772,0.6762120883582032,0.7642953480031768,2.414554877118507,0.30497859441242264,0.3237879116417967,0.23570465199682336,4.8292525798773305
1.5,0.2,0.4972260952357248,0.21055247636783542,0.6747913673118984,0.6691175471700072,0.6754202707665911,0.20519253212089533,0.32520863268810163,0.33088245282999296,0.32457972923340905,0.41574500848873075
1.5,0.5,0.4549113656018208,0.27542584446351076,0.7463644475228569,0.7483965063938742,0.7448947327918573,0.27467668133844736,0.25363555247714303,0.25160349360612566,0.2551052672081428,0.5501025258019582
1.8,0.01,0.4618030072964373,3.409162382582994,0.8083706593827552,0.806818278267963,0.8066424182028286,3.408994825590088,0.19162934061724488,0.19318172173203696,0.1933575817971715,6.818157208173082
1.8,0.2,0.4685153398000394,0.3685674758111087,0.7989501925121578,0.8049249987465158,0.7980323624042399,0.368482908190739,0.20104980748784226,0.19507500125348423,0.20196763759576017,0.7370503840018477
1.8,0.5,0.4699540358512949,0.3204043585153666,0.789370033572415,0.7981581332847852,0.7763949735127025,0.3204001152756618,0.21062996642758497,0.20184186671521478,0.2236050264872975,0.6408044737910282
