lambda,m,z,turnover_SPX,w_mean_SPX,w_init_SPX,w_final_SPX,turnover_CMC200,w_mean_CMC200,w_init_CMC200,w_final_CMC200,turnover_total
0.3,0.01,0.05132881156353737,0.5000848832905608,5.3055177404147266e-08,8.052832510890774e-08,5.030942452265369e-08,0.5000429362855893,0.9999999469448226,0.999999919471675,0.9999999496905755,1.00012781957615
0.3,0.2,0.029186760851964245,0.33067563717749915,0.1693326871877558,0.16933101196831435,0.1693363130884211,0.33067462744561804,0.8306673128122442,0.8306689880316858,0.8306636869115789,0.6613502646231172
0.3,0.5,0.034844122409188834,0.5000003647232778,0.12956167897956283,0.23400213082538684,4.858300273117812e-08,0.5000000597629183,0.8704383210204372,0.7659978691746131,0.9999999514169973,1.0000004244861962
0.7,0.01,0.030809209756234416,0.8139811382480395,0.4385663839643743,0.4060008356741793,0.6538314030296182,0.8139639577372887,0.5614336160356257,0.5939991643258208,0.3461685969703817,1.627945095985328
0.7,0.2,0.02764099564750433,0.15611330393861542,0.4855959197540438,0.4584646119998536,0.5633594414923117,0.15611231405028864,0.5144040802459562,0.5415353880001464,0.43664055850768824,0.3122256179889041
0.7,0.5,0.028058350890627404,0.08207870969383234,0.49299740140977827,0.4999999254991691,0.5399137521506826,0.08206752792059466,0.5070025985902217,0.500000074500831,0.4600862478493174,0.16414623761442698
1.1,0.01,0.021993921652430252,0.8888594962796825,0.7604605560509861,0.6287376164703804,0.7902435149699052,0.8888174035892852,0.23953944394901394,0.3712623835296196,0.20975648503009484,1.7776768998689678
1.1,0.2,0.027802577012719064,0.12237085368147858,0.6223683474249202,0.6223558610582897,0.6223696401771982,0.12236989958428096,0.3776316525750799,0.3776441389417104,0.37763035982280185,0.24474075326575953
1.1,0.5,0.02426581272108179,0.17869060466178005,0.6757769136275901,0.6320809712789729,0.6786900913790497,0.1786902038485961,0.32422308637240993,0.3679190287210271,0.32130990862095044,0.3573808085103762
1.5,0.01,0.025636704229193175,0.5772781387044852,0.7763885260295624,0.7100654078511046,0.8508480872349644,0.5771910634663757,0.2236114739704376,0.2899345921488955,0.14915191276503564,1.154469202170861
1.5,0.2,0.026802825869918757,0.22940007327762674,0.7283903614006021,0.7146834181002231,0.7293589586573009,0.22936788760893376,0.27160963859939796,0.2853165818997769,0.270641041342699,0.4587679608865606
1.5,0.5,0.021544782456340165,0.3329690461936113,0.8267854035272362,0.7343366318509449,0.8329640196020616,0.33296526254860015,0.17321459647276377,0.26566336814905517,0.1670359803979385,0.6659343087422113
1.8,0.01,0.023026535172200102,0.7756522367682257,0.8894223263461679,0.9720239683205297,0.8790616138933124,0.7756399200619596,0.11057767365383209,0.027976031679470215,0.12093838610668771,1.551292156830185
1.8,0.2,0.02333630024567937,0.371656670837596,0.8659852865989522,0.7821396822545009,0.8716520810907259,0.37165314265098204,0.13401471340104784,0.21786031774549902,0.12834791890927413,0.743309813488578
1.8,0.5,0.023531239722976546,0.3263606601853033,0.8263590224769333,0.8263592251534434,0.8263583806465933,0.3263602440198837,0.17364097752306673,0.17364077484655666,0.17364161935340672,0.6527209042051869
