lambda,m,0,1,2,3,4
0.3,0.01,2013.7865,4000.6223,6485.786,9213.759,17481.229
0.3,0.2,2013.7849,4000.6223,6485.783,9213.759,17481.223
0.3,0.5,2013.7865,4000.6218,6485.786,9213.759,17481.227
0.7,0.01,2404.461,4496.3433,6952.9004,8944.438,15782.274
0.7,0.2,2502.0203,4571.6533,7093.9756,9325.786,15925.936
0.7,0.5,2514.1343,4565.8633,7079.337,9373.074,15915.698
1.1,0.01,3015.4238,5019.485,7471.37,8876.765,13916.883
1.1,0.2,2930.7896,4995.0713,7603.2705,9317.054,14629.74
1.1,0.5,2969.4778,5008.016,7645.189,9344.188,14606.476
1.5,0.01,3230.5908,5090.9863,7878.908,9053.758,14039.041
1.5,0.2,3147.1572,5177.7275,7856.3403,9173.411,14131.099
1.5,0.5,3290.7578,5276.191,8003.4663,9116.673,13786.666
1.8,0.01,3382.6143,5391.926,7906.056,8787.92,13405.091
1.8,0.2,3389.8467,5379.2095,8115.591,9039.103,13504.083
1.8,0.5,3374.3008,5345.7505,8087.9893,9043.953,13609.266
