lambda,m,0,1,2,3,4
0.3,0.01,6634.0503,7733.0356,10464.49,10808.329,12860.106
0.3,0.2,6858.9844,7932.1567,10488.186,10829.378,12614.23
0.3,0.5,6803.9526,7835.766,10406.833,10898.799,12829.089
0.7,0.01,7095.8335,8138.0415,10532.894,10725.193,12278.56
0.7,0.2,7286.931,8341.394,10540.743,10934.231,12141.861
0.7,0.5,7326.6875,8318.1455,10519.011,10872.3125,12124.637
1.1,0.01,7675.284,8667.513,10391.595,10881.377,11738.476
1.1,0.2,7474.6216,8472.755,10526.419,10848.645,11948.515
1.1,0.5,7540.37,8535.819,10522.726,10829.886,11883.039
1.5,0.01,7621.749,8703.804,10495.461,10950.724,11732.685
1.5,0.2,7615.347,8596.725,10523.968,10835.3125,11791.019
1.5,0.5,7738.195,8714.218,10515.8955,10799.264,11669.986
1.8,0.01,7790.889,8734.152,10527.349,10790.522,11511.86
1.8,0.2,7792.9873,8760.459,10515.374,10797.764,11606.987
1.8,0.5,7750.541,8711.781,10522.275,10830.13,11635.892
