lambda,m,0,1,2,3,4
0.3,0.01,1376.0602,1391.3035,1629.8047,159.31543,0.0
0.3,0.2,1376.0618,1391.3035,1629.8076,159.31543,0.005859375
0.3,0.5,1376.0602,1391.304,1629.8047,159.31543,0.001953125
0.7,0.01,985.38574,895.5825,1162.6904,428.63574,1698.9541
0.7,0.2,887.8264,820.27246,1021.61523,47.288086,1555.293
0.7,0.5,875.7124,826.0625,1036.2539,0.0,1565.5303
1.1,0.01,374.42285,372.44092,644.2207,496.30957,3564.3457
1.1,0.2,459.05713,396.8545,512.3203,56.020508,2851.4883
1.1,0.5,420.3689,383.90967,470.40186,28.885742,2874.753
1.5,0.01,159.25586,300.93945,236.68262,319.3164,3442.1875
1.5,0.2,242.68945,214.19824,259.2505,199.66309,3350.13
1.5,0.5,99.08887,115.73486,112.12451,256.40137,3694.5625
1.8,0.01,7.232422,0.0,209.53467,585.1543,4076.1377
1.8,0.2,0.0,12.716309,0.0,333.97168,3977.1455
1.8,0.5,15.545898,46.175293,27.601562,329.1211,3871.963
