lambda,m,s,V,z
0.3,0.1,0,21317.389,0.3547209789581881
0.3,0.1,1,5459.477,0.3547209789581881
0.3,0.1,2,11579.644,0.3547209789581881
0.3,0.1,3,11096.3125,0.3547209789581881
0.3,0.1,4,34170.812,0.3547209789581881
0.3,0.5,0,23897.324,0.31572116770307457
0.3,0.5,1,8212.767,0.31572116770307457
0.3,0.5,2,16862.334,0.31572116770307457
0.3,0.5,3,11234.626,0.31572116770307457
0.3,0.5,4,24845.0,0.31572116770307457
0.3,1.0,0,21713.41,0.30524247940900084
0.3,1.0,1,8570.715,0.30524247940900084
0.3,1.0,2,16853.697,0.30524247940900084
0.3,1.0,3,10914.64,0.30524247940900084
0.3,1.0,4,25429.81,0.30524247940900084
0.9,0.1,0,13344.93,0.29379081377617233
0.9,0.1,1,7104.5054,0.29379081377617233
0.9,0.1,2,13038.452,0.29379081377617233
0.9,0.1,3,11633.104,0.29379081377617233
0.9,0.1,4,28880.328,0.29379081377617233
0.9,0.5,0,13715.111,0.27716130675138195
0.9,0.5,1,7947.4214,0.27716130675138195
0.9,0.5,2,14783.639,0.27716130675138195
0.9,0.5,3,11277.356,0.27716130675138195
0.9,0.5,4,24341.75,0.27716130675138195
0.9,1.0,0,13731.387,0.27308532938465635
0.9,1.0,1,8077.0054,0.27308532938465635
0.9,1.0,2,14764.309,0.27308532938465635
0.9,1.0,3,11018.277,0.27308532938465635
0.9,1.0,4,24864.62,0.27308532938465635
1.2,0.1,0,12447.029,0.27807040781624504
1.2,0.1,1,7228.2134,0.27807040781624504
1.2,0.1,2,13290.353,0.27807040781624504
1.2,0.1,3,11754.376,0.27807040781624504
1.2,0.1,4,27576.357,0.27807040781624504
1.2,0.5,0,12762.219,0.26490598358991085
1.2,0.5,1,7914.108,0.26490598358991085
1.2,0.5,2,14475.854,0.26490598358991085
1.2,0.5,3,11175.732,0.26490598358991085
1.2,0.5,4,24350.135,0.26490598358991085
1.2,1.0,0,12878.216,0.2615899624775294
1.2,1.0,1,7991.4272,0.2615899624775294
1.2,1.0,2,14405.723,0.2615899624775294
1.2,1.0,3,10883.544,0.2615899624775294
1.2,1.0,4,24842.059,0.2615899624775294
1.5,0.1,0,11989.783,0.2646643066632075
1.5,0.1,1,7214.3613,0.2646643066632075
1.5,0.1,2,13398.159,0.2646643066632075
1.5,0.1,3,11664.422,0.2646643066632075
1.5,0.1,4,26955.627,0.2646643066632075
1.5,0.5,0,12299.857,0.2537600316260946
1.5,0.5,1,7879.1206,0.2537600316260946
1.5,0.5,2,14260.231,0.2537600316260946
1.5,0.5,3,11037.996,0.2537600316260946
1.5,0.5,4,24442.422,0.2537600316260946
1.5,1.0,0,12388.46,0.25092529815268494
1.5,1.0,1,7937.7944,0.25092529815268494
1.5,1.0,2,14191.31,0.25092529815268494
1.5,1.0,3,10800.96,0.25092529815268494
1.5,1.0,4,24822.676,0.25092529815268494
1.8,0.1,0,11737.416,0.25251150665909294
1.8,0.1,1,7247.3125,0.25251150665909294
1.8,0.1,2,13410.615,0.25251150665909294
1.8,0.1,3,11521.501,0.25251150665909294
1.8,0.1,4,26577.537,0.25251150665909294
1.8,0.5,0,12000.601,0.24319251936076797
1.8,0.5,1,7853.775,0.24319251936076797
1.8,0.5,2,14115.238,0.24319251936076797
1.8,0.5,3,10952.783,0.24319251936076797
1.8,0.5,4,24506.76,0.24319251936076797
1.8,1.0,0,12072.262,0.24067610390060123
1.8,1.0,1,7903.1587,0.24067610390060123
1.8,1.0,2,14051.511,0.24067610390060123
1.8,1.0,3,10747.818,0.24067610390060123
1.8,1.0,4,24812.59,0.24067610390060123
