lambda,m,s,V,z
0.3,0.01,0,6634.0503,0.05132881156353737
0.3,0.01,1,7733.0356,0.05132881156353737
0.3,0.01,2,10464.49,0.05132881156353737
0.3,0.01,3,12554.504,0.05132881156353737
0.3,0.01,4,12860.106,0.05132881156353737
0.3,0.2,0,6858.9844,0.029186760851964245
0.3,0.2,1,7932.1567,0.029186760851964245
0.3,0.2,2,10488.186,0.029186760851964245
0.3,0.2,3,12276.454,0.029186760851964245
0.3,0.2,4,12614.23,0.029186760851964245
0.3,0.5,0,6803.9526,0.034844122409188834
0.3,0.5,1,7835.766,0.034844122409188834
0.3,0.5,2,10406.833,0.034844122409188834
0.3,0.5,3,11998.336,0.034844122409188834
0.3,0.5,4,12829.089,0.034844122409188834
0.7,0.01,0,7095.8335,0.030809209756234416
0.7,0.01,1,8138.0415,0.030809209756234416
0.7,0.01,2,10532.894,0.030809209756234416
0.7,0.01,3,11774.742,0.030809209756234416
0.7,0.01,4,12278.56,0.030809209756234416
0.7,0.2,0,7286.931,0.02764099564750433
0.7,0.2,1,8341.394,0.02764099564750433
0.7,0.2,2,10540.743,0.02764099564750433
0.7,0.2,3,11863.421,0.02764099564750433
0.7,0.2,4,12141.861,0.02764099564750433
0.7,0.5,0,7326.6875,0.028058350890627404
0.7,0.5,1,8318.1455,0.028058350890627404
0.7,0.5,2,10519.011,0.028058350890627404
0.7,0.5,3,11790.304,0.028058350890627404
0.7,0.5,4,12124.637,0.028058350890627404
1.1,0.01,0,7675.284,0.021993921652430252
1.1,0.01,1,8667.513,0.021993921652430252
1.1,0.01,2,10391.595,0.021993921652430252
1.1,0.01,3,11223.68,0.021993921652430252
1.1,0.01,4,11738.476,0.021993921652430252
1.1,0.2,0,7474.6216,0.027802577012719064
1.1,0.2,1,8472.755,0.027802577012719064
1.1,0.2,2,10526.419,0.027802577012719064
1.1,0.2,3,11527.111,0.027802577012719064
1.1,0.2,4,11948.515,0.027802577012719064
1.1,0.5,0,7540.37,0.02426581272108179
1.1,0.5,1,8535.819,0.02426581272108179
1.1,0.5,2,10522.726,0.02426581272108179
1.1,0.5,3,11415.309,0.02426581272108179
1.1,0.5,4,11883.039,0.02426581272108179
1.5,0.01,0,7621.749,0.025636704229193175
1.5,0.01,1,8703.804,0.025636704229193175
1.5,0.01,2,10495.461,0.025636704229193175
1.5,0.01,3,11288.804,0.025636704229193175
1.5,0.01,4,11732.685,0.025636704229193175
1.5,0.2,0,7615.347,0.026802825869918757
1.5,0.2,1,8596.725,0.026802825869918757
1.5,0.2,2,10523.968,0.026802825869918757
1.5,0.2,3,11339.136,0.026802825869918757
1.5,0.2,4,11791.019,0.026802825869918757
1.5,0.5,0,7738.195,0.021544782456340165
1.5,0.5,1,8714.218,0.021544782456340165
1.5,0.5,2,10515.8955,0.021544782456340165
1.5,0.5,3,11136.265,0.021544782456340165
1.5,0.5,4,11669.986,0.021544782456340165
1.8,0.01,0,7790.889,0.023026535172200102
1.8,0.01,1,8734.152,0.023026535172200102
1.8,0.01,2,10527.349,0.023026535172200102
1.8,0.01,3,11067.955,0.023026535172200102
1.8,0.01,4,11511.86,0.023026535172200102
1.8,0.2,0,7792.9873,0.02333630024567937
1.8,0.2,1,8760.459,0.02333630024567937
1.8,0.2,2,10515.374,0.02333630024567937
1.8,0.2,3,11073.987,0.02333630024567937
1.8,0.2,4,11606.987,0.02333630024567937
1.8,0.5,0,7750.541,0.023531239722976546
1.8,0.5,1,8711.781,0.023531239722976546
1.8,0.5,2,10522.275,0.023531239722976546
1.8,0.5,3,11178.544,0.023531239722976546
1.8,0.5,4,11635.892,0.023531239722976546
