lambda,m,0,1,2,3,4
0.3,0.1,2579.9355,3111.2378,5282.6904,658.0635,0.0
0.3,0.5,0.0,357.94824,0.0,519.75,9325.8125
0.3,1.0,2183.914,0.0,8.636719,839.7363,8741.002
0.9,0.1,10552.395,1466.2095,3823.8818,121.27246,5290.4844
0.9,0.5,10182.213,623.29346,2078.6953,477.01953,9829.0625
0.9,1.0,10165.9375,493.70947,2098.0254,736.09863,9306.193
1.2,0.1,11450.295,1342.5015,3571.9814,0.0,6594.455
1.2,0.5,11135.105,656.60693,2386.4805,578.64355,9820.678
1.2,1.0,11019.108,579.2876,2456.6113,870.83203,9328.754
1.5,0.1,11907.541,1356.3535,3464.1748,89.9541,7215.1855
1.5,0.5,11597.467,691.59424,2602.1025,716.3799,9728.391
1.5,1.0,11508.864,632.9204,2671.0244,953.416,9348.137
1.8,0.1,12159.908,1323.4023,3451.7188,232.875,7593.2754
1.8,0.5,11896.724,716.93994,2747.0957,801.5928,9664.053
1.8,1.0,11825.0625,667.55615,2810.8232,1006.5576,9358.223
