lambda,m,s,V,z
0.3,0.1,0,4428.1006,0.6730459651097016
0.3,0.1,1,6062.3105,0.6730459651097016
0.3,0.1,2,16098.523,0.6730459651097016
0.3,0.1,3,19087.844,0.6730459651097016
0.3,0.1,4,18039.326,0.6730459651097016
0.3,0.5,0,4428.103,0.6000441260050857
0.3,0.5,1,6062.313,0.6000441260050857
0.3,0.5,2,16098.528,0.6000441260050857
0.3,0.5,3,19087.834,0.6000441260050857
0.3,0.5,4,18039.324,0.6000441260050857
0.3,1.0,0,4357.853,0.5121690808335472
0.3,1.0,1,6078.6123,0.5121690808335472
0.3,1.0,2,15915.714,0.5121690808335472
0.3,1.0,3,20038.793,0.5121690808335472
0.3,1.0,4,18317.227,0.5121690808335472
0.9,0.1,0,4428.039,0.6811420063619104
0.9,0.1,1,6062.239,0.6811420063619104
0.9,0.1,2,16098.289,0.6811420063619104
0.9,0.1,3,19087.61,0.6811420063619104
0.9,0.1,4,18039.088,0.6811420063619104
0.9,0.5,0,4428.1006,0.6081445035237509
0.9,0.5,1,6062.3135,0.6081445035237509
0.9,0.5,2,16098.523,0.6081445035237509
0.9,0.5,3,19087.844,0.6081445035237509
0.9,0.5,4,18039.326,0.6081445035237509
0.9,1.0,0,4354.154,0.5279388163172162
0.9,1.0,1,6078.823,0.5279388163172162
0.9,1.0,2,15905.966,0.5279388163172162
0.9,1.0,3,20077.89,0.5279388163172162
0.9,1.0,4,18324.494,0.5279388163172162
1.2,0.1,0,4428.1006,0.6851937727241373
1.2,0.1,1,6062.3105,0.6851937727241373
1.2,0.1,2,16098.523,0.6851937727241373
1.2,0.1,3,19087.844,0.6851937727241373
1.2,0.1,4,18039.326,0.6851937727241373
1.2,0.5,0,4425.4404,0.6122215211371894
1.2,0.5,1,6063.5347,0.6122215211371894
1.2,0.5,2,16091.662,0.6122215211371894
1.2,0.5,3,19133.922,0.6122215211371894
1.2,0.5,4,18056.623,0.6122215211371894
1.2,1.0,0,4374.733,0.5358644735091314
1.2,1.0,1,6136.083,0.5358644735091314
1.2,1.0,2,15891.617,0.5358644735091314
1.2,1.0,3,20090.06,0.5358644735091314
1.2,1.0,4,18326.662,0.5358644735091314
1.5,0.1,0,4428.1006,0.6892430411351097
1.5,0.1,1,6062.3105,0.6892430411351097
1.5,0.1,2,16098.523,0.6892430411351097
1.5,0.1,3,19087.844,0.6892430411351097
1.5,0.1,4,18039.326,0.6892430411351097
1.5,0.5,0,4412.8413,0.6172945327836878
1.5,0.5,1,6068.4565,0.6172945327836878
1.5,0.5,2,16059.13,0.6172945327836878
1.5,0.5,3,19338.11,0.6172945327836878
1.5,0.5,4,18129.074,0.6172945327836878
1.5,1.0,0,4468.5645,0.5451186262088544
1.5,1.0,1,6398.903,0.5451186262088544
1.5,1.0,2,15826.834,0.5451186262088544
1.5,1.0,3,20122.582,0.5451186262088544
1.5,1.0,4,18328.508,0.5451186262088544
1.8,0.1,0,4428.101,0.6932923108965297
1.8,0.1,1,6062.31,0.6932923108965297
1.8,0.1,2,16098.525,0.6932923108965297
1.8,0.1,3,19087.838,0.6932923108965297
1.8,0.1,4,18039.328,0.6932923108965297
1.8,0.5,0,4427.7705,0.6233765303452976
1.8,0.5,1,6135.454,0.6233765303452976
1.8,0.5,2,16020.982,0.6233765303452976
1.8,0.5,3,19479.162,0.6233765303452976
1.8,0.5,4,18173.822,0.6233765303452976
1.8,1.0,0,4611.6846,0.5562379045703141
1.8,1.0,1,6606.512,0.5562379045703141
1.8,1.0,2,15897.777,0.5562379045703141
1.8,1.0,3,19919.82,0.5562379045703141
1.8,1.0,4,18783.115,0.5562379045703141
