lambda,m,0,1,2,3,4
0.3,0.1,183.58398,544.20166,0.0048828125,1034.7383,743.78906
0.3,0.5,183.58154,544.1992,0.0,1034.748,743.791
0.3,1.0,253.83154,527.8999,182.81445,83.78906,465.88867
0.9,0.1,183.64551,544.27344,0.23925781,1034.9727,744.02734
0.9,0.5,183.58398,544.1987,0.0048828125,1034.7383,743.78906
0.9,1.0,257.53076,527.68896,192.5625,44.691406,458.6211
1.2,0.1,183.58398,544.20166,0.0048828125,1034.7383,743.78906
1.2,0.5,186.24414,542.97754,6.866211,988.66016,726.4922
1.2,1.0,236.95166,470.4292,206.91113,32.521484,456.45312
1.5,0.1,183.58398,544.20166,0.0048828125,1034.7383,743.78906
1.5,0.5,198.84326,538.05566,39.398438,784.47266,654.041
1.5,1.0,143.12012,207.60938,271.69434,0.0,454.60742
1.8,0.1,183.5835,544.20215,0.0029296875,1034.7441,743.7871
1.8,0.5,183.91406,471.0581,77.5459,643.4199,609.29297
1.8,1.0,0.0,0.0,200.75098,202.76172,0.0
