,S1,S2,S3,S4,S5
lam=0.05_m=0.5,3939.457397759873,4743.285457940232,5655.600618020848,7363.736415648622,7292.999815663464
lam=0.05_m=1.0,3939.4744791777275,4743.297823526537,5655.615220796742,7363.766334013084,7293.019065370728
lam=0.05_m=2.0,3939.4618600440945,4743.285954323159,5655.6024691393,7363.745436521973,7292.9988011988125
lam=0.10_m=0.5,3939.47431119739,4743.297774848067,5655.615166692105,7363.766131580396,7293.019012193083
lam=0.10_m=1.0,3939.4744135304604,4743.297778056871,5655.61517665947,7363.766243714257,7293.019012178267
lam=0.10_m=2.0,3939.474045521988,4743.297450752862,5655.614818319721,7363.765695691535,7293.01849944099
lam=0.20_m=0.5,3430.4680428646575,4368.98973786745,5295.43762226895,6671.03073071473,6874.178162652892
lam=0.20_m=1.0,3537.446715068867,4427.592302179792,5351.001089593174,6780.6434233214095,6924.206065314139
lam=0.20_m=2.0,3581.1555932207166,4425.8765843622405,5281.1488840491675,6783.952334910567,6732.951564955045
lam=0.50_m=0.5,877.330980028165,1552.3879586614858,2142.9595031694644,2185.763277532219,2593.177076547272
lam=0.50_m=1.0,1039.4844574156023,1609.3136992332752,2077.668102373231,2330.553274892138,2306.5279394383306
lam=0.50_m=2.0,1171.288218077203,1772.3677497377416,2228.0812802987693,2550.752520056305,2437.7989892402647
lam=1.00_m=0.5,0.0,0.0,0.0,0.0,0.0
lam=1.00_m=1.0,30.66958830139174,64.75949911345924,39.67632276159293,29.881332514714813,3.9796909429642255
lam=1.00_m=2.0,107.7539140939225,185.80332427819758,137.91343820263683,102.60906749728747,68.15313450276153
