,S1,S2,S3,S4,S5
lam=0.05_m=0.5,1539.8783110310353,927.1759858976053,1077.7921090878135,2104.2703743455363,1583.3190126181532
lam=0.05_m=1.0,1539.8612296131807,927.1636203113002,1077.7775063119198,2104.2404559810752,1583.2997629108895
lam=0.05_m=2.0,1539.8738487468133,927.1754895146786,1077.790257969361,2104.261353472186,1583.320027082805
lam=0.10_m=0.5,1539.8613975935182,927.1636689897707,1077.777560416556,2104.2406584137625,1583.2998160885345
lam=0.10_m=1.0,1539.8612952604476,927.163665780967,1077.7775504491906,2104.2405462799015,1583.2998161033504
lam=0.10_m=2.0,1539.86166326892,927.1639930849756,1077.77790878894,2104.2410943026234,1583.3003288406271
lam=0.20_m=0.5,2048.8676659262505,1301.4717059703883,1437.955104839712,2796.9760592794287,2002.1406656287256
lam=0.20_m=1.0,1941.8889937220408,1242.8691416580455,1382.3916375154872,2687.363366672749,1952.1127629674781
lam=0.20_m=2.0,1898.1801155701917,1244.584859475597,1452.2438430594934,2684.054455083592,2143.367263326573
lam=0.50_m=0.5,4602.004728762743,4118.073485176352,4590.433223939197,7282.24351246194,6283.141751734345
lam=0.50_m=1.0,4439.851251375306,4061.1477446045624,4655.724624735431,7137.453515102021,6569.790888843287
lam=0.50_m=2.0,4308.047490713705,3898.093694100096,4505.311446809892,6917.254269937854,6438.5198390413525
lam=1.00_m=0.5,5479.335708790908,5670.461443837838,6733.392727108661,9468.006789994159,8876.318828281617
lam=1.00_m=1.0,5448.666120489516,5605.701944724378,6693.716404347068,9438.125457479444,8872.339137338653
lam=1.00_m=2.0,5371.5817946969855,5484.65811955964,6595.4792889060245,9365.397722496871,8808.165693778856
